author_name,rating,text
Zong-De Jian,1,櫃台阿姨真的太... 進門買麵包的這兩三分鐘內，阿姨從頭到尾就是一臉不悅，完全不說話，甚至結帳時也沒說金額，最後還把發票甩在我手上，彷彿客人來店消費會造成她的困擾似的
mu mu,5,在附近買東西經過就被吸引進去逛逛，有常見的品項，也有特別的品項，挑了一個腰果重乳酪麵包，上面的腰果非常非常香，口感很特別不是粗糙的那種，整個麵包體就是鬆軟的那種可以想像得到的口感，不過重乳酪我原本以為是甜的Cream Cheese之類的，不過切開後看和吃覺得就是微鹹的那種起士片，整體麵包不甜不鹹，是非常爽口的類型，吃起來有療癒感又沒有負擔。要離開店面前看到冰箱有巧克力塔，感覺很特別，之後有機會再來買（離家很遠呀...）！
- CHENANJU,3,進去過五六次，不知是不是錯覺，如果沒買東西，櫃臺的阿姨會有很不愉悅的氣場飄過來。
kv zhao,5,冰箱裡的芋泥捲好好吃呀！
Hung-Wei Chen,5,巧克力塔、檸檬塔超好吃，尤其是剛烤好的，那個餅皮香脆，內陷不死甜不膩，檸檬塔夠酸，而且以塔類來說價位很便宜只要30元/個，cp值超高！
錢錢,4,便宜，味道不錯，很傳統麵包店
Ly Nguyen,5,芋頭蛋糕很好吃，而價格便宜。6吋450元，8吋650元。
Yoanne Yan,5,"去六張犁必買美食，阿姨很會解說和取名字，價格很佛，甜點外表純樸但是味道超級厲害，吃過巧克力塔、芋頭蛋糕、芋頭捲、芒果塔、地中海乳酪、波士頓派、一口鳳梨酥，都很驚艷
許願希望阿姨多做一些芋頭甜點：）"
Casey Hsu,4,"樸實難得的古早味麵包店！
價錢超便宜又好吃新鮮的麵包店！"
olga su,4,樸實的麵包店，巧克力系列的研發多樣也好吃！老闆娘應該是愛巧克力之人。
Liu Y.Y.,4,芋泥捲好吃！
martin Hsu,5,服務親切老闆態度佳東西美味實在
楊金輝,4,味道很好，價錢也還可以
譚景豪,3,"就很一般的 傳統台式麵包坊
店面稍嫌陳舊 服務也只是過得去
若不是剛好經過 是不會刻意過去消費的"
Rose B,4,"老闆娘很有脾氣，但解說蛋糕就很認真！
（芋頭蛋糕好吃）（水果的也不錯）"
秦萱怡,5,老闆娘很有趣，從小吃到大的麵包，回憶的味道。
北極熊,5,算不錯了，希望阿姨的客人能多一點。
Apo Yu,4,老闆娘很有個性，麵包很實在。
123 123,5,"(由 Google 提供翻譯) 巧克力蛋糕很好吃

(原始評論)
巧克力蛋糕很好吃"
蘇阿草,4,
迪瓦考周粗大,5,
趙高戰,5,
陳昇隆,5,
吳樂天,4,
Robin Wang,4,
白崇基,5,
秋采願,4,
Phan Du,5,
