author_name,rating,text
sunny wei,5,最棒的師大圖書館，雖然目前疫情期間只能線上預訂，但藏書豐富，值得一訪！
houpu Liu,5,校區大門有很多商店，在這裡喝咖啡也很不錯，校區還有停車場，綜合大樓和很多教育大樓。
Peter Reen,5,似回娘家般，參加師大科技系的系友會！
陳葆光,5,"疫情期間，原麗水街側門不開放，非上課時間可由和平東路大門、綜合大樓或麗水街33巷側門進出
上課時間則需驗證進入（若是使用停車場，行人須由車道斜坡進出）"
Henry Lin,4,有圖書館、有文學院、有綜合教室、有銀鈴樂活教育訓練中心等。地下一樓還有江浙菜館、一樓有各式中西速食餐館。
Jo chun L l N,4,園區內有地下停車場🅿️，校園環境舒適。
富容劉,5,功能性特強！超讚的場域！
YA-SYUN SYU,5,校園很漂亮，校園建築主要都是紅色的，有種跨時代的美感，其中有一棟的外觀特別有設計感，還有很多有特色的裝置藝術，特別喜歡 師大大獅的作品。
應志誠,4,到師大一品饌餐廳，環境不錯，在地下一樓。料理精緻。目前有促銷。尾牙及春酒。5800元變5000。不用10%服務費。
yang isaac,4,圖書館校區的店面增加了，例如三商巧福、統一超商等平易近人的小吃~
張淑玲,5,"學無止境
來去上課喔!"
張志明,4,公車路線還好，捷運未能直達
張家豪（盤古蟾蜍）,5,挑高樓層。
林約翰,5,內部設備很好，有個人閱覽座位。
方琮,1,圖書館櫃台人員不知道是因為工作太無聊還是怎麼樣 ，說話不耐煩，臉臭到嚇人～
Jordan Fan,5,很漂亮的校園 超讚～
kevin lin,4,隱藏在巷弄內的怪物
Martin Hsieh (馬丁謝),5,美麗開闊，圖書館有全台最豐富的教育研究資源！
陳瓊瑜,4,環境很清幽，雖然因為疫情的關係，進出不方便，但是週邊有許多美食，去逛逛也不錯。
劉沅 Carl Yuan Liu,4,參加很棒的研討會。
陳其佑,5,我路過來停車的，裡面的小弟弟小妹妹看起來很和善
Mike Hsueh,1,網路慢 教室每次都不開 還沒車位啦幹
許YL,4,每本書味道都很高傲 不可親近
劉家蓉,5,來法語中心上課！很開心能找到這麼棒的資源與環境
陳步雲,4,環境優美建築物古色古香
蘇志凱,5,非常有藝術氣息
Weiping Chang,3,環境ok
鄭尹碩,4,一流大學 美麗校園
Anna Weng,5,很有人文藝術氣息！
陳宛蓁,4,博愛樓無障礙設施不錯
紀昭安,1,大門警衛保全人員不通情理，可能是比較監守崗位吧~
Zen Wu,5,呂正儀老師果然是專業的，好玩開心
Jye Sheng,5,師範最高學府
wei-lu sheng,4,場地明亮，適合閱讀
國正Gavin Kuo - Cheng Lin,4,"非常有羅馬建築風貌的校園,在草原校區中央環繞探視一圈,有些幽靜豁然的情境."
Teresa Yeh,5,書有書香味的好地方
鍾笙,4,參加此地舉辦的國際教育論壇，感謝師大為資優教育所做的貢獻。
明仁mingren,1,台師大是買圖謊騙創作設計詐騙公款設計師的產生器
貝貝顏,5,師範體系的典範
qpejwi aj,5,座位多，讀書好所在
Momo co,5,圖書館真的棒透了
張紜銓,5,讚讚，師大好學校
蔡宗翰,4,圖書館很漂亮
陳君睿,5,圖書館超豪華
演霖,5,👍
張學平,5,台灣培育中學教師的大本營。學校歷史悠久，教學嚴謹，教授及校友名人輩出。
Nick Cheng,4,乾淨明亮寬敞的閱讀空間
PETER YEH,5,超棒的校園
roseprincess,5,👍👍👍💕💕💕😇😇😇
張陣雨,5,"台北市區內特別有書香味的一間大專院校 ！！

就是 臺灣師範大學 （台師大）"
吳冠霆,5,後門停車方便
春天,4,是一所比較優質的學校.風情獨特.學氣鼎盛。
hgt8141,4,低調幽靜不失風雅的環境
行大運,5,非常現代化~
邱小修,5,不錯
小郭柏宏,5,一流學府
蒲基維,4,學術性質濃厚
趙佩玲,5,感覺很棒
林大偉,4,大學
教練對面轉起來了,5,特師拉
Chih-Chung Liang,4,壯觀的圖書館
王勝樑,5,一日師大人，終身師大人
姚研宜,4,很適合k書的地方
Wen-Yuan Sun (Joker),2,沒有校內各大樓名稱
陳培基,4,溫州
KunHong Tsai,5,古蹟  臺灣高等學校講堂
盧易辰,5,讚讚
Mizhu Trang,5,"(由 Google 提供翻譯) 台灣最好的中文學校，也是熱情而敬業的老師的發源地。幸運地成為學校的學生

(原始評論)
Ngôi trường giảng dạy tiếng trung tốt nhất đài loan và cũng là nơi sinh ra các bậc giáo viên đầy nhiệt huyết và tận tình. May mắn được là học sinh của trường"
Bryant Hsieh,5,"(由 Google 提供翻譯) 一流的學校，一流的校園，最重要的是，一流的老師。

(原始評論)
Great school, great campus, and most of all, great teachers."
jean yeh,5,"(由 Google 提供翻譯) 學習和結交朋友的好地方！很漂亮，吃飯方便。學校附近有一個夜市。

(原始評論)
Nice place to study and make friends! Very beautiful and convenient to eat. There is a night market near school."
Ernest FENG,5,"(由 Google 提供翻譯) NTNU的圖書館設施非常現代，美觀，方便，並配有書籍，視頻DVD。

(原始評論)
The library facility of NTNU is very modern, beautiful, convenient, and rich in books, video DVDs."
林美Mey,5,"(由 Google 提供翻譯) 偉大的！

(原始評論)
Great!"
Kenny Chang,4,"(由 Google 提供翻譯) 停車方便，價格合理

(原始評論)
Easy parking and reasonable pricing"
德聦張,4,"(由 Google 提供翻譯) 學術安靜，培育人材的好校園！

(原始評論)
学術安静，培育人材的好校園！"
zhenlin jiang,5,"(由 Google 提供翻譯) 環境很好

(原始評論)
环境很好"
吳幸芳,5,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒"
郭春霞,5,"(由 Google 提供翻譯) 舒服

(原始評論)
舒服"
Ph Chien,5,"(由 Google 提供翻譯) 小而美

(原始評論)
小而美"
Tracy Yu,5,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒"
羅昌明,5,"(由 Google 提供翻譯) 棒

(原始評論)
棒"
施惠茹,4,"(由 Google 提供翻譯) 回母校啊…

(原始評論)
回母校啊…"
Vince Zhang,5,"(由 Google 提供翻譯) 作育英才

(原始評論)
作育英才"
Craig Bossley,5,"(由 Google 提供翻譯) 一流的校園和一流的設施

(原始評論)
Great campus and wonderful facilities"
景婷楊,5,"(由 Google 提供翻譯) 博大

(原始評論)
博大"
Sukarto Kartono,5,"(由 Google 提供翻譯) 老大學

(原始評論)
Old university"
Favorite lYRICER,5,"(由 Google 提供翻譯) 很棒很美

(原始評論)
很棒很美"
Dr.Kiran Kumar,4,"(由 Google 提供翻譯) 來過CS會議

(原始評論)
Been here for CS conference"
去美容去美容,5,"(由 Google 提供翻譯) 去美容

(原始評論)
去美容"
Yellowrosee Hsu,5,
It Lin,5,
Jennifer Lin,4,
pei lin,4,
Charles Huang,3,
貓咪液.,4,
練擎（小魚）,4,
CHENG KEVIN,4,
Karen Lee,5,
黃瑞月,5,
黃鴻文,1,
