author_name,rating,text
Maple Tsao,5,老闆很有想法，蒐集很多特殊書籍，還會不定期辦展覽，支持一下～
Yu Chen Chang (玉貞的網路日技),5,"一定要安靜的拜訪這麼雅致、這麼有時光氣質的書店。這種書店的存在，珍貴而有個性到讓人感覺到心存感恩了。

去舊香居藝空間看巴黎時尚版畫展，也同時推薦大家一訪不到1分鐘左右、一進去就進入舊時光，這直接進入爸爸（爺爺）的文青時代的書店。

看展當天由於Google Maps禿捶，讓我們先到了書店，但是書店讓我們真的太感動，世上還是有這麼雅致、這麼有時光氣質的書店。 …"
Antony Cheng,1,"想知道什麼是沒品，建議可以來逛逛，讓你開開眼界🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄

今天帶著心愛的公仔前往，說只要帶著特定的公仔就有購買資格，排了兩個多小時，一進去就被要求看IG，好笑的是我最後被請了出去，原因只因為沒有私下玩玩具的文章，也因為‘’她‘’不覺得我是粉絲，不同意讓我購買
什麼時候粉絲的定義是有沒有po文啊？
哪時候沒po文就不是粉絲？ 都不能只收藏？
老闆到底是在自以為是什麼？在高尚什麼勒？
這個服務只能給妳👏 …"
Cing-Huei Wu (吳老師),3,路過來逛逛，裝潢古色古香，大部分以文史哲書籍為主，但價格偏貴，翻翻看看，來的時候沒客人，感覺生意不是很好。
JENNY LIN,5,許多文學/哲學類的古書，適合挖寶。
Rebecca Chang,5,裡面有很多神奇的古書，讓你彷彿通過了時光隧道⋯⋯老闆非常的親切，絕對是台北一個神奇的存在。A must-go in Taipei
李小紅,5,裝潢有古意及品味的舊書店。
劉孟賢,5,販售很多絕版的百年古籍和古董的好店
allen wang (載湉),3,充滿濃濃的古書香份圍的地方
chen cynthia,3,書籍特別，但不便宜
Cindy Chou,5,老闆很親切～
Koon Man Wong,4,這區找舊書的好地方，店環境也非常整潔講究。
Clare Gao,5,有許多好書
Cheng Tony,1,"店員服務態度極差
舊書價格跟別家比起來貴
然後小心不要坐在門口老闆的摩托車上
不然老闆或員工會森氣氣出來罵喔～"
李宜穎,5,人文藝術類藏書，價位偏高，但收藏很多舊書，想找稀有的書能來逛一逛。
Chao Victor,1,裝潢一流，書較貴一些（以二手書的價位來說），新店員的態度讓人感覺不舒服。
chen nash (Tim),5,空間擺設看的出用心，有書香味
Remy's Kitchen,5,很有特色的書店。
Tinna Liang,5,老闆人超好👍
Mar Arthur,4,大都人文古文相關舊書，也對，這類書籍不會受到時代變遷而貶值，反而越陳越香。平常書籍價格便宜，有些絕版品標天價，行家可以去尋寶。
袁士凱,5,無論是藏書、佈置、燈光、色調，還是主人、客人、路人，都很一致協調融合，一體的人文氣息。
鄭中睿,5,選書跟訂價都強大。
James Wu,3,二手書店，販賣藝術、歷史，古典文學，以及比較冷門的書籍，有時能淘到意想不到的舊書
Huan Chen,5,太有氣質了 非常文青 我比較儈市 找不到財經書籍QQ
蘇郁銘,4,感覺就是個找專業型舊書的好地方。雖然有若干舊書定價較高，卻不會有不合理的感受，再加上裝潢與氣氛，頗給人一種日本神保町的味道。
attorney ottomayer,3,嚇一跳，居然看到好書，大家的專業又淺說的通達之書。更驚艷的是，老闆好漂亮又有慧智。
