author_name,rating,text
K K,5,老闆和老闆娘都非常親切耐心解釋
Faustus Su,5,誠懇細心，會站在顧客立場幫你設想。你不用擔心在這裡買藥買貴了或被推薦了昂貴但其實不那麼適合你的東西。
Harunire Yu,5,因為排隊買口罩而找到住家附近的這間藥局，無論是酒精還是口罩都以能讓民眾有更多機會買到的方式設想，藥師們也都很有耐心且親切，這樣的品格在疫情紛擾人心的時刻更凸顯他們良善熱心的珍貴，謝謝你們。
Jenny Hsu,4,這附近營業時間到最晚的藥局了！女藥師人很親切，會給專業建議，也會替顧客省荷包（有一次我去買酒精棉片，看到我拿了單片的10片，先問我用途，然後就建議我買整盒，整體價格來說比較便宜片數還比較多）
kuli kuma,5,價格實惠、服務專業親切的在地好鄰居！會依照顧客需求建議，不會亂推銷，很棒！
Shu SHU,1,"很不好的經驗!如果店員在跟別人推銷藥,你最好不要進去買東西,因為喊半天要結帳,她會當作沒聽到,連理都不會理你!(我碰到的是一位女生店員,約40歲左右)
第一次碰到這種超沒禮貌的店家,非常不值得推薦. 這裡很多藥局,大家多去別家購買吧.難得第一次進去就被惹到了"
MeiLing Chen,5,店員待人有禮，十分親切。
John Liang,5,店家很親切，服務很好～
羅聖凱,5,女藥師服務很好，很親切，有解決我的疑問。
小R,5,親切、服務好❤️
張崇倫,4,一點開始販售口罩～
Meng-Tsung Lee,5,很溫馨親切的店
CC Tseng,5,"(由 Google 提供翻譯) 方便

(原始評論)
方便"
波小妞,5,
CHIHYU LIN,5,
呂浩僕,5,
洪小八,5,
周姿吟,5,
