author_name,rating,text
pei chi Huang,5,"雖然今年生日因為疫情關係活動完全取消
但收到朋友的蛋糕受寵若驚😭
真的太美太喜歡了🤍
之前就有同事訂過Rayya的蛋糕非常滿意也推薦給我👍🏻
沒想到今年就收到了朋友的大禮🎂
朋友也大推～說服務和態度都很棒！
值得推薦給大家唷☺️"
Ellen chu,5,"很少有好看又好吃的蛋糕！Rayyas Bakes 蛋糕美學細到每個環節detail有如精品。 客製化的服務，價錢cp值高。所有蛋糕上的deco都可成為留念的東西。
蛋糕扎實，配上咖啡口味的奶油完美。女兒說下次還要定這家🥰"
C. Yuan,5,"可以克制化蛋糕重點又美又很好吃😋
真心推薦不踩雷 特別幫男友訂制生日蛋糕男友很開心🥰"
yi wen chou,5,非常精緻又好看的蛋糕🎂而且包裝超美，蛋糕也固定的非常好不會在運送過程中容易受傷，價錢很公道👍已收入口袋名單，下次一定會回購喲
Belle Lynn,5,"實品真的超美超精緻💗💗
老公收到很開心

也很謝謝Line溝通的客服
給予非常專業的配色建議 而且好親切🥺
很喜歡如此講究的態度
跟Rayya bakes訂製蛋糕的感覺非常好

肯定會再回購！！！"
Fion Chi,5,蛋糕真的太美太好吃，已經默默變成每次朋友生日的必備蛋糕，每個壽星都超喜歡！而且訂購方便、服務親切，還會繼續回購的☺️☺️
劉昕昀,5,超級美的！五年前第一次買了Rayya Bakes的蛋糕就回不去了～又美又好吃而且服務都超級好的😘這次幫朋友訂Blackpink主題蛋糕也是老闆娘幫我配色的！超讚～大推🖤💗🖤💗
DORIS CHEN,5,"幫朋友訂的生日蛋糕
真的好美！
防疫期間
送蛋糕還完好無缺
光看了就覺得儀式感十足😍😍😍"
李苡萱,5,闆娘超級有美感～已經是固定的回購店家囉！要訂客製蛋糕就會想到Rayya Bakes！每次看到蛋糕都超驚豔！蛋糕超級美之外也好好吃哦
張顆粒（Curly）,5,"一開始是看著覺得漂亮訂來慶祝生日
沒想到這麼好吃
後來一年一年的就回不去了🤣🤣
每年必訂！！
期待未來更多的樣式🥳"
呂敬澤,5,"第一次訂購Rayya的蛋糕，
想要給少女心的媽媽一個生日驚喜～
蛋糕實體真的很美又精緻！
上面的皇冠真材實料👍🏻
（不是那種便宜的塑膠擺飾）
而且蛋糕本身比想像中好吃
原本還很擔心會太甜
就聽了店家給的意見
選了巧克力蛋糕體+抹茶內餡
果然吃起來多了點清爽又香濃！
全家人都吃得很開心☺️
當然媽媽收到後也表示非常喜歡💕

有機會會再回購支持Rayya Bakes～
謝謝這麼用心的店家！"
許育綺,5,"一月的時候訂了灰色那顆
發現他們家奶油超好吃受不了
然後巧克力體也好好吃
三月又要訂蛋糕又訂了粉色那顆
我們是四個好朋友
打算蒐集四個皇冠
好喜歡ㄛ怎麼那麼好吃
唯一缺點是我們四個分每次都吃不完哈哈哈
四寸應該很適合5到6人～～
價格雖然稍貴但我也覺得非常值得啊
這個錢花得很開心
而且可以用lalamove的折扣碼等於沒花到任何運費錢哈哈哈
喜歡！"
Sandy C,5,兼具美感和口感的精緻蛋糕，一次訂購2個因為實在美到不知如何選擇，開箱後就是一連串的wow和讚👍 同時贏得大人和小孩的歡心💖 客製蛋糕的第一選擇！
Julia Tsai,5,"每次想到要訂一個美麗又氣派的蛋糕
就想到Rayya Bakes❤️
好吃又好看 內餡還有我最愛的紅茶
已經來訂第二次了！ 很喜歡👍🏼"
李沁嬣,5,"壽星❤️姐妹很喜歡我特別去找到這間訂做的生日蛋糕🎂 店家也很有誠意替我解決當初日期上的問題
因為有碰到連假 、、 蛋糕🎂真的和照片ㄧ樣 毫無照騙啦🥰 讓人ㄧ再想回購的訂做蛋糕店家。 我本來4月訂完，5月朋友生日 毫不猶疑也再回來訂購"
Jou,5,"蛋糕咸咸甜甜的超級好吃 不管男生女生都會覺得很好吃的那種，而且超級漂亮！
本來還想說自己沒有拍的那麼好看很可惜，結果沒想到店家還有幫忙拍蛋糕的照片，真的好貼心🥺"
曾子欣,5,台北最美蛋糕沒有之一！客製化選項非～常多，而且包裝的仔細、完整，拿回家的路上完全沒有一點點損壞。這次訂的生日蛋糕，朋友收到也超級開心，而且焦糖奶油真的好好吃呀🤤有機會一定會再回購的❤️
Meow Pan,5,"客服服務親切也很有耐心
蛋糕不只漂亮還很好吃
訂了老公30歲蛋糕連他都很喜歡
也是唯一ㄧ個真的都被吃光的蛋糕🥺🥺
知名卻這麼親民真的很少見了
因為太滿意這兩個月已經訂了2次蛋糕
謝謝💕"
Chih Yang,5,"第一次訂這家蛋糕
覺得感受非常好👍
因為怕選錯自己想要的顏色樣子有請他們幫忙確認訂單是否填對，服務上都很親切
拿到實品跟照片一模一樣
就是美麗到不行～～～
看到蛋糕這麼漂亮心情好到不行～朋友也很開心💕💕💕🥳🥳
蛋糕還漂亮到被別桌的客人們詢問拍照😆😆"
KERR_,5,超美成品讓人又驚又喜，往後餘生的日子，非這家蛋糕店我不吃~ 不推這家蛋糕店對不起自己啊～～～～
Wei Cao,5,"實體真的很漂亮，感謝你們的用心製作！

對了，我們家壽星都不願意切蛋糕了...

一直拍照😅"
Wen Hsuan Fan,5,店家人很可愛，蛋糕跟裝飾品的選擇也非常多，當初在訂的時候還因為顏色太多，來來回回跟店家確認了一下，回答都非常有耐心，而且蛋糕體本身吃了也不太膩再搭上甜度剛好的奶油糖霜，很適合慶生的時候大家一起享用，取貨後店家還會很貼心的幫你的蛋糕照形象照，之後有機會會在回購！❤️
貓頭鷹愛又蕾,5,超美超驚喜的客製化蛋糕，壽星超喜歡感動的！生日驚喜蛋糕的唯一首選！款式選擇很多，可以客製選擇自己喜歡的每個細節，打造專屬壽星的獨特生日蛋糕，店家非常親切！超推薦的！棒棒！
Pei,5,"因為第一次訂購、也因為訂購的很倉促，所以一直問了很多問題，但老闆他們一直很有耐心的引導我該怎麼選擇、訂購。
因為之前有吃過這種造型蛋糕，就是很漂亮而已，但蛋糕沒有很好吃
所以在訂購之後，我也是抱著一個，給媽媽的生日蛋糕漂亮就好，結果真的出乎我意料的好吃😋
連我這種不敢怎麼吃奶油的都覺得很香很好吃，馬卡龍也不會太過甜膩，全家人直接把一個四吋蛋糕嗑完，既美味又美麗的蛋糕🍰（為何我不能張貼照片呢😭）"
w i nn i e cheng,5,"為了給好友驚喜，
做了很多功課選了Rayya的蛋糕，
第一次訂購看到實體超級滿意❤️
蛋糕實體真的超美，質感又好，
朋友大驚喜，超級喜歡的～
店家細心又用心，服務態度一級棒，
有機會會再回購支持Rayya Bakes～"
張喻晴,5,當初網路上看到後剛好有朋友生日就直接下單了～送新竹北上來拿🥰蛋糕漂亮好拍又好吃尤其是奶油！而且跟照片有模有樣呦🥳🥳❤️
薛包子,5,"朋友30歲生日🎂
為了給她驚喜，訂了她們家的蛋糕
從台中上台北拿
雖然很遠，但看到朋友非常喜歡
就覺得超值得👍🏻

蛋糕真的超美麗❤️
也非常好吃😋"
MQSx4432紋綺,5,"蛋糕非常精緻漂亮！
這是我第一次購買這麼精緻的蛋糕
沒想到不止外表好看，裡面的蛋糕也好吃💗
非常值得回購！店家的服務態度親切
回覆訊息速度也算蠻快的！
非常推薦～～"
ROXANA HUANG,5,"誰說漂亮的蛋糕一定不好吃，Rayya是我訂過這麼多蛋糕裡排名前三名的～太厲害了！

蛋糕體屬於濕潤型的，奶油稍微甜一些，但明顯吃的出是好的奶油，身體比較不會有負擔那種。

與闆娘溝通上很愉快，半客製蛋糕，氣球還能放1個月，別家蛋糕的氣球我拿回家當天就慢慢變小了（淚）

總之，推薦給正在觀望Rayya的你，不會後悔的😆

#回購率高 #Rayya幫我做的第二顆蛋糕"
陳佩瑄,5,蛋糕超級漂亮而且不是空有外表連裡面都超好吃！絕對是最強的客製化蛋糕❤️店家超貼心也超有耐心會一一回答每個需要跟提問還可以完全的討論想要做出來的樣子！推推🤍🤍🤍
小包,5,第一次訂購客製化蛋糕 回訊息速度快速 也很細心 取完蛋糕時還有很多貼心的提醒 很讚 蛋糕也和想像的一模一樣 很仙 蛋糕也好吃 這次選的是抹茶巧克力內餡 有機會會再次訂購 😍😍
naomie,5,"蛋糕超美的❤️🥰除了美之外還相當好吃！
任何問題小編都很有耐心的回覆，真是太感謝了
下次還要再訂購，謝謝您們的用心"
Ssica Huang,5,"第二次訂他們家的蛋糕了真的有夠喜歡ಥ_ಥ
不只是漂亮而已重點是超級好吃(⁎⁍̴̛ᴗ⁍̴̛⁎)
不會太甜吃到後面也不會太膩
重點是老闆娘超級漂亮⋯(˶‾᷄ ⁻̫ ‾᷅˵)
以後一定會繼續跟泥們訂蛋糕的！
每次都把蛋糕做這麼漂亮又好吃真的很感謝🥺♥️"
Erika,5,"又美又好吃的蛋糕❤️❤️
幫朋友過生日拿出蛋糕就直接被瘋狂讚美
朋友一開始都覺得這麼美的蛋糕一定不好吃
結果吃了 直接眼睛發亮 說怎麼這麼好吃🤣
送出去的我都覺得驕傲"
