author_name,rating,text
Eva LiLin,5,環境舒服，有許多熱門書還很新、價格優惠，還可以做公益，非常推薦！
洪浩然,4,剛開張，有不少好書等待愛書人帶回家。書按定價三折計算，划算。
徐家慧,5,CD很多，二手書很乾淨，偶爾來逛逛會有驚喜，請支持公益
YN H,5,"喜愛的二手書店之一🌱 店員親切健談、書況良好且價格在二手書中，著實平易近人❤️
新地點寬敞、明亮，不用再小心翼翼翻書越嶺（笑）書籍的分類較以往更清楚，更重要有了洗手間！對於每次都喜歡慢慢翻書的讀者來說，很需要😌
謝謝，持續支持💪🌿"
宋俞,5,照顧身障者的公益書店，石老闆很有愛心，員工也很有耐心。還可以提供場地租借，有很多童書，適合家長帶小朋友來～
Vivian Wang,5,今天第一次造訪愛閱，響應捐書體驗塔羅的活動。空間寬敞舒適，店員親切有耐心，是很不錯的小天地，會想再訪，也希望有愈來愈多人支持光顧！
張德,4,二手書價便宜合理，新址環境比原址空間更好。分類若能更精確點，顧客回頭率會更高。
Cing-Huei Wu (吳老師),5,昨天去湳山戲院看二輪電影，利用中間空檔使間順道去逛逛這裡，有發先新大陸的感覺。可能這兩天剛好他們要搬家了，所以書店珍的是很混亂，但是因為老闆很豪邁的說所有書籍打二折，於是打動了我們愛買書的念頭，雖然很多書也知道買回去不一定會看，但就是想買，買到拿不動，老闆還貼心的說可以幫我們寄送到便利店，只需要39元的運費，買了一堆書還不到千元，在臨江夜市開了這樣的書店有點不搭，但卻讓吃吃喝喝之後，有了也讓心靈充電的管道，不只生理上滿足，心靈也滿足了，可惜他們這要搬家，聽說是搬到和平東路二段 …
張碩紘,4,各式CD，外文，兒童，專業，商務管理，中外文學，書籍琳琅滿目，價格便宜更可兼具公益，值得推薦的尋寶好地方。
古銘誠,3,"搬到通化街也幾個年頭了

我跟老婆一起進去看看，

找沒有我要的書，

很可惜，

每一次路過都會多看幾眼，

因為舊書攤很少擺著不整理

不過還是可以尋尋寶，找找看有沒有自己想要的書籍📚"
Irene Tung,4,"這是個隱身在臨江街夜市裡的二手書屋，初次相遇是個偶然，從夜市隨意逛逛穿入巷弄裡的驚喜。書屋樓面面積不算大，佔地2層(1樓+B1)，書籍分類整齊擺放架上之外，地上還散落一些待整理的書，CD，影音光碟。工作人員僅有一名在結帳櫃台，顧客可以很自在的挑選喜歡的書籍隨意閱讀(光源稍嫌不足)。每個書櫃最上端有分類標示，B1是擺放宗教類,哲學類,語言學習類,外文書籍類,中醫藥書籍,食譜類等。店員說人力不足目前店內書籍尚未電腦化，所以如果要找書要靠自己來搜尋，沒辦法偷懶喔。不過盲逛的好處就是 …"
Peiyu Chiu,5,書的種類多，可以來好好挖寶！
FF X,5,充滿溫度的二手書店，店裡的書不多，但是整體給人的感覺非常舒服，價格很優惠，貓很可愛
張唯菁,5,有進去看過，不是一般的舊書店，沒有小說可以賣只有一些有資訊科技有用的書籍。
魏美美,5,經過看看~滿滿的書籍，堆到快看不到店面了
mama u,2,"(更新)他們的收到的捐書平常就常丟在店外面之前有一陣子一直有下雨，加上疫情嚴重可能出門少，捐書的人多，很常滿到屋簷都擺不下，都一箱一箱書就直接露天丟著，然後書都淋濕，上次去捐書有和店員講要不要買一塊塑膠布擋著，不然好好的書都淋壞了，店員說要錢…,當天進室內櫃檯前方以前他們也會拿來堆書的地方還空著，書是各界的愛心，不受愛惜，原本是拿一袋書過去想捐給他們，聽到店員說的話就默默把書拿回家。(查了他們的網頁，他們寫庫存堆積如山，淹沒門面，但放著書讓雨淋，讓愛書人看了有點無法接受) …"
小立J,4,"店長的經營理念,值得支持
可以來挖寶的小店"
張文文,5,推了一堆的舊書攤，擋到門面了
遠博（阿威-W&J Studio好鄰居頻道）,5,"有溫度的書店，讓書店多了份故事多了份責任！
靜靜的翻找心儀的書籍有找到寶的機會
店員很客氣講解找書都很不錯
雖然環境因捐贈大量導致擁擠
但
找書的樂趣真的蠻像尋寶的！"
陳文玲,5,"各種好書通通三折，不小心買太多，結帳時居然有薩比四XD
還有可愛的店貓佳佳~"
柯巨航,5,二手書種類多，挖寶好地方
LINDA,5,很多書，推薦！都是原價打三折！
