author_name,rating,text
李喬雲,5,"附近新開的藥局，為了買護目鏡跟酒精想說進去看一下，沒想到防疫用品這麼齊全，連防護衣、血氧機、甚至連提升免疫力的保健食品都有，太厲害了😂
店長是個年輕帥哥，介紹產品又很專業、親切！不會強迫推銷
整間藥局看起來乾淨明亮～ 大推喔👍🏻"
RourouCarolyn,5,"親切服務，產品齊全！
好幸福 就在家附近 覺得安全又有保障👍🏼
防疫期間 更是充滿了感恩🙏🏼…
還有線上群組 即時提供消息與服務！
實在是太便利啦😌。"
HaoHsuan Wu,5,商品種類很齊 對喜歡一次買齊的人很方便  ps. 藥師很專業 謝謝～
鄭凱鴻,5,防疫商品超齊全！！專業、品質、服務讚讚👍
jeff chuang,5,藥師親切，服務專業，價格實惠，推薦大家來此。
Che-Shin Chang,5,在地國民健康的守門員，防疫品項充足，提供親切服務
朱柏翰,5,店長年輕有為，服務熱誠，超過100分！！！
WeiCheng Lin,5,藥師很專業親切又很帥 眼睛懷孕了❤️
葉銀寶,5,藥師帥，專業又親切，商品多樣化
dora cheng,5,很有耐心。用藥需求講解都很專業
葉銀桂,5,藥師專業 人又很親切 很推薦🥰🥰
YUAN YUAN,5,藥師是帥哥，又親切~
Su Danny,5,服務很不錯，價格也好，一定會再來。
黃小菁,5,藥師專業又親切，商品多樣非常好逛！
chingwei *,5,附近新開的藥局 環境舒適 感覺不錯 東西也滿多的
大寶,5,空間大又明亮，服務好又專業
李定遠,5,商品滿齊全的，要買的藥都有販售
Ivan huang,5,藥師介紹詳細且專業
lo oliver,5,真的專業又親切讚讚
Chalie Tsai,5,藥師很親切👍
子安黃,5,專業藥師全天候服務
Nicholas Hsu,5,讚啦
邵偉城,5,
陳冠文,5,
