author_name,rating,text
barkly lin,5,"只能說  全台灣沒人比她更便宜
當初是因為旁邊國小學生怕吃不飽
所以份量真的很大  老闆娘真的很有愛心  但很快就賣完了  要早點到  12:00開賣  但晚餐不一定買的到
又不想老闆娘太累  真的便宜大碗
大碗才40 建議老闆娘大人 應該可以漲10元  真不一次不容易吃完
小孩就不漲了
真心希望長久賣下去 謝謝  老闆娘"
Sylvia Shih,4,"涼麵（小）30，不蒜不辣，香濃又清爽，份量很多，非常推。

和平麵$40，不蒜不蔥，份量多，大骨湯溫順。"
林亮結,5,料多實在，可惜疫情不喜歡排隊的店，所以要去的技得繞開去的時間
Willie Pan,5,CP值高的名店，台北市應該少見30元的涼麵了，份量大，小碗相當於他店的大碗份量，涼麵口味尚可，重口味者醬料可加，老闆娘服務好，生意好，人手較不足，要耐心排隊，吃粗飽的首選，挑剔者請自己繞路！炒飯炒麵也不錯，也可以嚐嚐！
Sid Hung,5,"學生友善餐廳。

口味不算特別突出，但店面乾淨、服務親切，尤其大份量、定價低廉的涼麵、炒麵、湯麵、湯類，讓人印象深刻。

如果在臥龍街附近想簡單吃點平民小食，是個滿好的選擇。"
Darren Chiu,4,"這間位處隱密，稍微有點遠離熱區的涼麵店，生意是好到一個爆炸，妳就知道房仲常說的，location , 然後location，還是 location …"
keira yang,5,"聽說要排隊的好吃涼麵 下午來依舊有一些隊伍
但是老闆娘動作蠻快的，並不會等太久。
份量很夠，價錢也很佛心
涼麵的醬汁甜甜的 好吃😋"
陳奕榮,4,"便宜 食材也不馬虎老闆娘很親切
點一份大涼麵加一個湯，讓你飽到天靈蓋"
Ya Han Chang,5,"很喜歡小慧老闆娘與老闆很親切的招呼。有的時候真的會大排長龍那真的是因為一個人的速度再快就是這樣了。
份量大，絕對吃的飽！我第一次點了後面老闆的炒麵，拿上來的時候真的有嚇到我！！是小涼麵的三倍多呃：）CP值💯 #大推"
Dean Kao,2,"好吃是好吃。但
拜託排隊的人可以有社交距離嗎？？
我看到根本不敢買！！！
排隊的沒自覺！！
老闆你也要提醒一下吧！！
你不要賺了錢 害了人
到時也不敢有人去買了！！！"
D H,5,味道💯和CP📈不得了👍。老闆可以考慮改善SOP。建議醬包可以提前包好。這樣外帶客人可以立刻搞定，提高效率。
何米,5,"雖然口味不是最棒的，但等級也不低，如果加上CP值來講，絕對肯定沒有意外是雙北最強！👍🏼
這大碗涼麵的量一個正常男生一餐要吃得完要真的真的很厲害
對了，一定要講蒜多，然後加點辣"
YEN CHIH HUANG,1,40元的大涼麵確實大CP值也高。但是味道真的還好，麵條本身也不好吃。第一次吃涼麵可以沒有吃完的店家，湯也是很普通沒什麼味道。評價看看就好，不可能再吃第二次。
盧昱助,1,"門口的牆上貼著：內用外帶皆要排隊。所以我們每個人都乖乖的在大太陽下曬了40分鐘排隊點餐。

沒想到我們偉大、尊貴的大安分局臥龍街派出所警察，可以直接繞過隊伍走到裡面點餐，插隊買光了所有的麵，讓傻傻排隊的每個人都再多等10分鐘。

建議想吃這間涼麵的賤民們，乖乖曬太陽慢慢傻等吧，不然就是去考個警專，再想辦法調來大安分局臥龍街派出所，才能享有如此尊爵不凡的特別禮遇。"
Bernie Tseng,4,涼麵份量比萬華的阿春涼麵還多 大份還少5元 不過阿春的味噌湯可以喝到飽 所以兩家CP值算是不相上下
robert ma,5,經濟實惠，是小資族的選擇之一。分量足
黃宇新,5,"說實在口味真的普通 基於老闆娘佛系經營給5星
但那個量真D驚人 如果你真的很缺碳水 再點大份"
魏志哲,4,大份的量為其他店家2倍，加上小黃瓜少許，吃粗飽。
葉榮峰,5,辦完事順道繞到臥龍街吃小慧涼麵，二個人點了一大一小涼麵外加一碗綜合湯(味噌，蛋花，貢丸)，味道正常，份量驚人，價格超便宜，涼麵醬不夠可以加，味噌湯不夠可以加，老闆不怕你吃，就怕你吃不飽，佛心小吃店，飽餐一頓後再外帶三個炒飯回家當晚餐，幸褔的一天，下次再來。
吳昌國,5,份量全台第一，CP值全台第一，口味真的不錯！！先撈現吃才能吃出最優質的口感，唯一缺點就是愈來愈多人知道這家了！！
Yipei Lee,4,價格便宜，老闆娘人很好~ 湯可免費續
