author_name,rating,text
MARK LI,4,"【 自來水博物館 】
位於新店溪與思源街旁的臺北自來水發源地--臺北水源地唧筒室，其主體建築於1908年，迄今已有近百年歷史。

其建築最大特色是採新古典主義為主軸的巴洛克式建築風格，內部的陳設更具有歷史意義，每一部機組設備皆代表自來水的演進歷程，蘊含著豐富人文價值。

自來水博物館於2000年正式開放參觀，因其特殊歐式建築外觀，歷史及教育上之重要意義，現已成為市政、教學團體參觀、宣傳廣告與新人拍攝婚紗最受歡迎的景點之一。 …"
Ying Lin,5,"位於台北市中正區思源街1號--紅拱造型「永福橋下公館端」的自來水博物館，是台北水道發源地、台北城現代化的起點。是個令人靈魂無限感動的重要史蹟，更是台北近代發展的重要關鍵建設。

一、興建緣由： …"
XinJin Xie,3,博物館內導覽的叔叔很熱情、講解仔細又風趣，建築外觀也是充滿異國風味的巴洛克式，陽光下非常適合外拍。但是觀音山蓄水池和水水光廊目前都禁止進入.......原本是看了網上大家介紹才來的，結果非常失望😑😑
高慧娟,5,幫家人顧小孩 疫情期間在家待不住了 口罩戴好 小朋友很開心
hsien-sheng Chen,5,在台北市區公館商圈附近的自來水博物館，歐式建築古蹟，展出自來水廠的古早文物設施，環境清潔悠雅，適合全家人散步，看文物了解歷史，每年二月份前後園區櫻花50多株（河津櫻花）開放，吸引很多遊客。很棒的場所，交通又方便。河津櫻花是很早開花的櫻花，花開迎接春天的來臨，河津櫻花台北地區較少有，自來水博物館圍牆內側，一整排的河津櫻，拍攝起來很壯觀。此櫻花花瓣較大，淡粉色，很漂亮，花開時，很多霹靂布袋戲迷都帶大木偶出來曬太陽，再櫻花樹下取景拍照片，吸引不少民眾圍觀
chi chi,4,歐式建築外觀，彷彿置身國外。網美及拍攝婚紗喜愛的景點之一。現有櫻花綻放，跟大型鯨魚裝置物，增添趣味。夏天園區可玩水，冬天適合逛園區，很是舒服。
BigLiaw Liaw,4,雖是假日卻沒有多少人，或許與寒冷天氣與疫情有關，園內設有臺南市的ORCA大型充氣鯨魚數隻，有各種大水管的裝置藝術，巴落克（？）主建築也是排照重點，另本次入園首次發現之前沒注意到的“小觀音步道”，最高點處有蓄水池及淨水室等古蹟。
Thomas W,5,旁邊的一段小步道，走完一圈約不到一公里，適合帶小娃兒來親近大自然，必備防蚊貼片。
胡惠珠,4,位於公館商圈中的休閒小區，可搭配寶藏巖、台大校園做一日遊，在炎炎夏日既輕鬆又消暑，水源區更是適合兒童戲水，或是四處拍照打卡的好去處。
誠誠,4,"冬季時園區內人少的剛剛好，逛起來比較舒服。
園區內有小觀音山步道（海拔約40公尺），循步道慢遊一圈約40到50分，可到小觀音山蓄水池（號稱地下宮殿，需提注意開放時間，1530到時已關門），也可看到新店溪等景色，適合親子旅遊。"
YiYing Lian,5,位於公館商圈旁邊，園區內有各式裝置藝術，自來水博物館外觀為歐式風格建築，裡面有介紹自來水歷史，適合帶小朋友前往，夏天還可以玩水，春天則有櫻花可以欣賞
Wang Johnson,4,"時代賦予這個抽水站一個歷史
保留了近百年，台灣自來水發展史
無論近百年水管，抽水泵，或是洗手台
921地震中部自來水管扭曲變形，告訴我們，大自然的力量，省思我們珍惜資源，飲水思源"
Sylvia,5,導覽詳盡，對日據時期大台北自來水系統建立有更深入了解。大門口有戲水區，園區內也有一小段自然步道，非常適合闔家假日散心。
李世宏,5,臺北水道水源地位於臺灣台北市中正區思源街1號，國立臺灣大學水源校區對面，原為中華民國三級古蹟「臺北水源地唧筒室」，2002年2月5日公告更名，並將觀音山蓄水池、量水室、渾水抽水站列入古蹟主體範圍。現由臺北自來水事業處開放為臺北自來水園區內之自來水博物館（水博館）。是個漂亮的地方，值得來參觀。
Tina Li,5,園區很大、裡面很有得逛！參加限額的觀音山蓄水池的導覽、講解得很祥細！瞭解台北市自來水的歷史、很棒有很有意義的行程！
吉兒,5,"跟著導覽員的步伐，沿途講解走上觀音山，到達山頂時，映入眼簾的紅色建築，大門後的地下水宮殿💧, 有著相當重要的歷史任務，雖然現在已經功成身退，但，透過熱情又詳細的導覽解說，彷彿歷史重現，令人嘖嘖稱奇。"
Sundra Wei,5,巴洛克風情建築讓婚紗攝影列為拍照地點，內部陳設的機具更具歷史意義，代表自來水的演進過程，後面有小觀音山生態登山步道，到觀音山蓄水池再轉步道到寶藏巖國際藝術村，能玩的很盡興是非常棒的景點。
yeoman,4,"自來水博館   管路千千轉
到處會轉彎   水流可循環"
許苗,4,小巧的 踏青所在，雖有知名的地下儲水地宮，僅假日開放導覽，上下午各一場名額30人，我下午早早去被告知一早已被發放完了 ，遠地來也只能自己走走後山坡，這裡是不錯的年長者踏遊的 好場地，惟65歲以下要收費，若不是要看儲水地宮，到附近對面的台大，校園優美又有9處免費小型博物館，可觀覽之處絕對優於此地。
YH HS,4,很值得參訪的地方。惟一可惜是導覽老師遲到10分鐘，預計50分鐘的行程卻又花了1個半小時做生態環保教育。可以深入參觀古蹟的時間被佔用掉了。
liying chen,4,2021年夏天缺水，戲水區無法啟動，只剩步道可以小小爬山遊憩，博物館展示也稍微單調，非常可惜。建築物漂亮，不愧是婚紗打卡地點。
Lo美勛,5,經由參觀和人員導覽瞭解最原始的自來水如何形成，造福後代子孫有乾淨的水能使用
兆偉郭,5,老台北的地下神殿，百年前就默默的為台北現代化諾里
DanielL888,1,前台服務人員愛理不理的，是有欠你家錢嗎？一直在玩手機，旁邊警衛比你認真都多少倍。
香媚王,5,有導覽介紹，加上參觀淨水池，真的太讚了。淨水池參觀只有每週六，日下午2：30一場而已喔！
Shiang Huang,5,"裡面有歐式建築可以拍照, 右手邊還有一個有林蔭的小登山步道, 鬧中取靜散步的地方, 步道還有叉路能直接出到寶藏巖(只出不進)"
吳崇彥,4,"『自來水博物館』乃是臺北水道水源地，屬市訂古蹟，園區內醒目的建築物《臺北水道汲筒室》建於1908年，參觀此博物館需藉由專業導覽的解說，方能瞭解這裡過往的歷史！
弧形的建築外觀十分吸睛，乃是拍照打卡的景點，裡面有壯觀的抽水機群，還有一個鎮館之寶值得來此一探究竟！"
Susan,2,"2020/12/06是辨活動~聖誕季,免費入園。但是,如果平時~80元門票~我不會想花錢來。"
Shiawminn Lin,5,位於自來水園區內，進入園區需先購買門票/50(非夏季)，博物館本身是古蹟且外觀建築唯美，令人流連忘返。
Wing Chuang,4,這個博物館是以前是負責台北市所有的自來水， 是一個非常有紀念價值的地方，而且 他的建築物非常漂亮，有很多的 古代的水管古蹟，還有一個地下皇宮，是 儲水的地方，非常值得來一遊。
LM Chiou,4,"台北市供水現代化的發源地,有人講解更能了解歷史,老少咸宜的地方。"
林哲弘,5,"很漂亮 還可以帶小朋友來玩水
最好帶上放蚊液
建築物也非常漂亮
附近停車位很多"
李麗芬,5,保留古蹟歷史軌跡，可細細品嘗
Doreen Lin _koc,4,遛小孩的好去處、小孩玩水很愉快！但假日人爆多、停車困難要排隊很久！要耐心等候
JJ. Evaa,5,"了解到台灣供水的不易,前人真的很辛苦,我很感恩！"
Jessica cheng,5,自來水博物館，到12月底有公館聖誕祭，有虎鯨的大型氣球和燈飾及耶誕樹，晚上點燈很好拍，喜歡戶外活動的也可以去爬小觀音山，了解自來水博物館的歷史，適合全家旅遊的地方
FunPH Wu (狗狗),4,9:00開門所以我們9:30就買票進去拍照，門票🎫50塊，進去還以為沒開門因為一個人都沒有，滿適合拍照的地方只是之前上網看婚紗照很多照片修得也太超過了因為現場建築的顏色根本跟照片不一樣XD
林美玲,4,第一次來到自來水博物館，裡面挺大的，整點還有導覽，因為時間有限，所以沒有全程走完(例如：小觀音亭)，期待下次再去參觀，但是，門票費要50元(年滿65歲可免費入園)。
陳詩涵,5,"親民好去處
走完不會花很多時間
也不會太累
適合帶小孩去走走步道
還有玩沙玩水的地方"
Hsieh Simon,4,"可以悠哉閒逛打卡拍照的景點, 老人小孩都免收門票."
Vicky Chen,5,很不錯的地方，可以參加導覽然後走一下小觀音山。因為要門票所以人很少，在臺北市中心難得的清幽，廁所竟然都是免治馬桶蠻讚的。也可以順遊寶藏巖
pang jinyan,5,超精彩！歷史古蹟的設計實在太有巧思，一百多年屹立不搖。
陳煥文,5,台北自來水園區花木扶疏風景宜人，博物館內資訊豐富，導覽親切熱誠，口齒清晰深入淺出獲益良多，頗具參觀價值。
OR,5,假日的解說導覽真的很有趣
Tom Cheng,5,自來水博物館外觀有歐洲風，裏面也有珍貴自來水文物可瀏覽，真的值得一訪
王小茹,2,不用門票的話可以走走看看拍照，如果收門票雖然也不貴，但裡面其實也沒有甚麼東西，走一圈很快
唐宴川,5,建築壯觀，環境優美。交通便利值得一遊。
劉賢章,3,好拍照，也是新人取景的熱門景點
林哲志,5,悠閒輕鬆，附近又有捷運站，有時間可以往山頭淨水廠方向，非常適合家庭出遊且兼具歷史教育的好去處，門票也很便宜
Alex Taiwan,5,冬天來參觀以靜態博物館導覽與後山步道為主，許多有特色的古蹟
Abor Chen,4,近於公館，夏天帶小朋友玩玩水還不錯
John Tsai,4,自來水博物館-別致的「巴洛克」風情建築，值得大家前往一覽。
劉得謙,5,一處很有味道的巴洛克風建築適合散步拍照喔
蘇坤生,4,景點，就只有1處博物館是比較好的，其他景物一般
陳joanna,4,櫻花盛開，美景當前，別錯過~
C.H CHANG,5,如果你想一次了解台北水道，別錯過這個活動。趕快聯絡，12/25日 雙水祕境。
