author_name,rating,text
朱芸,5,"目前心中涼麵排行第一名👍🏻
麵值偏硬一點點，咬起來勁道勁道
醬很香
重點，店家的辣油一定要加！！！
加了超級無敵好吃！很香～～～～
配個湯就可以吃很飽～
從學生時期吃到現在，回台北都還要特地去吃！
豆腐絲也很清爽很推喔！
停車的話可以停在對面國北的停車場，走過來很近
也可以搭捷運科技大樓站走過來"
R. Y.,2,"點了雙醬涼麵跟原味涼麵，後來覺得還是原味涼麵比較好吃。綜合味噌湯喝起來甜甜的，蛋花很好吃。
可是不知道為什麼吃完回家就開始胃痛⋯甚至有點拉肚子。"
Aaron Kao,4,雙醬口味重，味噌湯大碗但偏淡。
YARUO LIANG,5,"有素食選擇很開心🥳下次再吃吃看別的
素食麻醬麵很好吃
但麵好像不是很熟
就是涼麵那種 稍微硬一點的"
Sally Seeds,5,"涼麵小 $45
味噌湯 $20

第一次來午餐時間
店家乾淨俐落速度很快店內許多上班族跟學生

口味不錯不死鹹 麻醬味道香濃
還有其他選項，下次來試試"
KIEFER,4,"四星很滿意

原味涼麵的醬料跟涼麵比例完美，清爽不厚重，一口接一口就會吃光光。

雙醬涼麵太厚重，當早餐有點負擔，湯真的就是毫無記憶點的配角。"
Danny Chou,4,"双醬涼麵口味偏重，不過兩種醬融合的蠻好，芝麻醬也蠻香的，喜歡涼麵的人應該會喜歡。味增貢丸湯則表現的中規中矩，沒有特別突出但也不失分～
店裡生意很好，用餐時間來內用有可能需要排隊喔！"
何怡葶,5,朋友外帶這家涼麵給我，一吃驚為天人，隔天立馬跑店面繼續吃，缺點就是涼麵與味噌湯都是重口味，除非搭配涼拌洋蔥小菜，建議老闆賣紅茶，可以整體餐點中和一下。沒有的話就隔壁飲料店自己買囉😂
Chi Lo,5,味噌綜合湯必點！！！超好喝的蛋花不手軟給好多，完全滿分
捏捏,4,"醬很多，吃起來很不錯！是好吃的傳統涼麵👌不用怕踩雷

不過有加雞絲的個人覺得訂價比較貴（圖中80，同份量沒雞絲的50）少十塊好像比較合適"
Matt Chen,4,"整體Ok
但一樣不到很驚豔的店
麵條選用黃麵  但口感還不錯
不輸白麵條
份量普通
跟台北大多涼麵店一樣
溫度還是偏常溫
缺少涼爽的口感

味噌蛋花湯滿大碗
蛋花滑順帶點甜味"
Isaac Xia,4,涼麵感覺是小時候的味道。拌之前忘記新拍，拌勻了才想起來，這是特大份，兩個人吃剛剛好。
