author_name,rating,text
Alec Blue,5,這次剛好買到剛出爐的，非常好吃且口感紮實，重點是價格還很便宜！多多支持這樣的好味道
Sharon Lee,5,"用料超實在，而且內陷也很棒
今天點了紅豆口味的雞蛋糕真的超級好吃👍🏻"
K.S LIN,5,熱騰騰的奶油雞蛋糕好好吃😋，老闆夫妻都是瘖啞人士，比手畫腳點餐的體驗很特別。
Andy Tsao,5,"莫名的感動油然而生一路口就知道不一樣，老闆是特殊人士，可以用手筆的方式來溝通。
兩隻大拇指double click，表示謝謝！"
Sheldon Chen,5,"好吃😋外脆內軟，奶油餡很多🥰
記得比手畫腳點餐～"
chen kite,5,10幾年前在公館工作時，經常買的下午點心，好吃又便宜，現在每次去還是會買！
風鈴聲,4,聾啞夫妻在賣，還滿好吃的，只是爐小了點，需要等
謝沂諠,5,"好吃，老闆很大方，用料實在
這樣滿滿八個才30元～超佛"
Sunny Fang,5,"雖然是個普通的小吃，但是會讓人一口接著一口！
每次都必須買三份原味才夠吃，雖然稍微乾一點，但是味道很香很濃郁！本身很喜歡配著牛奶吃。
雞蛋糕本身模具有兩個，一個單顆比較大一個比較小，所以有時候可能會有少一顆的問題，但其實是老闆給了多個大顆粒的關係哦～
老闆夫婦是聾啞人士，他們靠著自己努力過生活，覺得非常值得大家的支持！"
李哩哩,5,"推薦奶油口味，雖然內餡不到滿滿的份量但也不會太少，咬下時有一點點些微的鹹味加上奶油的甜味，好吃😋熱熱吃餅皮很鬆軟，冷掉時稍微偏乾

老闆是聾啞人士，用比的他就會知道囉！有內餡的口味五個三十元，價格不貴，有來到公館夜市都會買來吃吃"
莎莎王（Cxa）,4,皮是軟的雞蛋糕，平價，口味平實
K AI,5,口感很好的雞蛋糕 老闆很親切！(給十個讚，大家不要都只買google有名的吧⋯⋯有些其他的也很好啊)
Sze Jie Wong,5,"目前為止心目中的雞蛋糕No.1
雞蛋糕鬆鬆軟軟，散發自然的蛋香，不是那種香精的香，糕體鬆軟，皮微脆，不會吃到像一些雞蛋糕為了讓皮酥脆而加了很多泡打粉的感覺。老闆和老闆娘態度都很好總是笑笑的。
每次經過一定會買一份來吃，少許錢就能滿足嘴饞，很滿足。"
陳宇湘,5,奶油雞蛋糕還蠻好吃的，不過我還是比較外酥內軟的那種
stella,5,原味甜而不膩，價格實惠！
陳怡中,5,"有餡或沒餡都好吃，每次經過公館一定光顧，老闆娘永遠都笑笑的態度很好。

夫妻是聾啞人士記得指牌子點餐！為了環保，可以先跟老闆比不要塑膠袋歐。

雙手比讚往下彎大拇指是謝謝的手語～"
Claire Wang,5,老闆親切，真材實料，平價好吃！
DW,4,小雞蛋糕，稍偏甜
王早,3,不錯吃 偏乾的口感配上奶油還不錯 屬於高cp小吃
Chu L,5,好吃 老闆賣很久了 從小吃到大 很傳統的味道
Yes I Can,3,好吃是好吃! 但有時老闆會少給我一顆! 事後發現有點遲!  應該先檢查一下數有幾粒先!
柯佳佑,2,其實 不管冷或熱 吃起來口感都偏乾
RS (RS),5,"紅豆餡很實在就是紅豆，沒有修飾澱粉。
麵糊材料單純，雞蛋糕冷掉會偏乾，要趁熱吃。
請用比的，指著招牌表示即可，並自己拿竹籤。
老闆好心都會裝袋子，但避免溝通不便，如果只買一包主動拿過來吧，節約資源喔！"
Wentyng,5,公館必吃
E.P,5,還不錯吃，又不貴，老闆好像是嚨啞人士，一開始沒發現，只覺得怪怪的，後來幾次才發現，現在有經過的話都會買。
Irene Weng,5,剛出爐的奶油餡真的世界無敵好吃（冷掉就普）
德哥,5,這個雞蛋糕專為螞蟻人設計
in sh,5,好吃，不偷料不偷加水！真材實料，老闆是啞巴，多多幫忙做善事！
S S,3,乾了一點
Elle Liu,5,"公館夜市一位聾啞阿伯賣的雞蛋糕
少見便宜好吃的雞蛋糕
軟綿綿的
另外還有包紅豆或奶油餡的雞蛋糕
每次都很愛來點包餡的～"
YU CHUN LIN,5,有著紅豆餅靈魂的雞蛋糕。
Claudy Cheng,5,好吃又便宜！外皮一點焦香一點酥脆！
Dora Lo,5,老闆是聾啞人士，點餐要用指的噢❤️
Kenyon (kenyon0619),5,"好吃又便宜
不過要注意老闆是聾啞人士哦~"
monica Lin,3,原味還不錯吃。
Chiang Ginger,5,沒吃過這種外皮脆香這麼好吃的雞蛋糕🤤
CC W,5,"超好吃
便宜
很親切
超級愛"
陳英哲,5,趁熱吃
