author_name,rating,text
李盈璇,1,男生微胖藥師態度很差，到底是在不屑幾點的，很有事！！！
陳建萍,3,藥品還賣家庭清潔用品喔！8點開始營業很方便購買。
Hypnos Huang,5,少數八點就營業的藥局，方便不少。
亮亮,5,位置便利店員親切 想買什麼基本上都找得到 防疫物資漲幅也都還可以接受 藥師們很親切 不過店員只有一個人感覺忙不太過來
Joanne Chen,5,常來這家藥局，藥師們都很親切專業，很喜歡這裡的氛圍，價格也很合理。政府口罩我也都來這邊領，很喜歡這裡的女藥師：）
陳朝進,2,處方籤不能拿藥了，連口罩也沒有了，店員態度很不歐K
ixia1005,2,有他幾個藥師臉超臭 服務不好 不會再去
歐拉星,5,看得出來藥師在防疫期間忙到崩潰，已經盡量用最有效率的方式服務民眾，但還是會有一些不理性的客人無法溝通，真的辛苦了~
蘇子涵,1,"女藥師賣有污漬的布口罩，要求退換，又換到有問題的口罩，縫線都鬆了，她還說不影響使用，只能二選一，問號 非常劣質黑心
請問購買前有告知嗎 消費者白白接受你們的瑕疵品???"
Ke,5,防疫期間不會哄抬物價的良心店家，2020年1/31在此買了天乾消毒酒精(500ml裝含噴頭)，售價85元。
葉宗瑞,3,櫃檯人員不知道要跟客人聊多久，服務態度也差。
林約翰,4,"藥品種類較少，價格便宜。
。請幫我評論按＂喜歡＂，拜託，謝謝！"
陳雨柔,5,一位女藥師非常親切！謝謝
CH-YU,5,用藥仔細不會隨意推銷👍
Daisy Lee,3,"不會推銷自費藥品,但領藥速度較慢。"
Aileen,5,藥劑師親切 ，用藥準確 ！
