author_name,rating,text
Eliza Lee,5,捧花蛋糕非常精美又好吃！店家服務品質超讚，感謝店家讓我在疫情三級警戒期間還能收到美美的蛋糕慶生:D
Jas TG,5,"店旁邊很難停車，也很難以大眾運輸抵達。個人最推薦提早網路下單，台北地區使用lalamove配送，省去到店取貨的時間。

店家包裝完整，每個杯子蛋糕與蛋糕盒固定的很穩。有次購買比較多品項，擔心商品無外盒造成運送破損，致電去店家詢問，他們能給予專業的意見，耐心解釋。

蛋糕精緻程度不在話下，奶油雖然很多，搭著巧克力與莓果醬的蛋糕體，一顆杯子蛋糕也讓人感受沒那麼負擔，每次送人都獲得非常好的評價。 …"
Yi Chun Lin,4,"很漂亮真的很漂亮
令人會捨不得吃，只想當個美好的裝飾
覺得店家手藝真的很好、很巧
因為實在很精緻❤️
不過實在不合胃口⋯⋯
最後還是完全浪費了😔"
賴昆佑,5,很美很精製的豆沙裱花蛋糕 裡面巧克力的內餡 不會太甜 用來慶祝或是記念都是很不錯的選擇
Joyce Wu,2,"杯子蛋糕很普通
但沒吃過如此廉價的奶油霜 很美是真的
🥲3個210真的不太值"
Millian Liu,5,加拿大的好朋友因為今年疫情沒辦法回台灣跟我慶祝生日，所有自己偷偷上網訂了蛋糕送我❤️ 店家還可以幫忙寫卡片，服務態度也很好，也跟外送配合！蛋糕本身超級美的，味道也很棒，沒想到調出來的顏色都是用新鮮水果，感覺很棒❤️
Chang B.,4,偶爾可以當網美來吃一下，東西都蠻貴的喔
JENNA HUANG,5,精緻細膩的玫瑰捧花蛋糕是每個女生的最愛、酸甜水果口味的花體奶油非常可口、蛋糕因為經過冷凍後退冰感覺沒很綿密、但也許常溫時間再久一點口感更好、整體上我還是給五顆星評價。
Jin Lo,5,"為了給台灣 best friend 一個生日驚喜，居於香港的我拜託女兒從網路上找一間 online shop, 幫我安排一束鮮花和一個蛋糕送給她；三十分鐘後女兒找到你們，一看產品介紹已經很喜歡，知道我朋友一定會滿意這份「二合為一」的禮物 😄😄

一貫的台灣風，服務態度非常好，出品更是
「猴塞雷」🥳🥳

疫情後，我一定親自登門拜訪，親賞你們的精美蛋糕😎😎"
Eunice Chiu,2,"很美，適合當拍照道具的蛋糕，
但實在不好吃。"
1997___ting,1,沒訂過這麼爛的蛋糕 之前約4點取貨 4點到了一句今天天氣比較熱奶油凝固不了就要客人無止境的等 也沒有事前通知什麼的 還以為是上好奶油在等凝固了 結果根本還沒開始 最後在現場等了一個多小時 後面行程直接耽誤 店員態度差到爆 回家還發現內餡訂香草結果給巧克力 無言死大家不要被臉書廣告騙==
YY Chen,5,"蛋糕真的太美了 看評價很多人反應蛋糕奶油太硬
但其實老闆娘都有事先告知原因以及退冰的最佳時間
蛋糕帶到餐廳的途中因為是尖峰時段手上都拿很多東西，擔心被路人撞壞，但其實店家包裝的超好，真的沒有那麼容易撞壞！

當天天氣冷又下雨，餐廳出菜速度超慢所以我們在常溫下放置了將近三小時，不過部分奶油還沒退回最佳狀態，有點可惜。

蛋糕口味還可以，吃起來一般般，不過實在太美了～雖然小小四吋就要一張小朋友，不過真的是要佩服這個技術！至少壽星一打開蛋糕就是驚呼連連！連加購的草寫英文字都超美～真的很推多花一百塊加購！"
Linda Lee,5,"當看到蛋糕那一刻⋯💕
就覺得怎可能⋯有那麼唯美的藝術作品擺在你眼前！
當下非常驚艷⋯
品嚐到之後⋯
更為小確幸❤️

白色之戀精裝版8吋～真的好高雅！
這次選購的是可可蛋糕夾覆盆子果醬，整體品嚐起來很搭、不甜不膩！奶油霜吃起來也不油！
很值得推薦！
看見闆娘的用心❤️品嚐起來真的很幸福💖"
王清德w31r5395,5,"客制化捧花蛋糕 漂亮 美美的 送禮好選擇
收貨人 會很有驚喜！"
LIYING YANG,5,2016年開始認識了Felicitas，買過捧花蛋糕、手工甜塔、餅乾等。會讓我每年自己生日、朋友生日和逢年過節都選這家的原因，就是「真材實料」與「價格公道」。老闆老闆娘平常非常忙碌，所以每次去店裡我都很耐心的等候，吃手工甜塔配飲料，悠哉的聊天度過一下午。這家店值得六顆星推薦★★★★★★個人大推「白巧玫瑰覆盆子塔」外加「巧克力太妃糖」。
chan jojo,5,"看評價有點擔心會是自己不喜歡的口味
但看了ＰＩＮＫＯＩ的評價4.8分＋超美的玫瑰花就決定立馬下單哄老媽開心，先是問了可以收到貨的日期後就下訂自取了
是去年訂購的
當時買了預訂的整顆蛋糕＋買現場杯子蛋糕很是喜歡～
最愛Ｂ５２雞尾酒口味的，水果味道的黑醋栗可可也好吃
顏值的話給100分，老媽收到超級開心，直呼超級美捨不得吃，下刀一直卡住ＸＤ雖然一直念我們不要亂花錢，但是收到根本笑到合不攏嘴ＸＤ …"
Kh Lin,2,蛋糕很漂亮，但是味道不值那個價錢
陳Lin,5,"精煉蛋糕配上聖誕節❤️
真的值得當作送禮給另一半👍🏻"
MultiZnZn,1,不能準時送到就不要給顧客選擇時間，預定13：00-15：00到花了250元送貨，貨物拖延就只說因為下雨無法找到送貨員不出貨，也與送貨員沒有良好的溝通，我們還自己與送貨員溝通了許久，是一次非常不好的購物經驗，強烈建議店家改進，不準時蛋糕再漂亮好吃都會打折。
Mia Huang,1,你們的一句，但是我們很多客人都知道，不代表所有的客人都知道，店家不負責任的態度，想要好好慶生，訂蛋糕前真的要慎思！！
Rabbina lee,4,"朋友論文口試請教授吃的蛋糕xD
真的小巧可愛，玫瑰超美，包裝也很精緻美麗，如果要送怕胖的朋友，因為尺寸很小不用怕負擔太重，絕對是送禮好選項。
但是實際吃起來沒有看起來那麼高分，覺得蛋糕體比較乾硬、味道也不太突出，不過沒關係，反正只有一兩口的大小😂 吃個開心就好"
張錦相,5,"精緻 優美
蛋糕也好吃
朋友超喜歡❤️
有機會會再回購"
ho wei,5,"蛋糕真的超級無敵美的！！！因為臨時要送長官，所以臨時在網路上找的
本來擔心跟圖片不符＋沒有預定，打電話想說碰碰運氣，結果沒想到被我遇到當天現貨最後一組六入玫瑰花可以買，聽了店家指示要網路線上預訂付款，再請店家保留，趕在下班前衝到門市去取貨，取件的時候真的眼睛要發光了！也太美～店家還一直囑咐我要怎麼運送跟怎麼吃，真的很SWEET！
晚上跟長官聚餐，拿出來真的超級無敵有面子～蛋糕顏值真的很美，口味也不錯！大家都超愛，還一直問我在哪買der
坦白說真的很不想說出來～因為很怕我的口袋名單又少一個ＸＤ"
張菲比,5,6寸的獨角獸蛋糕真的超級美，而且本來以為蛋糕體不會大，老闆說因為是雙層組合所以實體幾乎像8寸的蛋糕🥰口味也超級好吃紮實，而且不會很甜！每個花朵都製作好美，都是闆娘用新鮮食材提煉出來的顏色，很捨不得吃🤣這是我第二次訂的生日蛋糕，因為去年的生日蛋糕每個人都讚不絕口！非常謝謝闆娘用心製作讓我與家人留下很美的照片與回憶
李惠媗,5,"服務人員非常專業 耐心
精緻美麗的蛋糕送禮最首選
搭配下午茶 像貴婦般的享受
感謝你們的用心"
雙子星,2,蛋糕很漂亮，但價格太高了，口味其實很普通，沒有驚豔的感覺
Evelynlee,3,"蛋糕很美適合送禮
宅配會有撞壞風險
價格不菲"
wu evelyn,5,"今天到店裡拿了提前2星期預訂的蛋糕，看到後，整個眼睛發光⭐️，只能用「美」形容。

蛋糕的顏色都是用食材調出來的～網路上常看到有些店家蛋糕的顏色很繽紛，腦裡會想，這不知用了多少的食用色素？或者放了很多裝飾品在蛋糕上，看起來很吸睛，那裝飾品拿掉後，大家看到的實體是什麼？

這次選的蛋糕體是香草+覆盆子，另外加了藍莓及金箔元素點綴。蛋糕好吃，玫瑰花奶油不會很甜，而且也適合小朋友，不會吃到太多色素哦。"
臣又貝,1,"價錢不斐的蛋糕，非常的漂亮，
拿到後請務必拍好拍滿，然後就可以＊了。

食...食用？一定是誤會什麼了，
這是藝術品！
擠花和手工的細膩度絕值回票價，
但就個人而言口感絕對是負的。

所以就外觀五顆星、口味負10顆星、價格五顆星，
平均之後就是剩下一顆星了。

外觀和口味沒有辦法成正比嗎？
去看看某家的感官花園吧，
也是很貴很漂亮但是又好吃，
所以如果只賣一次性的沒有讓人有回購的慾望的話，
我個人覺得滿不行的。"
NANA CHENG,5,"蛋糕好吃又超級美，一打開就抹殺大家不少底片
同桌友人吃到蛋糕都驚豔連連，連包裝都超精美
上面的顏色跟食材還是全天然製作，花朵酸甜酸甜不膩口敲擊好吃的～
搭配巧克力蛋糕根本無敵！！！
女生收到完全無法抗拒啊啊啊～～大推～>///<"
怡蓉陳,1,"如果你們不能如期發貨就不要給客人選時間！
明明收貨時間給人家選又提前一天送！
請問一下別人的時間都不是時間嗎？
我就是今天要慶生才選今天收貨！打去客服跟我說昨天已經發貨我沒有取收要等下禮拜一
你們收貨時間讓人家選是在選什麼意思的？
好好的生日被你們搞砸就好了啊！
爛"
Jun Li,1,負分評價！很不愉快的購物體驗！蛋糕除了顏值沒有任何優點，也就只是拍照⋯⋯期望太高失望太大。門面超小，難找，價格不低，大熱天連冰塊都不配，店內還沒有冰塊賣，玫瑰花是非常廉價的奶油，打開盒子就是一股廉價奶油及久未除臭的冰箱味道（感覺像是蛋糕吸收了冰箱的異味），不會再度消費。想要購買的朋友慎重！
Yvette Liu,5,"花束蛋糕禮盒實體超美 杯子蛋糕也好好吃。
謝謝貼心的店家協助 時間很急迫的訂購仍然給予100分的服務品質 回購蛋糕的首選就是你們了😆"
