author_name,rating,text
周惠真,5,大A教練領導的團隊很專業，詠心教練、翹翹教練對學員們皆耐心的指導，也願意對學員付出相當的關懷。學員來運動的次數超過500的人，比比皆是....整體來說，這裡是一個舒適溫暖的運動環境。
Mandy Chen,5,"上了半天的班,最期待每天中午到curves運動,讓自己釋放壓力,身心健康都兼顧到,讓下午的工作,有好體力與心力去完成。"
曾淑芬,5,離家近，專業親切教鍊打造你的女性專屬健身中心，超級棒。
Casey Chu,5,場地棒，教練棒，我已經成功減重12公斤了，短短七個月時間💪💪💪
姜秉辰,5,運動空間舒適不擁擠，教練會親切提醒，我運動的好地方
湯明德,5,教練們非常專業及熱心，使我受益良多！
shannie chan,5,位置好，教練又親切專業耐心！好棒的運動場
林李佳蓉,5,最棒的運動體驗、最棒的教練指導、最溫暖的鼓勵！curves信義通化店最棒!
Anna Lee,5,教練專業、nice.有耐心。讚👍
陳玉綸,3,清潔狀況需再加強：飲水機上有灰塵，出水口似乎未清潔
台北市中山女高李明慈,5,教練親切，專業佳！
Tzu Chun Chen,4,"教練親切，服務好。
隨到隨運動，30分鐘省時又有效，常有小活動激勵會員持續運動，另外都會有教練在場中關照大家~~本身已基本維持一周運動2、3次5年以上了（特別推薦給媽媽、家庭主婦和較年長女性）"
黃惠莉,4,對忙碌的女性上班族而言，是方便快速安全的運動方式，教練親切，又提供飲食生活諮詢。
Lanting Pao,5,在這裡不只是運動，更獲得很多有關飲食及身體保健的知識。舉辦的活動及座談更促進會員同學們有更多互動，增添運動時的氣氛。
Linda Chiang,5,平常沒有太多時間運動，Curves 只需要30分鐘；教練也非常親切，指導的也很仔細～真的很推薦！
汪素珍,5,方便又有效率的運動，適合各年齡層的女性，一起為健康加油!
陳如意,5,每個教練都很盡則，很貼心地關心每個會員超愛來運動
Hiro Sun,5,"給予女友非常專業的建議 , 讓我放心(開心)把她交給Curves , 女孩們加油!!"
sy lin,5,教練很親切，熱情，也會給予安全正確的運動指導。
袁麗圓,5,規律運動，精神好。動又教練可愛又親切
王嘉寧,5,婆婆媽媽一起動起來的好地方，絕對可以用規律運動打敗體脂和體重，
賴桔,5,Curves真是一個運動的好地方，我喜歡！
Qmei Wang,5,這邊是一個適合想把自己照顧好的女生來的地方喔!
張阿彩,5,在此運動身心靈都很舒暢，教練都很親切。
葉震達,5,一個舒適輕鬆又有健康概念的極佳空間，值得推薦 。
paula wu,5,這裡的教練會親切、有耐心的一對一教學，真的很棒!!
陳昶瑞,5,非常適合女性的健身環境，教練群也超專業的
林孜娉Ann,5,教練與學員的互動很好，也很專業，很棒的運動環境
Sharlene Shaw,5,熱情的教練，陪伴我們快樂地運動❤
許芳美,5,很有活力，親切，關心妳的健康，值得加入！
吳玲慧,5,環境舒服、教練都很貼心～我喜歡Curves
Terence,5,很好的女性運動品牌，老婆有持續去定期運動
Mei-Feng Wu,5,這裡的教練很親切又有耐心，在這裡運動真的很開心
小姐徐,5,不只是運動，還有超好的會員服務
王德利,5,適合輕熟女以上的朋友運動健身的好所在
Toby Chou,5,教練貼心，輕鬆可以享受運動！
李大A,5,超讚的女性健身中心，快速有效！
hung Grace,5,教練很好，環境也不錯。
nancy nancy,5,店長和教練專業、美麗又親切，每次來運動都很開心……。
FuZhan,5,很適合女生朋友去，推薦
Spark Wu,5,很棒的空間，很適合大家來
王瑞珍,5,教練很鼓勵我們，很感謝教練的教導與鼓勵
聞參,5,一定要帶媽媽來！
許逸民,5,老婆終於找到適合自己的健身房
nicky hsu,5,超棒的場地和其超親切的教練
Nancy,4,一天三十分運動，減肥不再找藉口
Gloria Wu,5,可以很安心運動的地方
f t,5,維持運動習慣的好所在
陳尤雅,5,教練很親切
陳怡君,5,教練很熱情
liling Ming,5,健康快樂
張益堯,5,"(由 Google 提供翻譯) 非常用心的健身房

(原始評論)
非常用心的健身房"
