author_name,rating,text
州,5,"【豆包湯麵 85元/燙青菜 35元】
價格憑印象，若有錯再請告知。
無論如何，真的便宜又大碗！
燙青菜有五種可選擇（當天去是芥蘭菜、地瓜葉、高麗菜、龍鬚菜和菠菜）種類之豐富，已經比其他店厲害很多；我選擇了龍鬚，重點是份量還不小！🤠🤠十分驚艷。

豆包湯麵料也十分豐富，豆芽菜、豆包、菜頭等，吃下去十分飽足～推薦給想吃素的朋友🙏"
周宜玫,5,"⬜ 豆包湯麵$80
料真的非常豐富
豆腐豆包青菜蘿蔔豆芽菜海帶...
而且麵非常多 會吃的很飽那種！
⬜ 燙青菜$35
可以自己選擇要哪種菜
菜也給的很大方！

是會想讓我再回來試別種麵的店😋
另外，提供電子支付真的推推推👍
好吃又健康 愛了"
Nick Wu,5,素食者的福音，價格便宜份量十足、豆菜冷麵、素豆包大推。
萬孟賢,5,"真的超讚的蔬食小店，明亮乾淨服務好
餐點調味偏清淡，無負擔
選擇多樣，每週吃個幾次都OK
尤其是素肉圓和甜不辣！轉素之後也能繼續享用台灣小吃的美味😋

有街口、Line pay，付款方便👍"
1,1,服務超爛，點餐等超久，都故意讓客人排隊，點餐還要重複一直問，大雷店！
朱修顯,5,這家的豆菜冷沾麵 那個醬 調配得很好 敢吃辣的 可以吃中辣 很讚 水波蛋 蠻不錯的 素肉圓也很好吃！！ 下次還要再來！！
Cherry Chen,5,豆包麵湯頭滿好喝的，配菜也不少，其中炸豆包應該是跟彰化素食進貨的（外型、內餡、大小、調味和口感都一模一樣，很經典的料理，彰化素食一條賣$13，料好實在又美味），店家在台北賣$25/條也不算貴。牛蒡甜不辣口感很好，紫菜智慧糕雖不錯吃，沒什麼紫菜味就是了。
鍾宇明,5,"營業快1年，我才發現有這麼好食的素食店。
素麵線（大）真的很大碗，份量非常多。
油豆腐很特別，是長方形而且又大塊，
一般不是三角形就是方型，同時很小塊。
綜合甜不辣和肉圓都在水準之上。
豆包蘿蔔湯的豆包非常大顆，內饀很多！
湯頭也非常好喝。
乾拌麵也很大碗，素肉燥非常香。
值得再來光顧！"
Dingwii,5,乾淨好吃的食物，湯清淡但口味很棒，燙青菜也不會油膩！
mica Lin,5,素麵線不錯吃 而且大碗 和汐止的愛上素食味道有點像 令人懷念的味道
夏天W,5,常常來，老闆老闆娘都很親切！東西都非常美味也獨特，即使我非素食主義者也很喜歡他們的餐點！絕對值得一試！健康又美味！
阿K,5,附近華而不實的飲食店很多，這一家特別實在
