author_name,rating,text
陳京羚,5,"謝謝大家不管刮風下雨^~^特地來上老師的課！
學生身體的健康是我最大的感動和收成~
我會為每根不同的稻草量身訂做屬於""自己""的進步方式~這是我最心安及教課的驕傲！歡迎大家一同來感受！京羚老師"
涂慧珍,5,"因為對大球的好奇而來上星期三的課，老師發現我的身體‘頂扣扣’，要我加一堂星期五的伸展課，原本只是聽聽⋯
結果第二次上課，老師問：星期五怎麼沒有來？我：我沒報名啊？！老師：妳還敢說！🤣🤣🤣
這就是老師，永遠比我們更重視我們的身體💗
每次上課前總是滿懷期待，不知老師會使出什麼無極限的大絕招～老師的溫暖與瘋狂，體驗過的都會上癮！
在這裡，有老師專業的量身打造，我上了我想要的課，也上了我需要的課！
相信在老師的調教下，再過不久我就能找回10年前的我了🥰🥰
這裡真的是回春的魔法小天地！
而助教也總不厭其煩的回答我們問題，為我們創造舒適的運動環境，即使是防疫期間也能安心上課👍👍👍👍👍"
林意庭,5,小班制教學，每個學生都可以照顧得到，老師會下來糾正姿勢，環境也很舒適，是下班運動兼休息的好地方。
黃博筠,5,老師非常有教學熱誠，也很專業，總是想著怎樣對學生最好，也會和學生分享生活，運動完很舒服，老師上課比學生認真，哈哈哈!
黃華華,5,"小班教學，老師非常用心!!!
會幫助每一個學生的身體狀況做動作上的調整
上課總是充滿歡笑及汗水~"
Lucy C,5,小班制，老師可以顧到每位學員！課程活潑有趣
呂思慧,5,細心、認真又活潑的老師，把每個學生都當成自己的孩子一樣，超級推薦！！！
CHIHCHIAO NIAN,5,"老師專業 很溫馨 沒有壓迫的教室
最重要是老師因材施教!!  很棒!!"
Vicky LEE,5,"掛床課程很舒服 可以拉筋伸展又能放鬆
老師也會依學生狀況個別調整 而且講話聲音超級溫柔😊"
曾小多,5,京羚老師教課認真又仔細，我又回來上課了！
lcyはるか,5,太久沒有伸展，痛快的伸展一番之後，大概長高快10公分(笑)
許銓倫,5,很棒的小教室，老師很用心，針對同學的身體狀況，給最適合的運動建議，很讚哦
Annie Cho,5,地點方便，老師教課很用心，每次上課身體都有一點一點進步
f C,5,老師教學仔細用心~用心幫每個學員調整正確姿勢~不會像大班教學完全找不到方向跟正確姿勢~~
吳孟蓉,5,老師上課很專業，很細心指導，可以流很多汗
Michelle Chen,5,老師非常認真，效果非常棒👍
若馨,5,教室小小的很溫馨~ 老師會記得個別同學的狀況~
sophia liu,5,老師很活潑，運動量很夠，練習完很順暢！
陳志平,5,老師會記得學生的個別情況 上課也好玩
沈燕玲,5,老師！教的很好！流汗很開心
Yingchen Cho,5,老師很用心，上課環境舒適
gorogumi pao,5,老師認真課程豐富
Euniceeigo Chen,5,運動
黃自賢,5,
Bruce Tseng,5,
林辰,5,
王均,4,
何孟芙,5,
紀雅明,4,
