author_name,rating,text
Mark Chou,5,蠻適合唸書的好地方
TMU b101107139,5,雙倍逼卡 雙倍保障
王東太平洋中華台北天龍國五指山下南港北邊地瓜大帝蕃薯鮭魚炒飯,5,"夏天時冷氣有時會掛彩
期中考期末考會爆滿
討論室有時很吵"
陳柏安,5,求知識增智慧好所在！
Bae Bae,5,喜歡這
virginia woolf,4,學生超優質
王意翔,5,讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚 …
吳閔儒,5,讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚 …
lee perry,4,"(由 Google 提供翻譯) 好的

(原始評論)
Nice"
陳墨菲 a.k.a 大稻陳,5,"(由 Google 提供翻譯) 讚讚贊

(原始評論)
讚讚讚"
羅玉祥,5,"(由 Google 提供翻譯) 五星

(原始評論)
五星"
暉殤,5,"(由 Google 提供翻譯) 啊啊喔阿阿噢噢噢噢喔

(原始評論)
啊啊喔阿阿噢噢噢噢喔"
ping chen,5,
語荷,5,
余昱錡,5,
Chien-chih Huang,5,
Thokozani Sawasawa,4,
Kyosaya Tsai,5,
狸小路,5,
邱兆駿,5,
Jolin Lee,5,
黃鳳雄,1,
cavalierist,5,
Anindya Mukhopadhyay,5,
ndgd bshieu,5,
Muhammad Hardhantyo,5,
gundam in a box,5,
Thuy Trang Ngo,5,
周俊辰,5,
蕭惟尹,4,
胡雅婷,5,
Sherry Liao,5,
Chi Fang Lin,5,
Lo Yun-Chung 駱允中 (Joseph),4,
Tracy Lee (Tracy Lee),3,
游雅茜,5,
Tammy Yeh,3,
4230葉得欣,5,
沈易達,3,
林楷易,5,
李美燕,4,
