author_name,rating,text
Amanda H Chow,5,"四寶飯+滑蛋腰花粥😋
飯粥量太多 真的吃不完
下次要切鴨$100盤+乾炒叉燒河就好
台大旁名店 學生最愛吃
好久沒來沒什麼變
價錢很親民 不貴
內用人好多 外帶也不少"
朱崇華,4,"吃過很多次還是覺得不錯的店！

醬汁跟一般燒蠟不同, 偏醬油膏帶甜的感覺, 很好下飯, 配菜是豆芽菜和小白菜, 我覺得炒得口感很好, 很脆不會炒得很軟爛, 搭配醬汁一起吃真的可以吃很多飯。

主餐方面, 雙拼不管是燒鴨燒肉或叉燒油雞, 量都蠻多的, 而且也好吃, 骨頭也不會太多, 雙拼100元, 在精華地段來說是蠻划算的。

雖然東西都很下飯, 但飯超級多, 就算醬汁搭配還是有吃不完的感覺, 不過這應該是開在台大附近的關係, 想吃很飽的基本上大概都沒什麼問題。"
Kate Rosita,4,"唸書時代就一直吃
現在偶爾經過也會外帶
大部分的人都叫四寶飯"
Alex Huang,5,"鳳城燒臘台大店
第一次吃單點熱炒

1/ 咕咾蜜肉200元
2/ 芥蘭牛肉200元
3/ 麻婆豆腐100元
4/ 燒肉100元
5/ 酸菜30元
6/ 白飯10元x2碗

合計：650元"
Celia Chen,5,學生時代吃到現在口味都沒變的老店。除了道地港式燒臘，炒功一流，炒飯好吃度可比鼎泰豐，但價格不到鼎泰豐的一半，無論一個人來吃，全家人一起來吃，CP值都超高😊
鄭會文,3,今點了叉燒飯，單點烤鴨，時菜三鮮湯，燒肉買完了，飯及烤鴨的醬料味道很重，後來看到菜單的背面可以指定不加醬，沒注意到。叉燒肥肉很多，烤鴨的部位也很肥，湯是清淡，可以解解膩，來的時候人很多，下次要單點鴨腿，可能比較好。
houpu Liu,5,三寶飯是很多人來這裡的首選，店裡的食物口感很不錯，都是台大附近的人，一直都有很好的口碑，平常生意也非常好，入座之後會跟別人併桌，這裡還有準備辣椒，喜歡的人都會拿很多來吃，口感是非常棒的，所以用餐的時候，也千萬不要忘記辣椒。
Rex Chen,5,"每次來臺大必吃的一家店，吃得是情懷，但也驚訝於20年過去了，這家店只有價格改變，其餘跟20年前幾無差異（我說的是菜單、味道、店面）。

很多時候，看起來簡單的事情，做起了一點都不簡單。"
Christina Lee,4,"帶老公來吃從小吃到大的美味！😋
結帳的叔叔竟然還是同一位，一點都沒變！變的是國語變好了，沒有粵語腔，很神奇的是他怎麼沒有變老呀！😂🤣"
好力士,4,口味實在，色香味俱全，附贈的茶也很配廣東菜。
Travel Men (IG: MenInTravel),5,"皮脆酥、肉嫩滑、醬香濃…
雞腿三寶 160 不貴，因為份量大，一個男生吃完都感覺很飽…"
