author_name,rating,text
柯皓輝,4,小吃多款，雖然價格較高，但是附贈兩種免費甜湯，就變得超值，店貓可愛
陳善嶽,5,"因品項太多  挑幾個比較常點的說囉! ps.店家常常都準備兩種甜湯自取 喝到飽 很佛心 喜歡甜湯的朋友不要錯過
「炒飯」水準很不錯，尤其推薦嗜辣的朋友 可在菜單上勾選辣 絕對滿足。「四神湯」屬於比較清淡類型，嫌酒味不夠可以請店家再加些米酒，但整體來說對得起價格。「煲湯」類湯頭都不錯，內料因久燉口感較軟爛，主要就是喝湯!「筒仔米糕」推薦!「肉丸」推薦!「臭豆腐」酥脆，推薦!「綜合肉燥乾板條」以份量來說，相對貴了一些 但口味是很不錯的!"
Jenny Chen,5,"點了紅糟肉圓$50 Q彈好吃
一份港式臭豆腐$60辣
四塊臭豆腐搭配泡菜
兩份大腸柯仔麵線$50小
店內還有甜湯熱的紅豆Q圓和冰的綠豆薏仁
整體很不錯的小吃"
Johnny Chen,4,"臭豆腐跟炒飯都好吃
炒飯料稍微少些、價格稍稍偏高一點"
alex chen,5,老闆們親切，炒飯加大不加價，內用甜湯喝到飽~
林暉川,5,"我很喜歡港式臭豆腐的做法, 好吃 ! 還有附贈的冷與熱的甜點"
劉科顯,2,麵線 臭豆腐 米糕 通通不及格，只想填飽肚子或許可以，價錢不貴，吃好料，不推。
陳偉誌,4,好吃！會常來買
杜luckey,2,"吃了廣炒飯..不懂為何整體吃起來算是甜的？ 口味很怪。難道因為是東南亞外籍炒出來所以味道才奇怪的嗎？
臭豆腐他這不是真正的酥，是有點難咬的硬帶一點酥而已，醬的味道也不太喜歡。"
Yueing Jan,3,今天吃港式脆皮臭豆腐，一盤共有4片，炸的有點過頭，不知為什麼吃不出臭豆腐的特殊香氣，附加的泡菜也不夠入味
kuli kuma,1,臭豆腐不臭、泡菜也沒什麼泡菜味，比較像在吃炸豆腐+高麗菜，店裡有個油耗味很可怕。
秦萱玫,5,"好吃的小吃店~
最喜歡吃臭豆腐加辣，還有甜湯可以喝~"
魚魚飛飛,4,在台北難得會有好吃的脆皮臭豆腐，脆皮臭豆腐看似單價高，店內的餐點都是屬於口味重的，但店內用餐提供免費的甜湯，冰、熱都有，可以解渴，環境乾淨，尤其是擺放餐具的地方。
VICTOR HU,5,廣式炒粄條，炒飯都好吃，附綠豆湯。
勁辣キ腿堡,4,餐點份量大，又好吃
