author_name,rating,text
Jenny Lin,5,原本就不運動的我加上我真的有一股非常強烈的惰性讓我跨不出運動這步，直到有一天我在附近看完牙醫經過FunFitness時，聽到稍微響亮的廣播播著有熱瑜珈跟空中瑜珈的課程，純粹抱著看看的心情來瞭解，我的專員Rai很熱心的跟我詢問狀況、介紹環境、介紹適合我這種初學者又怕太累的課程加上這邊又可以淋浴，我一開始真的蠻心動想要加入讓自己開始，但我的惰性出現害我又退縮，這時我的專員還是跟我說明初學者會這樣都是正常的，後來來了一位男生（應該是店長）也是鼓勵著我要開始運動，也是簡單說可以先從什 …
Chiou Hank,5,"環境很優美，氣氛佳
尤其白天拍照陽光灑下來真的很舒服
課程也可以混搭著上
Trx、壺鈴、還有全公館唯一的溼熱瑜伽
大家可以去參觀看看歐
👍👍"
Zizi Wu,5,"人員：服務很棒，會依我的需求介紹適合我的課程，又會循序漸進的推薦我上一些有強度的課程做改變調整；每次上完都有不同感受；謝謝你們每次都很熱情的跟我們會員打招呼。

環境：教室四方都是窗戶，有開冷氣➕開窗戶整個通風舒適，教室器材乾淨，每次瑜珈完工作人員都會很積極消毒，運動起來很放心。 …"
PJ Lu,5,"運動空間舒服欸～肌力全集中的TRX和Barre，教練團隊超讚又專業～

想要多增加皮拉提斯的課！希望有假日和晚間時段！感恩～
繼續朝更好的體態和健康邁進😎

🉑️🍎蘋果小姐服務非常貼心🌹🌹
有運動相關需要的直接找她~<"
Wei Yu Chen,5,"Fun Fitness公館館藏身於公館內的一棟大樓，位置介於捷運公館站與台電大樓站之間，交通相當便利。
內部分為兩間教室以供不同的課程使用，整體環境相當寬敞與乾淨；另外也有提供淋浴間做課後的簡單整理，不用擔心課程結束後的趕場問題💦💦💦

課程方面，Fun Fitness提供相當多元的運動課程，舉凡各式瑜珈、壺鈴、槓鈴、TRX、拳擊有氧、Zumba有氧等幾乎都有。此外選課方式是以點數制，讓學員能夠自由選擇有興趣的課程，並根據個人行程進行調整，以安排出最適合自己的課表🤔 …"
xxiician _,5,位置方便。工作人員講解清楚、環境舒適、清楚。課程多樣，導師教學有耐心！
Apple Lin,5,"超級棒的健身中心...小資女孩的資費..師資課程卻是一流...一個禮拜上四堂後面加購二堂課...每堂課程都好喜歡💕⋯⋯最愛上熱力燃脂Bonnie老師很嗨...每次上課超開心的汗水都用飆的..上Cheryl 老師皮拉提斯的課可以放鬆一整天緊繃的心情,而皮拉提斯核心運動不僅能緊實小腹，矯正姿勢和鍛鍊身體線條，讓身形更美。 …"
Kevin Cheng,5,"鄰近公館捷運站，內部器材齊全，教室寬敞乾淨，提供各種運動種類的課程，舉凡壺鈴、拳擊、瑜珈、TRX...等等都有。而老師亦會透過個人化的教學，及深入淺出的講解，使得不管是想運動的菜鳥，還是想加強強度的老手，都可以在身心靈上獲得最大的滿足！

想了解更多相關資訊，或是想參觀內部設施，歡迎洽詢親切的 Rai (芮) 專員！"
Celstin Liu,5,"超舒服的運動空間😊
尤其週三下午的舒緩瑜珈
不知可以伸展放鬆身體
還可以在繁忙的工作時間外享受自己的Me Time
記得快來找Chloe報名喔！！"
ann lin,5,"紓壓放鬆運動的好地方
運動找Rai❤️❤️
人美親切服務好👍🏻👍🏻👍🏻👍🏻"
張麗蓉,5,我愛芭比老師，教學仔細親切，壺鈴curry老師也是多方面的訓練、很受用。這裡讓我有嚐鮮的感覺，運動起來很開心！很推薦唷！環境乾淨。地板、洗手間，空間很乾淨，上課起來很舒服，非常推薦。
Peggy Mai,5,場地很乾淨舒適，課程可彈性選擇，老師上課都很認真。推薦週一Bonnie老師的TRX 週四Curry老師的壺鈴，以及週五的Jeffrey老師的拳擊。業務Rai 孟芮萱盡責又美！超推薦❤️
