author_name,rating,text
吳佳紋,5,"環境優，護理人員熱情，醫生超親切的。
第一胎妹妹感謝劉遠祺醫師，晚上八點陣痛，劉醫師陪伴到凌晨五點接生。
妹妹已滿月瑞祥還是持續追蹤關心，很貼心。

因為在餵母奶，後續回診的蔡醫師也很用心教藥物飲食，讓媽媽很安心喔。"
菜菜,5,"從產檢到生產還有住院期間，美加真的提供五星級的服務，劉醫生每次超音波都照的非常仔細，每一次產檢都可以感受到劉醫生滿滿的熱情，讓孕婦整個孕期非常的安心。

生產時由於第一胎真的是非常的痛，也不知道該怎麼做才對，幸好護理師的幫忙，讓我生產過程意外順利

住院期間劉醫生沒有看診還是每天來病房關心恢復的狀況，如果生第二胎一定會再指定劉遠祺醫生！"
Chen Emma,5,"徬徨無措的情形得知自己懷孕來到美加產檢
因為自己疏忽週數不清楚且是新手媽媽
完全不知道要問什麼問題該怎麼辦

李昇倫醫生很細心謹慎的做超因波檢查
李衛教師也很有耐性教我告訴我該怎麼做
讓我本來緊張又害怕的感覺稍微放鬆一點
也決定在這裡生產，做月子"
emily p,1,櫃檯掛號那位小姐是怎樣？我是有欠她錢嗎？一副晚娘臉孔又兇，問她問題回答的超不情願，旁邊那位胖胖戴眼鏡的那位也是一樣，講話超大聲又兇又沒水準，完全降低貴公司的素質和水準，難怪沒什麼病人，評價又差，以後再也不去了……要不是一定要給星，我連一顆都不想給，爛死了
陳翰,5,今天帶我女朋友去看診，櫃檯小姐很親切的幫我們量體溫，確實的掃實名制，二樓候診室很寬敞，一點都不擔心有群聚的問題，李醫師看診親切，仔細的幫我女朋友做檢查，耐心回答我們所有的問題，之前去別間婦產科醫生都很不耐煩李醫師完全不會，很推薦大家來看李醫師
aco wang,5,"環境很好，林醫師看診很親切，可惜不是產檢醫師
產檢醫師是曾醫師，是個非常貼心又細心的醫師！ 非常推薦~ (y)"
林麥可,5,"上至醫生下至護理師都很熱心 態度也都很好
醫生的專業也不用說

護理師也不會因爲我是陪診的爸爸就不理
十分大推"
黃靜文,5,以前非常害怕內診有不好的經驗，但看了李醫師之後就不害怕了真的非常感謝溫柔的李醫師
蔡函育,5,"跟診小姐親切新來的李醫師看診非常仔細有問必答很有耐心
會介紹朋友來看"
陳姿彣,5,"從知到懷2寶時就在美加產檢，劉遠祺醫生很有耐心的解釋2寶的狀況，也會按撫孕婦的心情，護士們也都很親切......
接著就開始我坐月子的生活，這裡的環境乾淨、寛敞讓人覺得很舒服，一開始有點塞奶的問題，但護士們也很親切、耐心的幫我解決，之後就一路暢通（哈哈哈），真的很感謝她們，再來就是這裡的餐點也都很不錯，而且營養師也會過來詢問媽媽我的口味，真的很貼心......."
