author_name,rating,text
老實年輕人,5,曾在那駐點一陣子，員工很活潑，辦公室氣氛歡樂，相信是間好公司。
陳芳楨,4,服務態度很好，也提供很多實用資訊，很棒!
Chien Linag Kuo (文案書蟲),5,服務人員親切，租用物品好用，歸還手續簡便，是老人家出遊租借輪椅好地方。
雷志銘,5,台灣唯一以真心服務殘障人士與銀髮族為營業方針的貼心企業。
Chun-Yi LEE,5,推關懷照顧者與被照顧者
Lo飛飛,5,爸爸在台北住院半年，都是透過多扶接送，服務很好，司機也都很細心，非常感謝！
郭淑貞,5,服務人員很親切  可租借輪椅（一星期為單位）
Michael Wann,4,貼心的銀髮族旅途安排 希望他們可以獲得市場的正面回應
18 house,4,提供身障和年長出遊的選擇
julie Chen,5,服務好，價公道
Clouder Wang,5,服務非常親切！
凱西小舖KC,5,服務用心！老人旅遊首選！
林君憲（A-Lin）,5,無障礙旅遊專業達人
學誠張,5,"(由 Google 提供翻譯) 服務細心，長輩的行動不便需求很願意花時間討論了解，提供媒合合適的輪椅款式租用出遊和適合的餐廳、景點，也安排了適合全家人的旅程，解決了很多辛苦的事，連無障礙廁所都有幫忙親自場勘確認過，讓一開始毫無頭緒家族旅行順利圓滿完成。

車輛有昇降機，可以直接坐輪椅上下車，也預留了輪椅的空間，駕駛也很細心繫上輪椅安全帶，不需要辛苦地抱爺爺上下車，或是抱到座位上。

Mini tour …"
Gino Yu,5,
wen168 Wen,5,
David Huang,5,
李睿,5,
威利,5,
Joe Korea,5,
王尚達,5,
翁大峯,5,
Tu Carol,3,
徐雲秀,4,
施閔瀚,5,
Stella Hu,5,
廖書漢,5,
影印機出租儀美科技,5,
語荷,5,
Keith Chen,5,
