author_name,rating,text
塔可,4,"非常傳統的好味道，吃進嘴的那一剎那，會覺得嘴裡熱熱的，從小到大，就是被這種口感迷住，而且死忠不二，就是認定“萊陽桃酥”這塊招牌。
店員服務親切，電話詢問跟店面服務都很好。
比起從前，貨品種類增加不少，現在已經是拌手禮名店啦。"
素素陳,5,"唉唷😍手工的桃酥不一樣喔！
一口咬下即感受到👉餅香＆酥鬆
然後開始綿化於嘴裡…😋
😍嘿～咬嚼輕柔全不費力耶👍
真是奇妙之下的美味餅乾😆

其餘產品也不錯唷
像「饊子」就很奇怪？
會越吃越香，然後就吃光了
就忘了要配粥配漿包餅皮😂
變成像餅乾一樣😆即開即食😘

而一吃印象深刻的有👉「黑糖糕」
類似綠豆糕，但是用黑糖作的👌
是一款濃郁到家的糕點
可以說是特色商品😋

整體而言
店裡賣的產品
都是純正滋味好吃款唷
✌💝💝💝"
Sui,4,老字號桃酥，綿細紮實，傳統好口味，小包裝方便取食及儲存，1個人吃剛剛好，承載許多人小時候的回憶~
俐Zhi,5,"一打開桃酥，就連吃了3塊 ，非常危險！
所以~明天還要去買。"
Guo-Deng Bai,4,"山東名產，桃酥屬萊陽。
好吃，入口綿密，適合搭配茶飲，日常甜點。"
王麗香,5,年輕時的最愛，搬離之後雖常想念，但不是太遠就總不順路，今天想起網上查找，驚喜老朋友似的忠心存在，就怕宅配會成零碎。
吳伊聆,4,"-
《萊陽桃酥》

堅持北方傳統製作以原汁原味呈現
口感不同於一般市面上所賣的桃酥
吃在嘴裡融在心裡

📌 #萊陽桃酥  $60

好酥鬆好酥鬆
輕輕一按就碎了
放在嘴中也不用嚼
碰到口水都化開

很適合老人家配茶
懷念的古早味
牙齒不好也可以吃得很開心~

📌 #松子桃酥  $100

📌 #芝麻軟糕  $150

咬下一口，瞬間嘴裡充滿芝麻香，而且是軟糕，所以很容易咀嚼，甜度剛好

IG： @yummy_food1997
🗿： #小吃貨遊台北"
阿正,4,老店，東西多元，實在讓人期待嚐嚐各種口味
Echo L,5,"不記得是爸爸那位朋友送的。四十多年前的相遇,一世不變的包裝與味道！真的好喜歡。
若有長輩牙口不好,送他萊陽桃酥,絕對沒錯！"
Mary,5,"桃酥系列真的很有特色，用料非常實在，口感非常綿香細緻，顛覆過去對桃酥的印象；建議泡壺茶來搭，當茶點很適合
更愛泡餅，非常道地美味，現在很難吃到這麽好吃的傳統美食了"
C.P. Lu,4,成立快一甲子的古早味點心
winn wid ting hsu,2,今天買松子桃酥，發現有松子烤得比較焦黑，之前幾次購買沒有發生過這種現象，希望店家能留意一下！
Kazaf Chen,4,沙琪瑪好吃 桃酥不會太甜剛剛好
丘如華,4,五十年的老店家，有老味道，也有創新的口味，特別推薦《鍋粑》
Yi-Ta Pan,4,原味就很好吃，入口即化。老闆娘很熱情啊！
小鹿亂撞,5,"桃酥口味相當多
口味與一般常見的桃酥有很大的不同
值得試試
喜歡核桃口味

下回想試試杏仁桃酥"
Tommy,3,跟港式桃酥不一樣，港式硬脆，山東酥酥粉粉化不開，冰心綠豆糕冰過後更好吃，裡頭有紅豆餡，口感細緻，常買這兩樣送人，桃酥有多種口味可以試試看，綠豆糕比較甜一點，建議配茶剛剛好！
張仁安,5,從小到大的零食，吃不膩，永遠的好味道
Kehrou Chang,4,"核桃酥真的好吃，鹹的也好吃
可是店員（某阿姨）會ㄧ直推銷，我沒有說要，她就一直擺在櫃檯直接結帳，感覺強迫推銷。索性我堅持，不要的就是不要。
不會回購。"
Steven Aug,5,除了有隱藏商品外，缺點是偏貴。不然都很不錯
youth chen,4,與咖啡是絕配！
W YS,5,桃酥真的非常好吃，細緻綿密，不油不膩
邱益賢,4,大學時代的零食記憶。
Chun-Ming Chang,5,2018.01.28=別人請吃過一次，吃一次就驚為天人，一定要查一下在哪裡買的。目前吃過最好的桃酥，有點油油軟軟的，不是澳門那種酥脆的口感。
林美悧,4,買品送人很方便
Adam Chen,4,學生時代，蘇小姐住在附近，常買來吃   ，， 後來搬家就很少來了，，，今天路過看到，想起四十年前的零食還在，，，不容易啊！一吃後感覺  當時我們吃的好吃 ，但不在意，，，今天老了喔！有些東西吃不下，也耐吃，，，這桃酥對我們老人家，已經無齒，有些咬不動的情形，， 比較方便 ，可以入口，，否則甚麼都很困難的誒，只有老人家知道，， 現在我才知道他為何到今天還生存在這兒了喔！
王開明,4,找到小時候吃的點心，有懷念的味道
吳齊山,4,不錯啦 沒有人工防腐劑就是好吃
Jia-yun Chen,5,超級美味的桃酥！一定要推。不同於一般港式桃酥。口感與香氣皆屬上乘，並且是一種獨一無二的存在，別處吃不到類似的。可以作為台北人帶去外縣市餽贈親友的伴手禮，或是帶出國送人也很適合。口味眾多，椒鹽的薄薄鹹味，吃過難忘，各種核果類也都推薦。
闕阿文,4,桃酥紮實好吃，價位尚可，店面稍小。
Gloria Lin,4,桃酥口味多種可選擇，入口即化，適合配茶。
wei kkl,4,好懷念的老味道
Arthur Wu,5,桃酥好吃，值得一試
Jess Chen,5,"桃酥入口即化，非常的香，口味選擇也很多。已經推薦給好多親朋好友了！
店員們都很親切，店內也販售很多其他古早味零食。"
Willy Chang,5,"應該是全台灣最好吃的桃酥
找不到第二家
甚至比大陸許多還好吃"
媽媽勇闖多倫多Renee,5,很好吃的古早味點心，老闆、老闆娘都很客氣，這次買回加拿大當伴手禮，大家都很喜翻👍
Bravo Lo,3,傳統美食對上了年紀那一代有特殊情懷，年輕一代可能不以為然，有那麼好吃嗎?
尹克文蚊子,5,好吃的蔴老～阿目的最愛(^з^)
Ping Shih,4,"Excellent Excellent 桃酥
鬆軟不油膩
Simply the best!

原味桃酥 松子桃酥 are my favorites"
鄭美蘭,4,台電大樓四號出口   走路三分鐘就到
Kai Su,4,非一般市面桃酥，山東桃酥非常夠味，店內另售鍋巴意外的涮嘴，當零食吃很棒
黃惠鶯,4,印象中的萊陽桃酥是傳統口味，現在新增加多種創新口味真好吃，冰心豆仁糕入口即化很特別。
彬按,5,桃酥口味多樣化，好吃有特色，非常適合小朋友與老人家食用。
林尚文,4,有50年以上的老糕餅店，使用好的芥花油，價格公道。
Hsin昕,5,幾十年的店，山東老鄉最愛！
Shiu lai,1,原味萊陽桃酥，打開有點潮濕吃起來裡面有一些硬塊，大概放太久，找不到有效期限。
林約翰,5,已經營51年以上的老糕餅店，使用芥花油等健康食材，店家現在販賣多種其他廠商的美食。
Ashley Liou,5,"甜點很好吃,麻花不會太甜太硬,"
Metok Lin,5,除了桃酥、饊子跟芝麻糖也超級好吃的！大推！
高永珍,4,產品好吃，服務親切。
