author_name,rating,text
迪亞狼,4,"給需要來自費$395快篩的民眾：
篩檢位置在第二大樓外面，以前接駁車的等待處。急診室快篩是部分時段才轉到急診室的樣子，這方面不確定，還請問一下護理人員/櫃檯

另外，醫護中午有休息/吃飯時間，我不清楚確定的時間，但12:30-13:15是沒人的，所以中午要來的民眾請多留意。

會先詢問做什麼項目、問為什麼要來做、是否有發燒或其他症狀。之後醫師會隔著玻璃，透過洞給你採檢物品，按照他說的步驟後，醫師會用細長棉花棒進行採檢（插入鼻子），收回檢體。最後是批價，建議用刷卡，避免接觸。

報告會傳簡訊通知，但等待報告的期間，會請你在二大樓外面椅子等候，若為陽性則要再次採檢，陰性才能離開（護理師是這樣說）

以上供近期要來的民眾參考 2021/06/09"
Riddle Wang,2,"來打自費COVID-19疫苗，但所有流程顯得都未經規劃周延。

上網預約後，會收到回函簡訊，填寫基本資料（含出國日期跟目的地），以及報到注意事項。當天按照注意事項上寫的，在第二醫療大樓的癌症篩檢櫃檯報到，但櫃檯人員竟然說不清楚施打疫苗要在哪裡報到？？？直接推託。

幸好是旁邊等候區的民眾熱心主動告知，才省去我團團繞的時間。問診醫師很親切，但問診前被指示要排排坐在診間外等候，真的是肩並肩鄰座，完全沒有要保持社交距離的安排，感覺這些疫苗服務人員，防疫意識需要加強。

說一下自己施打完的感覺，注射時完全不痛，跟之前打HPV疫苗差很多，完全沒有感覺。晚上有微發燒，吃了顆普拿疼，好睡很多。目前僅有兩臂痠痛，沒有其他不耐的副作用。"
kommtina,4,"提供慢籤病人線上看診，再到第一醫療大樓外過卡領藥，不用進入醫院就可以完成！

過卡/批價/領藥處在急診室旁的空間（吳興派出所旁，地下停車場入口處），排隊等待將健保卡及信用卡或現金交給護理師即可。"
張瑞春,1,我對北醫非常失望，我兒子年前出車禍被送去急診，住加護病房三天，醫院規定一定要有人全日看護，我們住院四天出院，診斷書由醫院寫，當初心急兒子站不住頭痛只顧扶著他。之後因為兒子頭依然很痛頭暈眼花，軟腳更厲害一直每個月回診，但醫生只說不要追診只開止痛藥，然後診斷書只寫顱內硬腦膜下出血，問醫生何時康復不知？然後我說以已經那麼久都這樣要不要再檢查一下？醫生才排檢查，然而診斷書上也沒寫要追蹤檢查！我跟醫生要看照護天數和加護病房的診斷書他說出院時就要開現在無法開，試問，誰告知我們了？現在要合 …
Amy Cheng,1,主任醫生從看診/問診(5分鐘)後，便安排做超音波檢查(10分鐘且很仔細紀錄每個陰影)，在次進診入間看診(3分鐘)，看診總共2.5小時(扣除看診時間幾乎都在等待)，主任醫生完全沒看也沒有針對超音波的陰影做任何說明，對我提出的問題避重就輕，只問要不要進一步安排做自費核磁共振(很貴...而且是醫生要求並非自己提出的)，表達要回去考慮後在決定，便結束這次的看診…對這個醫院整體感覺：醫生看診是如此的草率且只為了眼前利益，但不得不說護士跟志工態度是友善且親切有耐心的…但沒有好的良醫醫院在 …
Michelle Kao,1,"腦斷層//手部斷層皆有做...

老爹膝蓋也是擦傷又疼痛...
咱要求膝蓋也要做X光掃瞄
這主治醫生竟能奇琶到回咱...
""這是急診處不是健檢處""
咱聽了...拼命忍住...直接笑嗆
""如老爹還年輕...50歲當然無所謂就隨便但快80歲又是被撞..傷處做個徹底檢查很難嗎？""
再來...要醫生診斷證明...
護士更屌...""我們現在很忙...不知道啥時能開出!!?""
咱傻眼...驚訝之餘..再問..""那請問需要等多久?""
""護士竟回答咱~~我怎知道要等多久!!?""

塞力老私ㄟ卡好大水餃...咱老爹到底是被送進了啥破醫院急診處!!?(二話不說...打去投訴後...咱要幫老爹轉診了...)

北醫的急診處...破到無語..."
Susan Lin,5,去年在台北長庚就診和手術，整個醫療品質、病房、醫生的醫德⋯⋯⋯等，都讓我對台灣的醫療失望透頂，也因為長庚醫師錯誤的手術方式和對病人的莫不關心，導至我的病更加嚴重。因爲復發，所以找了幾個其他醫院醫師咨詢，但都找不到能讓我信任的醫師。後來我在網上找到蔡耀州醫師是這方面權威，就去北醫看門診，就診時就可感覺到醫師的專業和自信，所以當下就決定要讓蔡醫師幫我動手術。在北醫從入院到出院，一切都感到非常的舒適方便，護士小姐細心的照顧和手術醫生們的專業加上最好的醫療材料，都讓我的術後復原良好快 …
Moffy Chen,1,"第三大樓的8A護理站人員素質可以再差一點，七點就在護理站吵吵鬧鬧，還公然講病人的壞話，超級沒有私德。你們以為誰願意來住院？又不是來餐廳吃飯是會有人很開心嗎？一點都沒同理心還又八掛又八婆又吵，不爽不要做！要做就專業ㄧ點，也請自重。
昨天中午父親入院後，一個護理人員來說要拔尿官，我們問為甚麼？僅回說要驗尿，弄完不知道什麼東西就走了什麼都沒再交代。 …"
LIN J.,2,我能體會護理的繁忙畢竟我也待過相關單位，但能不能給病患的資訊更新一下，探病時間原本去年公告中午和晚上兩個時段都可以探訪，在今年2/9公告就已經修改成只有中午時段，但給病患的資訊怎麼會還停留在去年的舊資料，造成很大的不便，畢竟人從新竹特別上來，不然就不要給這張讓我們自己去官網查，要希望可以注意一下這種簡單的細節⋯
moonngenki,5,醫護人員都很有愛心跟耐心，謝謝他們。
DRAGON DRAGON,1,"安寧病房有一些沒同理心的惡質護士
病患都快死了還刁難家屬瘦高的小心報應"
Shuyu Lin,1,"一顆星都不想給
只是想打個9價hpv，進去診間講沒幾句收了掛號費180，基本負擔240，注射費50，藥事費79，去診所只需要付針的錢，不會額外用這麽多名目，真的不用來這邊打😠😠😠"
Fion,1,我們都知道醫護人員很辛苦！但是水準跟品質也跟著下降嗎？先是1樓領取糞便採集袋子的櫃檯，坐了一個機械人，回答問題的口氣像是問問題的人是笨蛋，現在收到報告如下一般，黏的根本撕不開，看不清楚報告內容！這個部門的人都是這種服務品質嗎？既然這麼心不甘情不願，就不要主動叫我們去做檢查🙄
佳文葉,4,醫護人員大多專業有耐心，如果可以不要每餐都有紅蘿蔔就更好了。
Yiwen Wu,3,在吳興街商圈入口的廣場，有3棵櫻花樹，最近正在盛開，真正的‘小而美’，天氣好的時候，真的很適合拍照。
リザードンCharizard,5,"台灣所有醫院裡最喜歡這間了，裝潢乾淨、清新，以前怕看醫生的我，因為有志工們的指引、協助，來到這邊比較不會有恐懼感。

這裡的醫生年資也比較淺，醫術我不是專業就不討論，但待人處世都非常誠懇、認真。我非常喜歡這間醫院的態度。"
Justin,5,"推薦泌尿科醫師-陳偉傑&羅詩修
在愉快的聊天氣氛就動完割包手術
羅醫師還會放音樂讓人放鬆心情
動刀過程大概只有打麻醉的刺痛
割完形狀很漂亮
麻醉後只有腫脹感（正常的）
推薦使用包皮槍無痛又快速"
Zack Chen,4,"1.平日看診時間停車位不足，要停在附近停車場，星期六下午到星期假日比較有車位。半🌟
2.肯定一樓出入口防疫管制措施。🌟
3.電梯多雖然有提示電梯只到幾樓，但少部分人都在亂按，導致搭電梯時浪費太多時間。半🌟
4.醫護人員都很細心🌟
5.人多時，要批價繳費，可用自動繳費機，方便實用，不必排隊，省時間。🌟"
Tzu-Yu Huang,1,"第二手術室的報到櫃檯
病患報到遞資料的時候顧著看著隔壁同事聊天，資料遞過去了還不知道，手伸遠遠的，要我們遞到她手上才收
然後要我們下去定位，資料也沒還我們
讓我們下去又跑一趟上來要資料
定位結束上來之後，又說我們資料沒給她要我們下去拿
下去之後，打電話來說資料有了要我們上去
問了樓下才知道東西早就在櫃檯手上
還說是我們沒拿上來
這邊是「醫院」是「手術室」請負責的醫護人員不要這麼散漫"
