author_name,rating,text
Jonathan Lee,4,"午餐套餐有5-6種不同料理可供選擇
可使用行動支付：悠遊付、街口支付、Pi錢包"
雪,4,"午餐好選擇，試過不同的菜色都很有一定水準～以這地區來說CP值很不錯👍
ps.點咖喱雞還可以貼心加醬❤️"
C D,4,原味可頌不錯，剛出爐外酥內軟，好吃，巧克力口味則普通。稍微過甜，柚是豔陽日意外的好吃，柚子搭鳳梨酸甜滋味好，雖然價位高，但品質還OK
Ashley Chung,5,在這附近混了快8年，一直沒吃過這家，是說經過也沒想進來，這二天當畫僮需要地方歇腳，查了一下竟然評價頗高！昨天來只喝咖啡和吃一個修頌，看到進來的人絡繹不絕，隔壁桌的還說他每周都來，而且一次都要吃2個，剛好冬季限定的草莓提拉米蘇慕司可頌上市了，所以我們仨今天當畫僮又來歇腳而且一口氣點了三個可頌，真的挺優秀的！
San Wang,1,"早上7:45透過UBER下單1個草莓可頌+1杯熱蘋果肉桂茶，店家距離我公司騎車4分鐘(含停車搭電梯時間)，結果等到8:24才送到，問了外送員，抵達店家時還多等了3分鐘(我自己看APP追蹤是不止這個時間啦，但外送員說了算)。
如果今天叫的是現點現做的餐點，出餐忙速度慢可以理解，麵包+茶包沖熱水，我不懂是要花多久時間。
外包裝的塑膠盒明明有設計壓扣，搞不懂店家為何還要用釘書機，盒子還釘歪沒密封。
品名叫草莓提拉米蘇可頌，但實際上就是草莓+卡士達醬+可頌麵包，跟提拉米蘇半點關係都沒有，正確用字很難？"
劉旭昇,4,🥐可頌千層的“酥、脆”明顯，甜食真的對味，一口就懂；⁉️⁉️⁉️困惑的是『修頌』，剛看到以為是大一號的“咖哩餃”，但不是蛋塔的酥皮，一樣是千層酥；內餡兩到三種口味搭配，是有“比例”的，所以不膩口，會有口味、口感的層次變化，令人想加點“酸的”或是“甜的”🥤🧃飲料來滿足口腹之慾；『修頌』有點像是🇯🇵日式的『大福麻糬』，內餡有🌰栗子、紅豆、芋泥➕🥭🍍🍐水果➕麻糬皮，只是麻糬皮到了🇫🇷，變成千層，但是一樣美味、一樣好吃，『🥐可頌』是外層甜，『修頌』是甜在心；更 …
Peace Ela!ne,5,"起初接觸是UBER EATS（以下簡稱烏伯）家裡也會每天一杯防彈咖啡，於是看到神奇的咖啡平價賣，就點來喝了
我記得點了好幾次（雖然離家裡一公里而已，但前陣子早上都冷爆）
難得今天太陽公公上班，就散步過來哩
店面雖小，但幾乎是客滿滴！
服務人員親切的介紹
點了套餐很美味
防彈咖啡和外送的一樣好喝
只可惜店內太擁擠XD
這是不是在暗示你們要擴（展）店了呢XD
修頌實在是太美味了~~~不用去巴黎也吃的到平價的美食♥️"
Curtis Lin,5,早餐餐點豐富  午餐不只美味 相對商業區其他餐廳的價格更是吸引人  可能是因為如此  所以週間午餐時間人潮踴躍
Hendrick 林永強 Lam,5,老闆對餐點、點心用心開發，食材安心，餐廳服務親切友善，以前是我家的飯堂，現在搬離了，但還是經常回來捧場👍👍👍
Nancy Tsai,5,修頌系列很特別！有內陷卻可以保持酥脆 點了抹茶口味 也不會很甜，和朋友還一起點了草莓可頌 兩種口味一次滿足😋
周柏君,5,草莓可頌超級好吃，飲料是抹茶豆乳。環境很優，服務態度很好。之前也有吃過一般可頌和修頌，是很酥脆的那種，早餐系列也很划算。
Vanessa Lin,4,可頌（只屬於你）香酥，紫薯蛋黃美味，搭配我愛的大吉嶺伯爵茶。家族來這聚會聊天多次了，很推
J C,4,"不錯吃
But.覺得貴貴der.
應該不會二刷QQ"
Eriko Chen,5,平價的早午餐店，可頌很酥香，點套餐很超值
lily wang,5,內用麻油雞麵線套餐，雞腿很大隻，高麗菜略硬，建議可以再煮軟一點，店員親切服務好。
誠實吃貨家,5,"❶ 新鮮草莓提拉米蘇可頌 $139
這裡選用的草莓式大顆路線的，配合裡面的提拉米蘇CREAM很合拍，尤其是可頌有層層酥的口感，確實不錯~❤️
不過這裡菜單上沒有寫上可頌價位，結帳時才知道有點奇怪，不知道是不是草莓走時價路線~畢竟是冬季限定~
㊙️這裡早上有賣早午餐~內用咖啡買一送一
——————————————————
IG:誠實吃貨家"
賴玉萍,4,"杏仁可頌好吃
修頌的口味好特別 也很不錯 只是修頌對我來說有點太酥 比較喜歡可頌麵包的口感"
