author_name,rating,text
Wei Chen,5,台大在地的誠品書局空間，交通方便，提供多樣化的書局環境，人潮眾多，服務態度親切用心
Joel Chung,5,舒服寧靜環境＆文具部感謝幫忙包裝禮物諮詢的服務！
ROBERTY楊振輝,5,讚！金字招牌無需多做說明，就是希望大家多多進去看書。
bear snow,5,主要書庫在地下室，雖然店面規模不大，新書基本上都可以找到，也可以詢問櫃台，請他們幫忙調書，服務跟速度都很快速方便。
蔡孟哲,5,誠品書店人潮永遠不會少，這間分店最大的好處是離公館捷運站3號出口很近，開車的話，斜對面就是台大新生南停車場，非常方便！
Nguyen Manh-Linh,4,這件誠品滿不錯，偶爾會找不到書 (可能因為書籍的標籤放不對)，然而服務員很熱情幫忙尋找
Vivian Lo,4,"外文書都會有一本拆開讓顧客試閱，其它新的都包著，很乾淨。
地下一樓的留學書籍種類豐富。"
Edm LO,5,"因急著找一本書，需要馬上買到給作者簽名
先電話過來詢問後
可以幫忙留書在櫃台
服務非常好"
Arton Jiang,3,就只是誠品書店，樓上的飲料店像是個K書中心
梁家豪,5,二樓1100有綠蓋茶可買，亦有乾麵等點心。書局本身小而美
Jes,4,"有點小的誠品，圖書沒想像中多，也沒什麼可以站立翻書的空間設計。好險位置很好，就在台大校園旁邊！
旁邊很多咖啡店，買完書後，可以去咖啡店坐著喝咖啡看書！"
湯發凱Tang Fa-kai,4,台大校園就該有這間書店，如果是24小時，公館商圈肯定會大紅大紫！敦南誠品，為何不可是台大誠品^^加油
Kelly Shih,5,誠品總讓人有世外桃源的感覺，這間不大但能一直在這鬧區路旁維持不錯不簡單，經過都想逛逛。
Remi Lo,3,跟其他分店比起來選出來陳列的書比較無趣。。。
Willy Billy's LifeStyle,4,年輕時的記憶，現在沒有以前那麼熱鬧，但是還是值得一逛的！
nogi007,5,離家不遠，且財經書都放在一樓。
林正傑,5,誠品的存在，有很大的意義呀！
More Fan,5,"線上79折,價格差很多"
Frank Lin,5,非常乾淨舒適，空間寬敞，書目齊全，對愛書人十分友善的好書店
Winnie Lin,5,"喜歡誠品書店，喜歡藏書豐富丶寧靜放鬆的誠品，除了書本之外，也有一些唱片丶文創⋯的小東西，有時看了喜歡也會買。

雖然網路購書很方便，也更便宜，但偶爾還是會想去誠品逛逛、看看、買買。

希望誠品能夠一直一直開著。"
利歐,5,從公館站2號出口出來很快就到了！是我買到鵝肉麵第一本書的店🥰
Ginley Jadenne,5,文藝氣息很棒的一個地方 喜歡一個人獨自來這
Summer,5,喜歡誠品書店，有許多書籍供觀賞，安靜放鬆的好地方
Yi Ying Chung,5,"書籍種類豐富齊全，三層樓從暢銷文學到非文學暢銷書應有盡有，三樓有兒童讀物空間與精品文具。
對於我這書控來說，是個踏進去不花錢出不來的好地方"
Steven N.,5,"服務最好的誠品分店
書也很多
沒讓我失望過"
江東佶,5,"環境和氣氛不錯!不擁擠
服務員態度友善!放鬆療育好地方!"
吳柏逸,5,非常舒服，好逛，大人小孩都適合來！
Sydney,5,有很多原文書搭配翻譯書一起賣，超讚
賴世豪,5,好愛去誠品😚但有看不完的書😣
Monkey Mia,2,因為地點的關係，台大店的語言相關書籍令人驚艷，但是可能是工作量過大，或者待遇不夠合理，或者其他原因，才會導致明明是下雨的平日中午前寧靜時刻進店，但無論是一樓或是B1的店員都不太願意協助找書，應對上也不如之前溫暖了。如果這間歷史悠久的實體書店存在的功能只剩下銷售跟精美的陳列展示，跟販賣機又有什麼差別呢？
蘇郁銘,4,雖談不上很寬敞，但貨架配置倒還不差，東西也比較好找，作為一間書店算是合格。
Cannis L,5,"這店三層，但不像信義有很多座位,走道空間也比較小。"
林文典,5,這家誠品書很多樣，尤其是原文書樓上還可以喝咖啡。
Mr. Zhang,5,店員對於書的位置的超強記憶力令人嘆為觀止，適合閱讀，樓梯的設計高度非常有學問，我還為此多走幾次樓梯
張至誠,5,出餐迅速，點餐方便，食材清爽，會再去消費。    Google出錯了張貼位置沒去過這裡
劉璟嫻,5,書店人員很專業，也很有耐心的解答疑問。
張小兵,5,服務人員會協助找書或轉調書服務 加入會員一個月有一本書77折優惠
張浩龍,3,因空間關係，書籍資料沒有東區旗艦店多跟廣。
Paulina Lee,4,可以很快買到新出版的書籍～～
Sqr Lee,4,很舒適的一個書局，裝潢優雅！
克良張,4,很棒，複合式書店。三樓有讀書空間，一杯茶 ，一樓有便當。可以悠哉一天。
Shih-Ming Liao,4,"就是誠品。
三樓有綠蓋。
於我而言有趣的書本都在B1"
Peilin Tsai,5,現在有賣中午的便當。此店是臺大的藝文中心，三樓提供輕食和廁所，值得一逛！
Joe Yang,3,"在經濟不景氣下,只有打79折的書, 比較值得買, 藝FUN券最多只能用500 元."
Marvin Liang,4,交通便利，可惜空間小了點
Jie Sieng Hung,4,服務態度佳，後面巷子有停車場（車位不多）。受到網路書店的影響，有時會有79折的書籍。
星星,1,"打電話待接、重打幾次...都沒人接😭
只好給一顆星..."
ELVIS CHANG,4,我都先去吃後面的涼麵，張大春的我的老台北不錯看
Cj Lin,3,"書籍滿多種類,空間很明亮"
miyuki natsuki,4,雖然不是24小時的，地點方便
余峻豪,4,環境很棒，但是希望多新增座椅，站在書櫃前很容易擋住其他人
Fang-Yu Lin,5,B1的藏書豐富，很喜歡這家分店
文亞山,5,"誠品書店老品牌了，裏面陪伴幾乎兩代台灣人的美好讀書時光，今天早上刻意再來台大店逛逛，摸摸書，看看各個不同年齡人而相同熱情專注讀書的眼神。
悠閒靜好的午間時光。"
吳品葶,4,書很齊全，但是走道偏小
noname noname,5,"看書的好地方。
希望可以像蔦屋那樣提供座位和餐點。"
Andersen Lee,4,書都在B1喔，三樓有飲料店可以坐著喝，休息看書^^
SU WU,4,人還蠻多的，不過店內很安靜
Li yunyun,5,喜歡假日待在書店閱讀的感覺:)
夏先生,5,"很多年的老店 一樣如故 空間寬敞舒適
各種書籍 應有盡有。"
MS.白,5,"營業比較晚 ，，舒適的在一樓閱讀
晚上台大的好去處"
Ricky Lin,5,不愧為第一學府對面的書店，書籍種類繁多，熱門原文書也是應有盡有。
jason su,5,鄰近公館捷運站，學生們很方便。
D KeTzzi,5,坐著看書也無妨
王偉龍,5,地理位置好，這家雖然空間不大，但樓層多
張嘉陽,5,找書，假扮文青的好地方。
張名榕,5,"店員都十分親切，可以即時解決顧客的問題
空間較小，因且臨近台大，因此顧客很多，想要專心閱讀有點不適合"
Bill Liao,5,有獨立書店的專區，和主題陳列，相當棒。
李爾王,5,比信義更像書店，我喜歡這的氛圍
林春宏,1,可買到喜愛的書
Kj Chang,3,今天十一月廿八日新電梯竟故障，應該儘快修好。
王關鳩,4,台大公館逛街購物便利...
光明之子,5,佈置的很有條理，藏書種類豐富，樓上有咖啡廳可以坐坐
張安慶,4,綁馬尾女店員態度親切，說要找書告訴我在忙，雖然等了好一陣子，但也是笑容滿面
Carmen Chen,5,地點便利，雖比敦南誠品相比較小，但書籍依然豐富，環境舒適，可惜沒有可以坐下來的椅子，大家蹲坐在地上比較不便走動。
Chia Fang,1,詢問店員書「山道具屋」書狀況，女店員回覆：「現場沒有，其他店都有」結果跑了復興店詢問發現又沒有此書，不理解店員為什麼不告知清楚？
Heidi47,5,喜歡誠品書局每一間的裝潢都很不一樣 也都裝潢得很美麗
བཀྲ ཤིས,1,逛了那麼多家誠品，對台大店的服務最失望
張彥紘,4,書籍種類齊全，很好逛，周邊食物選擇多。
Chi Lin,5,樓上有綠蓋茶，如果要體驗電子書也可以來。
謝惠香,5,環境予人自在愉快之感，新書佈展快速，選擇性多元。店員服務態度親切良好，氣氛舒適。
忠義英杰,5,櫃台人員會告知哪些書有被打折，整體氣氛良好，分類也一目瞭然，容易找到要買的書種。
林永昇,3,圖書尚豐富，座椅數量及無障礙環境尚有改善空間
吳漢堡,5,有著誠品一貫的風格，是台大學生閱讀打發時間的好去處，雖然不算是很大的誠品，台大學生可以打九折。
Kim Yeh,5,全台最溫馨的誠品書店
Vincent Cho,5,去買小朋友的書包，意外發現這家誠品的人算少的，可以很舒服的坐在那邊的椅子上看書.
柴柴,5,"鬧中取靜的好地方
可以感受到店員很用心維護環境
不管是書的擺設或衛生整潔
每次進去都覺得整間店閃閃發光"
"Hsiao-Tzu, Anna Hung",5,喜歡原文書自然擺放在中文書間的方式！
Terry Hsueh,4,很棒的書局，以前常來逛。
Danny Yang,5,店員非常詳細的解答我的問題，邏輯很清楚。
GuanJhen Su,3,書籍種類豐富，可惜能坐著看書的位子頗少
Lifesolomon Lifesolomon,3,沒有跟上網路時代的改變，還是20年前的老樣子。
鍾華瑩,5,從小到大的回憶書店
chiu c,4,環境舒適的書店，雖然是舊房子改裝不大，但樓層多，建議可以重新放置書籍擺放分類，讓整體更舒適
蘇堯,5,整理得滿舒適的，在鬧區還能有不算小的空間，各類書籍/文具相當豐富，是個適合逛逛看書的去處。
Mandy's World (聽見世界的聲音),5,清淨優雅，新書多元
林鈺婷（蜉蝣天后）,5,書的更新速度快，雖然不大但是書的總類很齊全豐富，書很跟的上話題。想必店員很勤整理書籍。
kcn lk,2,一般般.…..的書店。
HB,4,雖然空間不大，不過該有的書還是有
張濬元,5,很棒的買書地方，店員很親切幫忙。
陳透抽,4,書籍完整，選擇眾多
CC W,5,沒事就會來這裡看書 空間舒適 很棒的地方
Chung-Yi Huang,4,台大對面的書店，書籍種類多樣，位置便利。
林肇寬,5,圖書豐富，分類清楚，場所寬敞，光線良好。
Thomas Yeh,4,"我曾有一段時間會來台大這兒，但是通常就是進出校園，在捷運站和校園間進出，或者是往水源路的方向，新生南路這邊，是有來過，但是未曾細細品嚐。

4月14日，因為和朋友約了去觀賞那加羅林魚木，約在兩座教堂之間的麥當勞門口等待，我比約定的時間早到，所以有時間稍微細細的品嚐那些店家。才發現這邊的書店有好幾家，巷子裡面的出版公司就不算了。 …"
倫,5,"店內超級大的！！！
書的種類非常齊全
超讚！！"
OninO Tsai,4,"跟那種很會遲到的人約公館的話這裡很好消磨時間
附近書店也很多，但是誠品最好找人"
陳秉澤,5,舒適、氣氛好，常常不小心就又帶好幾本書
聶從煊,5,地靈人傑的地方，在這邊看書感覺知識增加速度x2，不看書也可以來這裡吸收天地靈氣，體驗知識湧動
沖田总悟,4,在台大附近要走地下道過去，樓上還有輕食飲品，來公館時候可以考慮來這逛逛、看書
林建輝,3,"地下一樓冷氣開太冷,須穿厚外套,浪費電,是家不環保書居."
brianchu8888,5,照明清晰、陳列有序、空氣清新，是個選書的好地方。
Sharon Kao,5,"服務非常好
好逛有好買。"
甜甜的夢都給你,4,位在敦化南路口的誠品書局即將在五月底結束營業，今天最後一天吸引許多民眾前來排隊人潮洶湧，防疫措施仍需唯持社交距離，完全無法實施。擠進人潮裡ㄧ探究竟，不過是緬懷它過去的風光。逝者如斯，迎接來的是信義誠品。24小時的書店，成了新的朝聖地點。
黃俊豪,5,村上春樹好像出新書了
魚詠婷,5,書籍種類多，空間寬敞。
潘筱筑,5,安靜 而且看累了還可以走去吃台一挫冰
蔡振揚,5,之前去那邊買東西，店員親切
Jia Rong Li,5,"在公館三號出口走一小段距離即可抵達，1樓是書、2樓文具及童書居多、B1大多是語言書、3樓賣吃的。

整體挺不錯，可以待一天~"
陳忠慶,4,很好逛的書店，雖然受限於空間書種較少，服務也沒打折扣。
Refu Shyu,4,溫馨舒服，保有誠品書局一貫的傳統
Cupressopsida,5,"三校聯盟九折 舒服
台大師大的人想逛書店可以逛這裡
要買的時候再逛線上就好"
Raycie Yu,5,放假時的悠閒好去處
type lin,5,"離臺大很近小小的
但書種類也很多"
HISAKO ISHIKURA,4,很舒服，服務好！
陳進男,5,環境舒適的書店！
dong liang lai,4,"寬敞空間,書香氣息"
何忠琮,5,寧靜的空間書名滿佈是選擇買書的好地點
Jenny Lin,5,非常懷舊悠閒的誠品書店，店內很有閱讀的氣氛，書籍分類清楚而豐富。
Jocelyn Chiao,5,服務人員專業、態度好
Owen Hsu,5,書。無所不有。
Rady Fu,5,誠品就是誠品，好像任何讚揚都嫌矯飾了
Elena huang,4,每次去人都蠻多的
Harry Kao,1,打電話去接起來就直接被掛斷 一點禮貌也沒有
Li-Hsin Ko,5,公館商圈的相對僻靜一隅，放鬆與放空的好地方。
Jelico Huang,5,環境動線很好，書種類很多
Becky Lin,5,特別喜歡2樓的文具陳列和繪本區，常常發現新品、新書的驚喜
葉宣宏,5,人有點多 環境佳
蔡靜宜,3,"很小，東西不夠豐富
建議去不遠的信義誠品
還好逛很多！"
Peter Feng,4,最小的誠品？
謝亦岡,5,買了林青霞的書想培養自己的長輩緣
Kenjil Cheng,4,人少也安靜，適合一個人慢慢地!!
LiesegangRings里色崗斑馬紋,4,一樓雜誌暢銷書，地下室則有書籍分類，並且提供座位，很舒適的休閒場所，對於愛書人，絕佳的去處。
Rita Chen,1,店員的臉很臭，服務態度有待加強
jiabin Chen,5,小而精緻，有時門口會有擺攤手工藝的爺爺可以看看。
王貞絜,5,地下室的空間有種隱密的安心感
Pei Chen,4,書類多、商品齊全，休閒好地方
唐雲天,4,停車位子有點棘手外都很棒
莊孝穎,5,書滿多的，有三層樓可以逛
Yichien Wu,5,約會好地方。
han kai lu,4,適合朋友聚會，喝綠蓋開心聊天
陳永安,5,附近生活機能健全。
Mify Hu,5,"更新：
後來去南西店發現它們也有斜書櫃，只是角度較小，也沒有中間那層的展示，依然是台大店做到比較好。

===== ===== ===== ===== =====

去過信義店、士林、南西店、中山地下街、西門店的誠品，此店的書本陳列最優秀，一般來說下排的書最難找，客人蹲下來看才方便，這間店用傾斜的書櫃設計去擺放，更加充分利用空間。"
許皓幃,4,書籍非常全面 而且空間規劃優良
Gino Tsai,5,實用的書很多 氣氛很好來這邊很難不買書
勇士劉,5,各類書籍齊全，環境優雅舒服。
李炤彤,5,很讚，書算齊全，氣氛很不錯
林約翰,5,"服務態度很好，書籍擺設很優雅。內部空間寬敞，有地下室及一樓二樓圖書文具裝飾等，期刊雜誌、中外書籍、兒童書籍等皆有；頂樓還有飲食店，可免費使用Wi-Fi，亦可
同學、朋友聊天休閒的地方。
。請幫我評論按＂喜歡＂，拜託，謝謝！"
Liao Yin,4,"因為地方不大, 可以感覺誠品盡最大努力將書擺好擺滿, 靠近全國首選學府, 也為該校學生提供主要書之來源."
Audrey Chu,5,下課休息的好去處，台大教職員生證還有打九折
yo inn,5,可以悠哉看書 每層樓都有不同類型的書可以閱覽
劉彥均,4,空間乾淨明亮，書籍選擇多，希望能提供椅子讓方便翻閱書籍
k K,5,書香氣息很濃厚，又鄰近台灣大學，第一次到店裡覺得裝潢設計很有一番看書的風氣，會想停留久一點的時間。
臺北阿倫,5,台大證件有折扣
Garry Yeung,4,"隔一個門進去就超安靜
二樓有一堆禮品 其他層都是書
可以在這裡待一個下午"
Miki Fu,4,環境乾淨安靜服務熱心
pony chen,5,很棒的空間
Kenny Fan,4,環境好，很有讀書氛圍。
李浩廷,4,開在台大很適合，雖然溫羅汀書街榮景不復，但還是對了一個選擇，只是店稍小
Iris Chen,1,"2020/8/7更：一時不察拍攝封面，想作為紀錄有空再看，被店員大聲提醒不得攝影，引起周圍顧客注意，請問有必要讓人這麼尷尬嗎？

三樓吧台的店員聊天音量頗大，或是廁所隔音太差，至少我不斷清楚地聽見他們在抱怨廁所清理的事情，希望不是針對在裡面如廁的客人。"
michael Lai,5,之前訂的書有好好保留
潘小嵩,5,買書看書的好所在
就是那個小明,5,服務人員很親切，樓上也有可以休息喝茶的店家，交通位置方便。
YoLuka•幽卡,5,書籍很多 多樣 環境乾淨 可供自由閱讀
alIce Liu,4,這裡做公車很方便，位於公館捷運站附近交通很方便走路一下下就到了很喜歡，附近也有很多商圈店家，小吃店美食街，餐廳都有很多，每週的假日或星期六星期日，中午吃完飯來這裡是一種小確幸，晚上吃完飯來更是一種享受，書局有四個樓層一樓二樓三樓以及地下一樓，三樓有點吵雜多人，可是可以帶著電腦打報告還有充電的服務很貼心，還不錯！我喜歡到一樓或地下一樓，很安靜書也很多元，二樓童書區很適合爸爸媽媽帶小孩來，也有椅子可以坐，還有賣很多娃娃類很多元的商品，很舒適也有休息的地方很文青，一個人的時候很適合 …
Jerry Hsiao,4,書籍種類多，文具多，地點方便;可惜如廁不方便。三樓餐飲座位擁擠。
程碗豆,4,樓上茶好喝，座位寬敞很熱鬧，樓下書店時時有新書出版折扣，二樓雜誌大方閱讀，這裡是離精華文教區的好匯集處。
Bambi Lu,5,書香氣息的地方
Ray Lin,5,環境好，適合放鬆腳步看書
莊順麟,5,碩果僅存的書店，趕緊讚一下，免得下一代都不知書店是什麼模樣了
亞瑟蔡,4,"雜誌陳列比較少。
不過可以做的座位蠻多的。

以下為誠品簡介：
誠，是一份誠懇的心意，一份執著的關懷
品，是一份專業的素養，一份嚴謹的選擇
取名「誠品」，代表著我們對美好社會的追求與實踐。
英文名稱eslite，由法文古字引用而來，為菁英之意。
象徵努力活出自己生命中精彩的每個人。

創辦人吳清友以「誠」字為首命名，是承襲父親吳寅卯的家訓，他時常提醒：「財物有時而盡，唯有『誠』字終生受用不盡。」，對吳清友一生帶來深遠影響。 …"
陳正峰,5,環境乾淨 燈光明亮 服務親切 書籍種類很多
shu fai chan,5,我很喜歡這店，服務態度親切店員敏感度高所以不會讓結帳客人等太久。書齊要找的書基本上找得到(文史類的啦)。
Jack Lee,4,環境舒服，很喜歡來這裡買書
YU-JIE LIN,5,附近有很多各式各樣的書店，但是誠品還是我的首選，在裡面找書、看書都很放鬆享受
Yan Asir,5,圖書眾多，買書逛書
Augustine奧古斯丁,4,希望能增加書籍展售空間。過去二樓也是書籍的展售區，現在都是文具和雜誌。
YUNCHANG CHUNG,4,大型書店，沒會員卡會是原價稍貴，但提供非常良好的閱讀環境，種類也多
Yusi Chen,5,有買很多書
running yang,4,很讓人覺得可以放鬆的地方。
張耀宇,5,空間舒適，書籍種類很多
rebecca Tsai,1,服務人員態度非常不佳，不是愉快的購物經驗，一分都不想給。後來寫信告知總公司請加強員工服務訓練，完全沒收到回覆，自此之後完全不想再去誠品書店。
Chih Wen Tai,5,大學五年我常來這邊看書，我也成為了誠品會員。他們的地下室有很大區有表演藝術類與電影攝影等書籍。 樓上的綠蓋很適合朋友聚會聊聊天。他們有時候也會有經典書籍再版再刷。
張志成,2,書藏不夠
Mason Chen,4,環境好，書香氣息
Wesley Lee,5,"位於書香位十足的台大正門對面，開誠品書局真的是最佳選擇，買書人潮眾多，店內溫度適中，因店較不大因此藏書以新書為主，閱獨空間較小。

店內無提供座位念書，與其他大型誠品書店有點差異，但一些小商品等也可以在其他樓層找到，因此販賣小禮品等也可以在這家店找到，新書更新速度十分快，這點與其他誠品並無差異。 …"
曾莫敵,5,買書看書自我充實好處
Hui ru Kao (helloruru),4,喜歡誠品的書味，台大店雖小但愛書感很有，藏書量不多，但當季書都有
Jing Child,4,沒有乾淨屬於書店的廁所與清掃人員非常可惜，選書很好，主題豐富。
J.N,2,環境安靜，地點不錯，但誠品集團原本商業胃口就不小，現已愈來愈勢力現實。對於原創者不尊重、對待員工不友善。看看書、好好享受他們善於提供及營造出來的位階高級感，毋須消費。
張強強,4,位在台大附近的誠品店，可以來這吸收很多知識
