author_name,rating,text
黃冠傑,5,"老師講解的很仔細而且專業
有運動醫學的背景
讓人很放心

上課風格有趣
音樂也好聽～"
何姵儀,5,"老師教學細心，認真糾正錯誤姿勢！
推推！！"
Po Kai Wang,5,"非常舒適的環境，很適合個人課的空間！

老師每堂課都很會利用器材，感覺深層的肌肉都活過來了！

幸好住在大安區，非常近！"
解正安,5,教練很棒！ 而且吃到飽方案讓我們每天運動很開心
謝佶志,5,"運動的好所在！👍😎
有專業教練的指導與解說，更可以知道需要怎樣的運動!
希望可以持之以恆的在這邊運動!"
CHOU CHOU,5,老師人美、親切又會依據個人狀況調整動作
陳庭儀,5,"老師親切認真教導～～
雙人優惠一個人只要500超划算～～"
楊雅喬,5,上課空間舒服，老師親切又有耐心❤️
Kaori Lee,5,這裡是會讓自己愈來愈健康愈來愈美麗的好地方
Frances Hsu,5,舒服沒有壓力的運動選擇 推推💪
羅國峰,5,很棒的運動空間
Victor Tsai,5,暖男變型男
sunny chao,5,
蔡翰霆職能治療組,5,
李明典,5,
張永昌,4,
Jerry Huang,5,
Chelsea YC,5,
王妮妮,5,
