author_name,rating,text
so c,3,"環境及服務尚可，
但餐點品質有點不太好，很多東西入口還是凍的，
點了餐很容易漏掉沒來，但是反應後可以很快補上"
Yun Chen,4,"服務不錯👍
但是食材和以前相比感覺還有進步空間
以前的蛋糕也很好吃
這次吃感覺放在室溫太久了
味道也和以前不同
可能有更換廠商"
Tai Yi Tseng,3,"服務很好沒話說 但品質不穩
鮭魚生魚片 炙燒鮭魚肚 洋蔥燻鮭魚 鯖魚壽司🍣必吃
期間限定的生乳酪蛋糕🍰好吃到爆
味增湯 茶碗蒸 看心情吃
改成掃QR 才能看菜單這點不優 網路那天跑不出來
底下有海苔的那種散壽司的海苔油到爆⋯
年底前都有振興卷的優惠大家快去吃🥳
-
跟別間店相比 鮭魚縮水的誇張..
不推"
chi c,4,"這大概是近期吃到最像一開始爭鮮的爭鮮了，
（現在的爭鮮都敗壞的很可怕，例如忠孝店）
乾淨、衛生、美味、服務正常，
可惜轉台上的餐點較一致、種類比較少都要直接用點的。"
SHAO HANG TU,5,"回家馬上買了就吃，很簡單。
真是開心"
林昕,2,"最近這兩次來吃爭鮮都覺得現點的東西變了調 鮭魚越切越小 還切的很醜 跟檯面上的比根本像是不同人做的（因為檯面上只有幾盤 所以吃完後換用點的）

而且不知道為什麼這兩次直接點的壽司的飯都是硬的 很像是剛從冷藏或冷凍拿出來的飯 跟迴轉台上的飯吃起來吃不同層級的🙃（對了 上次吃起來還有冰箱的味道 我記憶猶新）

上次有跟店員反應 店員還說是因為飯跟空氣接觸太久 所以才會吃起來飯比較硬 可是飯跟空氣接觸太久 這種品質不好的飯也敢賣 再來 吃起來“裡面溫度比外面冷” …"
Levine Wen,3,"本來轉盤上沒有鮭魚握壽司，點了三盤，來的是右邊的六個，有魚皮油脂一堆，吃了三個。
後來轉盤上出現了鮭魚握壽司，竟然是無皮漂亮的油脂的握壽司。
如果因為我用點餐的造成你的困擾，你可以告訴我，別出這樣的垃圾給我，還一次給三盤六個，當客人是廚餘嗎？
更新，當下反應店長有做補救措施，從一星增加到三星"
蔣明芸,2,"入坐時左側緊鄰陌生人,店家卻未放隔板,不同碗味噌湯料有多有少,差很大。"
黃蓉,5,老店換址新開，裝潢新穎，以日式定食方式供餐，配料蔬食多，口味好吃！開幕優惠買一送一，外帶更划算。
YJ Chou,4,在捷運站旁邊很方便，店裡有兩層迴帶，缺點是坐在門口左側要等比較久才有食物。
