author_name,rating,text
Lizzy Lee,5,"醫師問診精確，醫護人員耐心專業！！
環境非常明亮整潔，一開始還以為是自費診所
看診體驗舒服輕鬆，不會有醫療院所給人的緊張感"
Lawrence Jheng,1,去復健的時候有個短頭髮的復健師女生應該是單眼皮整個吊兒郎當，沒戴口罩，幫我把電療儀器接上後，我對面有個阿伯也要電療，阿伯問她：啊做這個復健應該要很專業對不對？會不會很難？復健師說：不會啊就是把電開起來而已不需要什麼專業。然後下一秒我感受到電流變非常強，因為復健師調到我的儀器了而不是阿伯的。啊不是很專業？？？？？？？
Su Uftsu,4,位在敦化南路與和平東路口，今天六月份才開始營業，這是一間專門做復健的診所，環境不錯 ，能做的項目也不少，駐診的醫師是從郵政醫院來的，有專門的物理治療師與復健師，幫病人做服務，整體還不錯。
楊文伶,5,"感謝醫生準確的診斷，開立合適的治療
一進去少了醫院的擁擠感，多了服務業的親切感！
復健中午沒有休息，上班族的福音。"
羅以靖,5,黃醫師很有耐心、診斷準確。夜間的物理治療師很親切也很專業，聽說5/1起取消夜間復健，好可惜。
呂晨玄,5,"謝謝醫生的專業建議以己治療
診所環境乾淨，動線清楚明瞭
復健設備很齊全，復健老師很親切以己專業"
李韋勳,5,"醫師及護理人員親切且專業
環境舒適
妳絕對不會想打一星評價👍🏽"
Lu Lu,5,設備跟環境都很不錯 物理治療師很有耐心解說 中午時段人滿少適合上班族午休時間來復健...XD
Verna Lin,2,有醫生不想講解病情，只要病人遵照指示做復健就好，未經同意就觸診有點不太舒服，和他搭配的護理師因為未能即時了解藥單內容，多問了一句就被酸，但櫃檯人很好，仔細解說相關就診程序，復健師說明各個復健內容，也關心病人的身體狀況適時做療程上調整。
Jason Fang,2,第一次去是給林醫生看但因為有在郵政看過所以又轉給當初看的黃醫生，也預約下次掛號。候診黃醫生時，發現主要都是在治療病人自費打針，因此每個人看診時間都是至少十幾分鐘以上起跳或問診可能很詳細吧。本來想利用等的時間去做復健(問櫃台說只要等5人，結果等至少一個多小時還沒有好)，櫃台也不說清楚。因為我第一次的時候也沒等這麼久，可能黃醫生很熱門的關係吧(無奈攤手)。再者復健四次下來的感覺，空間很寬敞但讓人感覺沒有溫度，治療師的態度很冰冷，當然不是服務業只是互動感上讓人覺得有落差吧，可惜了。
鄭丹心,5,医生很清楚交待，復健師很敬業
Janet,5,"來復健一段時間後病情慢慢好轉，都是白天來的但診所有營業到晚上
醫師看診仔細專業，復健區的物理治療師很親切而且細心的衛教和指導運動，櫃檯人員親切熱情！
只是人比較多時在櫃檯和後面復健區都要等一下，動線清楚，環境非常舒適"
N. W.,5,"黃醫師專業有耐心，護理師態度親切，復健師主動詢問身體狀況、提供專業建議。
環境整潔舒適，交通方便。
是會推薦給親友的選擇。"
Kye Chen,5,黃醫師專業有耐心又親切，醫療人員態度也超好，環境很新又乾淨，大推給需要的人去👍
NUNU YANG,5,"環境舒適寬敞，沒有醫院的擁擠，復健設備齊全
林醫師診斷專業準確，復健老師親切😁"
maple hwang,5,黃醫師專業又有耐心 醫療人員也很親切 環境佳
Sam Wu,5,謝謝林醫師診斷出多年的腳踝問題，並轉介專科醫生。頸和腰椎不適也找出原因並在敦力復健，復健師會依個案教導居家復健運動，個人覺得非常有幫助。
Joy Liang,5,膝蓋跟腳踝的問題已經困擾我很久了，楊醫師看診很仔細，也很耐心的ㄧㄧ解釋狀況跟可能導致的原因，很專業又親切！
江小姐,3,環境佳，沒有醫院的擁擠，有許多設備，但部份門診僅於上午看診，可去電詢問，無網路掛號，自110/5起復健僅到晚上6點
曾一,4,乾淨明亮，但通常要等很久。
Miya Huang,5,物理治療師與復健師都非常細心
JIEYUN LIN,5,周醫生看診仔細且講解詳盡，十分推薦！
Chi Chi,5,醫療人員專業有耐心又親切，從進門到離開都沒什麼壓力，看起來不太像一般診所，是一次好的看診經驗，推薦給需要的人去不踩雷
Lee Steven,2,"June 15, 2021

Responding to the owner:

Accusing other for not following standard government COVID-19 procedure is just wrong and low

Short story:
I cooperated with everything you've instructed (I mean with question obviously) , and yet …"
ivan chao,1,"(由 Google 提供翻譯) 註冊人員糟糕透頂，不專業，還有很多需要改進的地方。

(原始評論)
Register staffs are terrible and unprofessional, lots of rooms to improve."
朱熔Jessica,5,
