author_name,rating,text
J,1,"整個無言 看不懂在幹嘛 停在不是紅線的地方買個7-11也要被趕 我人也在車上 沒離開
阿總站到600巷口路邊一堆停紅線的 你怎麼不去開單
凌晨快1:00是在哈嘍嗎？？？"
歐湘弁,5,"在284巷28弄的T字路口 , 才短短十分鐘就連續捕到5台機車逆向 , 真是大快人心 , 謝謝二位辛苦警察執勤 !! 加油 , 每天逆向都好多唷 !!!"
四爺英豪,5,感謝藍員警處理及協調路霸占用，並聯絡環保局清運，還給市民應有路權
胡馨,5,"謝謝你們幫我找回我的錢包
（雖然應該是撿回來的那個阿姨啦）
每個跟我講話的員警都很有禮貌
很親切、很有耐心
填資料也很快就處理完了
謝謝你們守護著吳興街
（btw有一個員警好帥喔，有上過電視嗎"
Boy Boy,1,"11月更新
台南發生事情
我看終究會吳興重蹈覆徹
可憐 人民沒有保障

真的是吃案派出所
撿到現金做筆錄
愛理不理 素質低落
評論都是真的 吳興派出所真的很差勁👎
後續也都沒有收到通知
堪憂....

哪位高官可以看看評論
有效監督糾正
實在不想這樣說人民保母
但 吳興派出所
大部分的警員 真的素質低落
全部的髒話都上去了 真的 爛"
劉芷瑜,5,早上在公車上遺失手機，原本以為找不回來很緊張，也覺得是小案件警察應該不太會受理，結果一位女警很積極的幫我處理備案相關問題，最後手機找回來了，謝謝你們辛苦了
雨宮哲也,1,"警員態度不佳，對案件的觀點完全不中立，會對他人預設立場
建議不知道人生方向的8+9去讀警校"
Meiyi Yuan,5,"感謝好心人士送回遺失的東西🙏
非常感謝親切的女警察即時致電通知失物招領並細心辦理！！！"
WEI WEI,1,"警專？警大？特考？
所以只教會你們吃案嗎？
賭具/籌碼都擺在桌上的聚賭、鄰居報案報幾次了！
半天不來也就不說了、終於來了之後、親眼看你們警車開到巷口、員警下車走繞一圈、然後上車？以為他們上車拿東西、結果警車直接開走？再跟我們說「處理了、沒看到」？是當人民都瞎了嗎？"
TMU b101107139,5,手銬緊實度恰到好處，手沖阿里山高山茶甘醇爽口，值得造訪。
吳語珊,5,謝謝4/4號，差不多23時間段在象山巡邏的，兩位暖心帥哥警員，謝謝你們😘😘😘
冠融陳,5,申訴成功，警編11320別再亂開單了，年輕警察自以為什麼都能開，不用再用那種跩臉了，沒被你亂罰到別以為市民都好欺負，多向你的前輩們學習別丟人民保姆的臉。
家駿,5,"現行犯遭逮捕沒上銬坐在沙發，主管還泡茶給人喝呢
歡迎大家來吳興所轄區犯罪
吃飽喝足睡暖
保證五星級待遇"
郭蓮東,1,你們吳興街的怎摸會跑來三張黎的地頭開罰單啊？莫名奇妙!!!警察的臉都超臭的，臭到看到民眾的臉都很仇恨...是怎樣....你們要開罰單就去你們自己的轄區好嗎？這裡是三張黎的我在說ㄧ次是三張黎的，菜姓員警..我說的就是你。
孔雀王,1,之前吳興派出所有警員酒後開車，結果還找人頂罪，弊案擺出，就是因為吳興管理制度差，所以住在吳興的民眾才會困擾，說便民根本是擾民，Lisa. Chiang 你還記得吳姓警員的編號嗎？看樣子吳興派出所須要好好檢討一下，既然該名員警這麼想被投訴，那我們就如他所願，請各位網友趕快去投訴吳興分局，尤其是他們的長官，因為那些警察很大，又有監視器，所以不怕被民眾投訴，順便也找議員跟他們長官來參觀，
劉子葳,5,台北市目前去過最棒的派出所，而且發現員警之間相處很有同袍情，雖幫我做筆錄的員警，一開始態度不佳，但我一直給予正面能量，最後他態度改變👍
EltonMao320,1,好心通報，卻愛理不理的，素質很爛
Hihihi Loo,5,果然是刁民的都愛找碴
王淑玲,1,吳興的警察，一直以來素質都不是很好，都很官僚。
Wldon Huang (Wldon),1,"為整間派出所唯一認真工作的年輕男警員感到不值
其他都是吃案臭臉 不甘我事的態度"
lisa chiang,1,吳姓員警態度及語氣極差，還叫民眾可去投訴他，真是有損原本良好派出所的形象，可惜！
黑暗大偉誠（黑暗大偉誠）,1,"吃案派出所
手機不見報案 無後續
總統手機不見 兩小時內找到
差別待遇不是這樣的吧"
Susanna Huang,4,羅大佑性侵松仁路底，山東捲餅女主廚
Arthur Chen,5,熱心暖男警察
少年吹螺,5,很善待老百姓的好警察們
羅玄車,1,內勤警察應該把打字速度列成考績評比門檻
蕭熠,1,員警態度超差
Philip Chang,1,"(由 Google 提供翻譯) 低評級。當我們處於危險之中時，他們沒有給我們提供幫助，而是讓我撥打另一個電話號碼27583420，該電話號碼不是有效的電話號碼。如果您遇到麻煩，請祝您好運。

(原始評論)
The low rating is earned. Instead of helping us when we were in danger -- they told me to call another phone number, 27583420 -- which was not a valid phone number. If you find yourself in trouble, good luck."
邱海海,3,👍
3ak 106,1,👎👎👎👎
Cheng Chen Chen,1,
Ray Lin,1,
asli ngpak,3,
李嘉峻,5,
黃楷鈞,1,
陳欣琳,5,
蘇晟瑋,5,
YC28 (YC28),4,
CTH chang,2,
朱志鵬,5,
gg e,1,
Li Ming Chen,3,
sinyu yang,2,
Vincent Kuo,5,
田承儒（剉冰）,1,
幻夜,5,
