author_name,rating,text
張琬萍,5,"影廳整體設備很寬敞
座位大沙發椅很舒適
影業照顧行動不便者
貼心細心安排超級棒
身心靈放鬆享受極佳
大大推薦梅花電影院"
Vicky Wu,5,環境非常舒服沒有其他戲院悶悶的發霉味道，連廁所也很優秀，真的是最喜歡的電影院！改裝後新的椅子非常非常好坐，椅子有個弧度可以往後仰，每一排間距大腳可以整個往前伸，人又少，票價又便宜真的找不到什麼缺點～
大美女,4,去看一部很感人的片子：聽見歌再唱，遇到很值得敬佩效法的長輩
Lafayette Lin,1,螢幕位置設計有問題。九排之後的位置，如果前排頭太大字幕會完全被擋住看不到，怎麼移都沒用，垃圾設計，浪費一部好片
李浩銘,5,第一次來這兒看電影院，設備因為重新裝潢過，還不賴。爆米花好吃又便宜。
梁梅華,4,地點位置適中，可搭乘的大眾交通 工具很多，室內整潔，服務親切！
Shannie Han,5,看其他評論似乎是剛整修過，座位高低差距充足不怕被擋到，作為也是寬敞舒適不擁擠；只是整間戲院只有AB兩廳，所以放映場次相對少很多有點可惜，不過若場次符合觀影需求，這邊會是個不錯的選擇唷😊
Wu Jayaliilá (Jayaliila'),5,蠻舒適的位子，不會像冰櫃冷的冷氣，覺得好！
Jack Jiang,5,從小看到大，新裝潢很寬敞乾淨，座位設計可以後躺也不會擋到視野，真香👍🏻
Claire Hsu,3,有年紀的電影院，不大但還ok，位置可斜躺
H,5,重新裝修後的梅花很不錯～椅子很舒適，包場很棒喔
Catherine Wu,5,環境比真善美好，有些片子那邊下檔了這場還上映，就會過來～
許多,5,"以前就滿喜歡這邊
重新裝修過後椅子超級舒適，往後躺就稍微往後仰，腳前面的寬度也非常的寬，不會很擠
電影沒有攏長的廣告，準時開演，不像大家的戲院廣告都要個5.10分鐘～
推薦給討厭看廣告的大家優
票價也是非常的便宜，搭配信用卡一張票只要210元，週末票價也不加價，熱門電影這邊也有，想要看文藝電影，這邊也有，整體來說這邊真的非常舒適，以台北來說，這裡真的非常物超所值，超級推薦。 …"
林穎,3,想做前面排，被排中間靠走道，視覺很斜很不舒服，明明就可以再排靠中間一些的位置
Duo-Jia Shih,5,"初次到訪，剛剛整修完，看電影很舒服，位子寬敞，也沒有食物的怪味。

買票時店員主動告知中信和台新信用卡優惠，太體貼了。"
藍弘慧,5,梅花戲院是大廳院，可躺式布座椅，前後座位間距也很足夠，販賣部雖小巧但有寬敞舒適等待空間與座椅，廁所乾淨無異味，算是非常超值的電影院！
Lee Austin,5,"整修過後觀影體驗符合價格及預期
販賣部價格也很親民
希望繼續保持下去  加油!"
Jimmy Wang,4,環境價位合理刷國泰卡友優惠唯獨影城只有兩個聽所以電影的選擇比較少
得機,5,梅花戲院，重新裝潢。沙發躺椅，敦南和平東路口看院線片的數位影城。
俊義蘇,5,"沙發椅很大、刷特定卡價格實惠
人相對較少、很舒服的電影院"
謝依庭,5,"在大安區裡的小電影院。
重新整修後變很美，因為是小電影院人很少，坐椅還可以往後躺，冷氣也不會冷到讓人直發抖"
Carrie Lu,5,很喜歡來這間影院，翻新後的座位超大坐起來很舒服，最喜歡第5-6排的位置（因為前後排間距蠻寬，所以不會太貼近大螢幕），不過只有兩個廳，播放的影片不多
鍾宇明,5,老字號的梅花戲院，10月中旬又改新裝，之前也改裝過幾次，非常用心的電影院，不斷提升對觀眾服務的水凖。這次除了影音方面改善外，更增加了無障礙設施，非常貼心！同時椅子坐的更大更舒適，走道的字非常明顯，讓你不需要摸黑去找第幾排，椅子上的坐號也非常大。把觀眾的需求都考慮進去！社區型的電影院值得大家去捧場及支持！
林.,3,"整修後裝了玻璃門，可以預防人不小心掉下去，覺得這點很不錯。環境也變得更乾淨了！椅子可以調整椅背很舒服。

可惜的是，戲院的高低階還是沒有很明顯，我這幾個月在梅花看了鬼滅之刃、同學麥娜斯，字幕被前面的人的頭擋住了。

有台新卡可以享有早場優惠。"
TS L,5,整修完之後位置很大很舒服，平日人不多很悠閒
Zi Shao Wen,5,"便宜 舒適 乾淨 明亮 交通方便！
非常推推"
施仁傑,5,重新裝璜後第一次來，感覺比以前整潔多了，座位指引清楚也很舒適。
wang angela,5,昨天公司包場看孤味，電影院的人非常親切而且設備裝潢都不錯，非常推薦大家可以來！
忘記,4,重新裝修過，與前座距離變得更寬敞，座椅可以調整角度，很舒適阿
張瑞恆,4,新改裝後座位也寛敞起來，椅背還可往後調，舒適度大大提昇，唯有上映片選擇比較少
Shaun He,5,乾淨又舒適，看電影的好去處，販賣部如果能再多一些選項會更好
黃勝宏,3,硬體更新過，座位夠寬敞。缺點是吃的不多，如果能增加吃的就會更好。
莊偲妘,5,最長去的電影院就是梅花!從小到大可以說都是在梅花看電影的，所有電影院整修後能馬上發現前後的差別!!!變得更加漂亮乾淨一點了!前後差別也沒多大!就是變得更加喜歡去梅花了!推薦梅花戲院(๑•̀ᄇ•́)و ✧
麥達斯,5,改裝後聲音場地座椅都比較好，真的是不錯的地方
Jack Wang,1,"附近住戶 從以前一直來這邊看電影也很喜歡
但這次售票小姐態度實在太差惡劣
一位戴眼鏡約30歲婦女 分開付擺臭臉
也不問我們要坐幾排 直接幫我們安排邊邊角落
一堆空位 實在很難過看個電影還要受氣"
張漢鑫,5,"票價合理推薦給喜歡看電影的人
PS千萬不要開車或騎車超不方便建議搭捷運"
行者之聲,5,新座位，乾淨舒適，雖然只有兩廳
Yako Kuo,5,廳不大，人不多，椅子舒服，下次會再來
Laura Chen,3,隔音不是很好，會聽到別廳的聲音，其他都很棒
Perry Lin,2,空調非常熱，坐在裡面看電影狂冒汗。如果花一樣的錢，真的不會想選這家電影院。
葉威逸,4,挺不錯的，座位寬敞，人也不多!!唯一的缺點就是有蚊子，看完腿上被叮了一堆包!!希望能有所改善!!
1578joe,5,票價便宜 Cp值高
Betty Lee,5,非常好，它和真善美戲院老闆同人，買套票１１張是2100元，可兩邊通用，—張190太划算，厠所乾淨人不多，坐中間區如有人不貼背坐，前後動確實會擋字，改裝後的椅子在全省數－數二，可看座位表挑位子，不像國賓長春常骗顧客先買爛位子。但愛逛百貨商城，這裏没有。
Eliza Wang,5,老牌劇院，片子都不錯
May Guo,3,售票窗口講不清座位 二樓大廳員工上班聊天 冷氣不涼 座椅可以放倒 但沒有安排梅花座 把客人都集中在中間 剛好遇到隔壁歐巴桑脱鞋跺腳大笑座椅晃動 所以是不舒服的體驗
