author_name,rating,text
vicky chen,5,老闆熱心解說！得到很大幫忙。很棒的藥局。
張雅惟,5,老闆人超親切熱情，很仔細的解說，也不會強迫推銷，態度超好一直幫我解答，謝謝💖
順安許,5,服務態度都很親切，也很專業！很開心在住家附近有這麼便利的藥局（商店）非常推薦，五星好評！😉
Skylar C,5,我和老公先後出現腹痛、上吐下瀉、全身虛弱的症狀，非常不舒服，這間開到凌晨的藥局是我們的救星，藥師親和有耐心，給予我所需的一切協助，非常推薦給臨時需要藥物和醫療建議的人。
Aman Chang,5,半夜1:30還有開門，真的幫了大忙了
許順安,5,會給與適當的建議， 待人又親切，會讓人想再次光臨的店！！
李奧納豬Jonnah,5,超級推薦講解的非常仔細，半夜去絲毫不會不耐煩，我還問了他傷口怎麼處理他會非常耐心的教導你
yeh Livingston,5,身有氣喘毛病，3年前就一度半夜忽然發作，一時找不到藥，臨時找到老闆開到半夜的這間藥居，真的救了一命，今天又因半夜忽然發作跡象，隨身備藥不知是不是掉了，又再次被老闆救了一回，真的謝謝老闆
small crag,5,藥師真的講解很清楚，不會有絲毫不耐煩，半夜還可以買到救命藥，有這家藥局真的很好 👍
何家儀,5,醫生真的非常親切友善~讓人感到溫暖❤️❤️
黃國彬,5,"夜半急需買藥品真的很解圍
而且有問題也可以詢問老闆 老闆都很詳盡的解釋給建議"
喬巴哥,5,"老闆親切 用藥情況問的滿仔細的
開半夜的藥局"
林鍵融,5,"真的很棒的醫師
很耐心的幫忙老婆突然間牙疼的問題

很細心的訊問過程
也會分析我們的狀況
以及
了解我們所在用的藥物
還有
告知必須多久才能在吃藥

真的對我老婆的牙疼對症下藥！

再次說聲謝謝🙏 謝謝幫忙
衷心祝福醫師和醫師太太身體健康
幫助更多需要幫助的人

感謝🙏說不完的感謝！"
趙蒂,5,老闆人真的很好，開到半夜幫助很多需要的人，真的很謝謝老闆
羅Bryan,5,一定要推！！！老婆半夜不舒服我打電話到禾成，一位黃先生（或是王先生？沒聽清楚非常抱歉）非常有耐心的聽完症狀後給予專業的建議，這年頭真的很少醫療專業人員願意這樣耐心熱忱服務大眾了，善有善報，感謝
極炎亂舞,5,藥師人超好，甚麼問題都有問必答，買藥之前也會詢問之前的用藥習慣，如果半夜要買藥，這邊超級推薦
簡亞當,5,半夜突然要買藥的好夥伴
Jack Chin,4,"人家是暖心的～午夜食堂
這家是貼心的～午夜藥局

光這營業時間，先給星按了讚再說…！"
楊雅婷,5,半夜孩子上吐下瀉，天氣又冷，還好有這家藥局可以買藥，藥師講解如何用藥跟先煮粥湯給孩子暖暖胃舒緩嘔吐感，再吃藥，謝謝藥師，真的很棒。
達,5,"純粹要找午夜時間  開的藥局來講
這家很棒！
孩童的發燒配藥劑量準確 ，也不會再多推薦相關藥品，退燒藥水一瓶$50
可以讓孩童撐到早上，等一般診所開店時再掛號看病。"
梁君瑋,5,老闆人真的很好，服務態度也超棒
YuTing Lin,5,謝謝老闆，辛苦了。守護大家健康
Jenny,5,半夜兩點還開著真是佛心，而且態度還很好有精神，謝謝！
郭大鐵,5,細心解說服藥注意事項 非常感謝
Yo Kevin,5,半夜急著買藥 老闆親切有耐心
Allie H,5,營業時間到蠻晚，半夜不怕買不到藥，還有藥師很細心，藥品成分都會仔細的解說。
Jessi Chen,5,服務輕切熱心，感覺非常好👍
Wang Sam,5,"藥師非常的用心，會給與適當的建議，
待人又親切，會讓人想再次光臨的店！！"
彭慧玲,5,藥師很有耐心，很棒的深夜藥局
魯小如,5,半夜家人拉肚子，著急找藥局，碰到老闆很親切解釋👍👍👍，吃對藥就比較好了，不然半夜落💩落不停真的很麻煩。
鄒小紫,5,老闆人超好。有乖乖按照諮詢的正確方式和用藥方法，各種疑難雜症好的速度會很快。
don Huang,5,黃小姐人很好而且開很晚解說的很詳細
SONGPO,5,老闆細心解說藥品使用方式及藥效
tang vickey,5,老闆人很好，用藥諮詢會給予很明確的諮詢&用法，超推薦！
Gertrude Tsai,5,老闆相當親切，解說詳細熱心
阿蓁,5,老闆人很好，救了我一命
Oscar Chang,5,已經改名為禾成健康廣場，老闆親切，營業至凌晨4點。
yung-sheng Chen,5,我都叫他救命藥局
陳育倫,5,老闆人很好而且開很晚解說的很詳細👍
周佑融,5,半夜有藥局
Austin Lin,5,親切解說 價格公道～
梅小天,5,開很晚，老闆很親切
Ruby Ko,5,老闆根本是救命恩人
June Chang,5,老闆解說詳細
Jay Chiang,5,醫生非常親切。
劉晃任,5,
Rae Chen,5,
Dan Liu,5,
彭韋翰,3,
張雪真（JJ）,5,
William Gu,5,
廖文翎,5,
孫顗智,4,
林晉德,5,
Annie Wei,5,
鄧鄧,5,
Chia Chun Wong,5,
吳jia qian,5,
Ruei-Heng Cai,5,
Judy Shen,5,
何承軒,5,
HSIANG YUAN PAI,5,
袁倫謙,5,
高小玲,5,
Zach Lin,5,
馮裔潞,5,
