author_name,rating,text
lesly wu,1,多家不同健檢中心的經驗，就屬北醫第二醫療大樓一樓的這個最令人傻眼！早上預約不到，下午預約時間已到，一堆人門口排排站排隊不能進去，感覺整個流程都很混亂，第一次遇到更衣室男女混合，置物櫃前只要站有一人，第二人就過不去了。X光檢查室要穿越醫院本身的掛號大廳，早餐更是不用說只有一個三明治外帶回家，因為空間小到多餘的座位都沒有，更不用說是用餐空間，跟其他健檢中心同樣價錢的方案比 cp值最低，檢查品項最少，更不用說什麼有三選一，二選一的項目，連糞便檢體都沒有，只能說不推薦
Alison Chou,1,大姐癌末，生命垂危，跟醫生約今晚來談病情，但醫生尚未到，想去看一下姐姐並拿護身符給她，被幾個護士一起無情拒絕，因為不是探病時間。如果明天我姐就走了，你們要怎麼樣呢？
Hsu Stephanie,1,公司健檢居然像學校健檢等級，第一次做到是這樣開放空間，場地就像照片這麼小，一排椅子(不是一般都是沙發區嗎？)更扯的是X光居然要穿著健檢衣服走到醫院區域照，爛到爆，之前就聽說北醫今年場地有變，想說如果人員專業就算了，結果人員都搞不清楚狀況，行政安排極沒效率，各間不斷重複叫人，同樣是預約公司健檢，千萬不要選擇北醫，會一肚子氣
Shu-Ting Huang,5,公司安排來這裡體檢，護士醫生都很親切專業，最後附的便當也不錯。👍
Yung Yun Wu,1,健檢中心超級小，雖說用手機app指示下一關到哪裡健檢，但常常會有比你晚來的人插在你前面，最簡單的健檢做完要三個多小時，超級沒效率。
Jenny C,1,"復健科陳適x醫師，完全不問診，看診態度差，詢問問題也不會回答，只會敷衍的重複問題然後一直在打電腦？
請問是利用我們的看診時間，來處理其他病人的事情嗎？"
許炫仔,1,覺得醫生護士很多都很敷衍
Panagiotis Dionyssiou,3,"(由 Google 提供翻譯) 最糟糕的地下停車場之一。入口是陡峭的，且轉彎較窄，同時應該是雙向的。實際上，大型汽車和卡車經常卡死，並且向相反方向行駛的車輛需要倒車。

一樓已部分裝修，但病房很髒。清潔人員只掃掃房間的中心，因此會發現污垢，垃圾和食物殘s剩飯。結果，觀察到蟑螂四處爬行，甚至在床上（昨天和今天三）。減去兩顆星。

最近，浴室雖然被徹底打掃了，但這當然很好。

另外，我不喜歡必須簽署一些醫療表格，但是沒有英文版本，這使事情變得複雜。 …"
櫻鈴,2,
yi-tzu Chen,1,
余靜玫,5,
