author_name,rating,text
Kevin C.,5,可以買台大紀念品
Jason T,5,"小小的書店，大都是台大相關的書籍，外面書店沒有的。
也可以拿起一本喜歡的書，點一杯咖啡，坐下來品書品咖啡。"
lab kronk,3,每月最後一週的週二不對外營業。
チョウユウ,4,以台大自己出版的書籍為主，有能坐下來閱讀的空間
Fairy Liu,5,線上購買再去領貨，地標沒有很清楚，而且現場無法刷卡
Rick Lin,5,美好的回憶
Yi-chang OuYang,5,心靈宴饗應有盡有。
Chenghua Yang,5,內部東西很多元，可以參觀選購
hw chang,5,"(由 Google 提供翻譯) 棒

(原始評論)
棒"
林聖凱,3,
夢瑩蔡（茶色左岸）,3,
Jada Yang,4,
Kevin Cheng,5,
羅瑞邦,5,
Rong-I Arthur Hong,4,
Josephine L,4,
陳淑芬,5,
Joe Ng,4,
盧琬欣,5,
jimmy,5,
Pangfeng Liu,5,
捲捲,5,
林奇瑩,5,
Dex,4,
bobbi lin,5,
Helen Huang,5,
吳書林,4,
余新詠,4,
劉彥欣,5,
蔡旻峻,5,
Pinyen Kao,5,
Wei-Sheng Hung (Wayne Hung),5,
James Tso,5,
Jim Chen,5,
eric Liu,5,
朱品柔,5,
晟銳（Herb）,5,
Masanori Matsuura,5,
許揚旻,4,
Ann Yang,5,
