author_name,rating,text
黃amy,5,感謝Pinki專業介紹，讓我加入很棒的俱樂部，入會贈送禮盒，實際上課後，教練的專業跟細心，讓我很放心，值得推薦的好地狼方，贊
Che-hsiu Hsueh,5,最適合任何一種層級運動者，最推薦的運動中心。每堂課都有教練，超專業又好相處的指導者兼夥伴👍
徐志睿,5,"業務Louis人還滿誠懇的，很得我心(聊得滿來的還閒聊不少題外話
我有提出我個人一些安排的顧慮，他也沒有用話術只要我加入
而是有真的有依我的需求給出適合方案
有興趣體驗的我滿推薦可以找他-----Louis
.
課程部分
體驗一開始有點不習慣稍微跟不上
但大約到課程三分之一就滿上手
動作不會時教練也會指導
最後大爆汗感覺滿爽的，也滿符合我在重訓外想訓練心肺的需求
學員間感覺也滿和樂(雖然我有點怕生沒有跟其他學員太多互動
整體來說是很不錯的體驗
已加入每月4堂的方案
之後正式上課有新感想再補上來吧~~"
李律瑩,5,"在這邊運動減脂超有感！很推薦這邊的專員Josh 解說清楚 親切白爛
想要運動要找他喔 真心推推推"
曉雯,5,減脂好地方！很推這邊的教練課程，cp值高教練又教得好，很推薦這邊的專員Josh！熱心服務又幫忙解決約課問題，真心推薦🥰
ashley,5,以團體方式進行 可依個人程度向教練做強度調整 教練也都會關注每位學員 一起運動的好地方 業務Josh非常可愛 很有親和力 有問題都可以找他
Irene Wang,5,業務愛可太棒又貼心，教練Kay也太專業了，真心推薦👍👍👍
Ikki Lu,5,愛可超熱情超棒～教練們也都很專業，每次上課都很有效率！對於平常沒運動習慣的我們來說，可以跟著教練的節奏做訓練更容易上手！
潘玉芬,5,"教練Kay專業有熱情又有趣

想加入找愛可喔～"
張亦葳,5,真心評論 我必須說愛可服務跟他的效率一級棒 無話可說 如果想要來運動 記得指定找Aike!!!
邱琳晏,5,業務愛可很親切熱情💋本來沒有運動習慣的我，變得期待每次運動，有心率帶和定期nobody 測量可以即時知道自己的運動效率，也可以追蹤每次課程的卡路里消耗，讓運動變得更有動力！遇過的教練Kay Wayne Ian 嘟嘟都很專業 推推！
鄭惟寧,5,"業務Josh介紹的很詳細！推薦大家找他介紹，誠意滿滿！
教練的話最喜歡上Polo老師的課～"
黃郁婷Debbie,5,"課程內容很豐富~除了課程比較不好約以外其他都很滿意!!
服務人員很推薦Josh~很健談也服務也很好:)"
Jim Wang (胖胖先森),5,"Aike業務親切貼心，感到很暖心👍
Anton也很貼心，願意為我的狀況安排時間🙏"
Wei-En Cheng,5,運動好去處，喜歡跟著老師上課燃脂！推薦Josh，親切又認真！
祥惠,5,感謝可愛的愛可～鼓勵我來這邊努力運動重獲健康！
Ego Chen (依居毆),5,"教練認真風趣
課程好玩豐富
值得你來參加♥"
Fululuchu,5,Anton服務很貼心又和藹~運動也很棒!!很有效果，運動找安東~~!
Karen,5,"介紹很親切 詳細
完全不會有過去對健身房業務排斥的感覺
開始運動囉😍"
huitheng khoo,5,愛可超親切（和激勵人心😂） 老師們認真
larry,1,"我算是這間店的創始會員
本來也很喜歡這裡的運動氛圍
但是這幾個月以來，
這邊變得非常難約課！
難約的程度比搶五月天門票還難（絕不誇張

如果你是看中他的課很多可以自由選課
那我建議你打消念頭，
因為不透過專員幫忙，在app上根本約不到課
就拿我現在2020/11/10來說，系統上到11月底之前的平日晚上都是滿的了！你根本沒有辦法利用現有的課達到你要的自由安排的目的
P.S專員人都很好很善良,只是每次要人工約課，對誰都麻煩

這時候專員會跟你說「你可以候補」， …"
Serena Wang,4,"是上班族運動的好地方。每次運動完都能量滿滿
教練真的很不錯。
我運動約課不喜歡麻煩別人，大半年我的業務專員好像離職了，我都不太清楚，所以約課都靠自己。確實不容易約課。
因緣際會下，愛可專員熱心幫忙解決一些問題，才跟他熟稔，逼不得已會請他幫忙，但真的也不好每次都麻煩他，畢竟運動是自己的事。 …"
TRUDA震菁,5,"教練很專業很棒
有問題可以找業務專員愛可"
徐國閔,1,"本身是台大生，在路上拿到體驗單，看評論也說教練都不錯，想說搞不好可以試試，因為以後畢業應該也會找健身房
但今天打過來詢問體驗的人實在態度和詢問方式都太有問題，只好終身將其至我的選擇名單中刪除
奉勸大家台北有非常多健身房，沒必要到這家找氣受，尤其是台大生，台大一年也才1350，那個專員完全沒想消除我對價錢的考量，只是一味的逼問我星期一什麼時候可以，各位走在路上別隨便拿這家的宣傳單，之後會被口氣不好的專員問到吐血 …"
沈聖堯,5,"地點方便，收費模式彈性(每月扣款)
有不同的課程針對有氧、無氧、肌力、肌耐力不同比例的訓練課程，效果很不錯
適合長期穩定的運動習慣養成"
方麗禎,5,感謝Pinki耐心的解說，讓我下定決心來運動
何匡時,5,專業又好玩，運動人數剛好不會擠，來找大可愛！愛可可喔！
Michelle Shu,1,"公館店課程難約是最嚴重的問題，開放訂課後基本上前三週約不到平日的晚間課程。需要透過業務人工訂課，但業務不是流動率高找不到人，就是脾氣超大還會嗆會員。花錢找氣受又上不到想上的時段！上班族務必在買課前三思。
設備上，跑步機和划船機故障率高，心率和課程電腦系統經常當機。TRX帶吸了二年汗水沒有更換，汗臭令人難忍。廁所更是永遠是髒臭的狀態。
教練素質是唯一可取之處，但也有程度高低不同的問題。
即使身為資深會員，也漸漸無法忍受這些日益嚴重的狀況而凖備退出了！"
H,5,運動課程整體感覺非常不錯，感謝ivy專員在這期間的熱心幫忙，很仔細的介紹適合自己的運動方式，課程預約上有任何問題都超有效率的幫我解決，有運動需求的人推薦要來就找ivy～
Tsai Helen,5,"運動找愛可👍🏻
平常業務工作上班時間不固定
沒運動習慣發現體力變超差
去健身房又不知道怎麼練
時間很緊 想要有效率瘦身運動的就選這邊了啦
來半年 每個月愛可都會細心追蹤inbody的數字
下課還會關心上得習不習慣 很暖心🥰"
李傳恩,5,謝謝Louis的服務，安排體驗與解說～ Fitzone運動很紮實！
Li Yvonne,5,"一直以來都很不喜歡健身房的推銷（應該說推銷都...）不過這次遇到了業務愛可！非常有責任心，相處起來也完全沒負擔！讓我整個課程體驗又更上一層樓！也歡迎大家找她❤️
眾多教練中一定可以選到適合自己本身的\(≧▽≦)/"
Kevin Chu,5,Louis服務良好，約課的問題都可以幫忙解決，很棒
宣,5,謝謝Chole的教學跟愛可用心的服務～
周郁倫,5,貴公司 張亦葳服務態度超好🥺
Hung Chiu,4,"團課很讚有很多教練給予不同的教授方式，教練很讚，推Kay跟辛巴（辛巴強度很高，但如果是進階訓練可以找他突破健身瓶頸）
強度也可以自由選擇，雖然常常約不到就是了

業務們也很辛苦，明明爛的是系統跟公司還要幫忙處理很多後端的問題🙄
我的業務Ivy就很盡心盡責，沒有上述評論提到的翻臉不認帳，雖然常常約不到課（但這是系統很爛的關係）但Ivy還是在下班時間儘量幫我從後台約課，也常常會關心我的目標進度，也會給我很多飲食、訓練上的建議，所以總的來說是挑業務挑不對吧哈哈哈

價格上不便宜 入會費加上上課費一個月也要快6000
但如果瘦身有成也算花得值得啦"
魚夢夢,5,"嗯！上課快2個月了，從上課一半快掛掉到現在可以完整完成一堂課(雖然還是很累)，能持續規律運動就令人開心了。
這裡的教練(Katie及DuDu )很用心，Louis 的服務也很好，時時會通知新課表、問候運動情形，不會拉人進來就不再理會。 Louis超棒的 服務優良耐心"
HsinYu Liao,5,報名體驗唯一推薦LOUIS ，帥、親切、說明詳細👍👍
Chan Dustin,5,"雖然剛參加沒多久，不過整體感覺上非常不錯，慢慢覺得運動也是很好玩的～讓人比較有持續下去的動力😄
也要感謝ivy專員在這期間的熱心幫忙👍，
大力推薦要來就找ivy👍"
Andy Lu,5,"交通方便，課程也常常有新變化，非常有趣，很推小豪跟Kay的課喔，其他老師也很棒，要有被連續虐待一個小時的準備
專員Trista和愛可的服務也很親切啊，而且說話很好笑。快來吧"
游小鄉,5,謝謝愛可，服務親切有耐心，還會鼓勵人。每一個教練也很認真上課，講話很幽默。如果持續運動應該對身體會有很大的幫助，大家一起加油吧！
謝詠倫,5,讚讚~這裡的員工超親切🥰感謝Ivy讓我認識到fitzone!!((第一次做tabata做到感覺快上天堂了
Jack Wu,5,"嗯！上課快1個月了，從上課一半快掛掉到現在可以完整完成一堂課(雖然還是很累)，能持續規律運動就令人開心了。
這裡的教練(Katie及DuDu )很用心，Louis 的服務也很好，時時會通知新課表、問候運動情形，不會拉人進來就不再理會。"
蔡宏昱,4,愛可人很好就算不是她的會員們她都用心照顧其他非她會員的人，也會激勵著非她會員的人，教練課也不錯，唯獨課表刷卡系統3個月後突然間條碼又不見了，總公司卻叫我自己跟我業務說明，唉人家很忙，他們卻要增加人家忙的不可開交還要我自己找業務說，有點不是很開心
maker the,1,"這家真的不能來阿
竟然還說前客人Liu Joy 精神有問題...
偉哉FIT ZONE

來分享我的一些經歷好了，
約課約不到，人沒瘦到，確讓我的錢包先瘦了。如果有要讓錢包瘦身的可以來試看看喔~"
謝宜君Jane Hsieh,5,"FITZONE 團課好玩有趣，
喜歡Kay嘟嘟DuDu教練帶領的課程，
報名請找**愛可**唷，服務超好又親切♥️"
Tzeng TeHsuen,5,"滿有效率的團體課，原本對費用(入會費+月費+心率帶)以及能否配合每月課堂次數有疑慮，接洽的業務給了覺得還不錯的協助所以決定試試!
也感謝業務Louis的服務!"
廖語菱,5,"業務專員louis真的很細心的講解我提的問題
並鼓勵給我支持陪著我一起進步
貼心細心又幽默的帥勾
來運動一定要找louis"
Irene Chang,5,專員愛可很親切！說明講解十分清楚👍🏻
劉珮君,5,課程專業~教練上課也都很風趣，也推推可愛的鮮肉專員Louis，親切負責講解詳細~大家快去點他檯~
Huang Nz,5,有事找艾可！運動有效率！
劉國英,5,喜歡愛可的服務。活潑開朗的笑容真的棒棒棒棒
Winnie Cheng,5,"I joined around 2 weeks ago and my body fat has decreased by 4%!!

Cardio + strength training- I feel that it’s the most effective way to lost weight and build muscles.

The trainers are all great! They have different styles so you can try …"
Pin Wu,5,"環境舒適 地點方便
尤其是業務Josh很友善 親切
會主動協助了解器材
會主動關心上課狀況
會主動幫忙安排課程
真心推薦"
林佩儀,5,想要健康就從養成良好運動習慣開始吧！值得推薦的專員Ivy~超貼心的支持和鼓勵👍👍👍👍👍
nini chen,5,Louis 服務不錯可以找他哦～
胡育誠,5,"台北地區最有效的運動場所，館內的環境美觀又舒適!
長期運動感覺真的很好 強力推薦"
李惠,1,"不用多說，以後不會再去，各種推託
想來入會的自己考慮一下，別被業務騙了"
lin vivian,5,"在FITZONE 運動四個月了！一開始是看到Youtuber Tiffany的介紹來的，教練會帶著大家一起運動，有氧（跑步機跟划船機）跟肌力訓練交錯這點很吸引我，因為我是一個只做重訓很討厭有氧運動的人，但又想減脂所以在找一個適合自己的有氧運動，一次上課最多20人，教練也會隨時注意學員的狀況（最喜歡Kay 跟Owen）
第一次來體驗課程就很幸運的遇到專員Josh，Josh …"
張家浩,5,"小班制教學，教練幽默風趣又能顧到學生個別狀況，上完課後非常有感，是培養運動習慣的好地方！
推薦專員Louis ，熱情又細心，對會員的照顧無微不至像夥伴一起前進，無論制度環境甚至生活上都體貼的關照到，有你真好！"
林思譯,5,Louis很細心的介紹內容，比起其他家健身房，我更推薦來這邊給Louis服務
國誠,5,專員Louis有耐心 有關運動方面的知識都會認真講解 非常感謝找到一個運動的好去處🔥
小開,5,大推專員 louis 人很親切 而且不像之前遇過的業務不會一直強迫 會針對你的問題去幫你解決 而且運動的問題 除了課堂上可以問教練以外 也可以詢問他 是個人很nice的專員
周彤恩,5,"去過蠻多健身房的，有些給體驗心不甘情不願的，有些汗臭味很重的，有些服務員連笑容都沒有的，有些要學器材使用還會逼你額外消費的..
Fitzone這種運動模式我覺得太好了，雖然月費不算低，但成效有出來，該花的還是要花。
真心推薦～店長Trista👍👍👍"
佩穎蔡,1,"(喜歡教練上課，真心覺得教練都很棒很優秀)
(但是櫃檯人員處理事情態度真的很糟糕)
會員反應問題，處理事情態度一點都不積極
既然反應問題了，應該是要立即做處理詢問發生什麼事情，而不是把我們晾在一旁...要我們一直追問才有後續!
基本上扣款日，兩週內都約不到課程...因為專員沒有做好交接，所以目前也沒有專員! …"
周柏宇,5,導覽講解清楚仔細，推Louis
蔡旻穎,5,老師很專業～～～～！專員也很認真在輔助哦，推推
林晏安,5,愛可超級親切～謝謝愛可一直督促我運動
樂色,1,"萬元買健身課「根本約不到」！她3個月只上9堂怒控擺爛　業者：溝通中

噁心企業下去"
Amy Ju,5,"Ivy專員～～～認真的為我做好運動規劃
也會幫我解決任何問題，非常推薦他！"
張佩玲,5,"上課教練很親切，隨時提醒叮嚀動作正確性。
工作服務人員很有熱忱。"
黃晶晶,5,"坦白講！Fitzone這種運動模式我覺得太有效了，我之前在健身工廠買了很多教練課，成效都沒如此彰顯，後天合約就滿了，會在續約👍👍
我的業務是Trista，覺得很暖心"
M. S.C.,1,"真恨不得在此留負評。上次留言稱自己受到該店店員愛可的欺騙與放肆無禮，自稱是world gym的網路客服回應希望我循官方管道反應意見。事後我打給world gym兩次，回我說會轉給這店的主管，結果兩次完全沒得到任何回應。甚至我直接打給該店管此事的副理Trista，這副理也在給我裝死，接了我一次電話說會再回撥給我後，就沒有任何下文，還一而再再而三地拒接我電話，真的是目中無人到了極點。
看這家店所有的差評，得到的回應全是公式化地自稱是world gym的網路客服說希望循官方管道反應意見。但反應之後有個屁用？"
Jeff Hi,5,"Daniel熱心 長得又帥 耐心介紹
會定期光顧"
ESO,5,小班制上課完全不用擔心器材不會使用，老師也挺細心的！大推～真的很棒👍
