author_name,rating,text
林純美,5,會分享專業的知識，服務態度誠懇有耐心，感受到如同親友的關心你
Ru Su,5,我依舊支持「我ok，你先領」，但我也需要口罩了，感謝中力藥局💗，非常人性的發放號碼牌，讓大家可以安心排快快領！大家，我終於領到了中中部長管控的口罩，大家加油💪
MO RO,5,服務態度一直很好，客氣。去消費了好幾次，推薦
JAMES CHUANG,1,店員服務態度親切，但把門診寄單的藥單正本弄丟，也沒輸入電腦，結果還要再去門診重新看診申請，管理有問題，建議慢性病藥不要寄單，以防被弄丟時欲哭無淚。
張雅芳,5,藥師很專業針對病症拿對的藥，且耐心回答疑問。推薦!
Norman Lin,2,口罩品質不佳
Kuning Wu,1,"因為在附近看診 所以在這領了五次藥
態度都好差 有一次還丟健保卡
剛剛真的是太過份 店員一直推銷一個人買藥
完全不理我不看我 領健保藥就該被冷漠嗎
整間藥局就三個人 超誇張超現實
氣不過 只好上來評論 但我想他們也不會改
只好自己不再去 又不是別間不能領藥"
Funny Key,5,服務很好，會幫忙趕貨，也會電話通知
葉品宏,5,女店員態度極好，專業度亦夠強，很推薦的社區型都會藥局！
Ling Lin,5,服務很專業，很有耐心
Phoenix Chen,1,
Am Chang,5,
Lu Alex,3,
