author_name,rating,text
郭珊華,5,"同樣藥品，訂價與其他藥局無差；
會員價特別優惠！服務親切熱忱！"
vu linh,1,買了兩次，可是都沒效，反而更嚴重
鄭先生,4,服務態度很好
Rob C,5,店員很酷，也是個新手爸
YU-DE Lin,1,2019/1/3拿處方籤到此藥局領藥，藥師交付藥品後，藥品外帶（制式藥帶）與分別包裝兩種藥品的兩個透明藥袋，均「無任何」標示（依中華民國藥師法第19條，藥師交付藥劑時，應於容器或包裝上記明下列各項: 一、病人姓名、性別。二、藥品名稱、劑量、數量、用法。三、作用或適應症。四、警語或副作用。五、藥局地點、名稱及調劑者姓名。六、調劑年、月、日。），病人將藥品帶回家後，只能憑記憶和猜測服藥，此狀況已對病人的用藥安全產生疑慮。
伊（伊_）,1,營業時間明明就是10點半開始，去了沒開
Teresa YEH (葉子),5,買藥好去處！
林大寶,4,雖然網路上寫營業到12點，但其實店家只營業至22:00喔! 大家不要白跑了
Love艾莉絲,5,藥師很認真的在賣藥
貝紹宇,4,"(由 Google 提供翻譯) 體面的選擇，可提供價格較低但有效的基本療法。樂於助人的員工和合理的價格。

(原始評論)
Decent selection for lower priced but effective basic remedies.  Helpful staff and reasonable prices."
蔡沛熹,4,
Liu wenhua,4,
