author_name,rating,text
愛吃鬼的D,5,"驚為天人的香蔥牛扎餅，不甜不黏牙，ㄧ片接一片，根本停不下來，中了甜滿的毒，第一名的牛扎餅。
主廚曾留學於法國藍帶學校(Le Cordon Bleu)與Ecole Gastronomique Bellouet Conseil，並於米其林餐廳HOTEL DE CRILLON實習，在台灣曾任職於圓山飯店、兄弟飯店、希爾頓飯店、君悅飯店、晶華酒店。
除了牛扎餅🫓，還有販賣其他好吃甜點。"
Emily Hsiao,5,"在公司附近的甜點店，經過很多次都只是很好奇的東張西望，今天第一次買了牛軋糖餅乾，驚為天人，天兒啊！也太好吃了！！餅乾鹹酥香脆，內餡柔軟香濃不黏牙。
老闆說少量訂購不需要預訂，勇敢的按下門鈴吧！"
Shuwei Leander Liu,5,"202102

意外路過的一間店。門口標示這裡是工作室，並非店面、也沒有內用空間。來訪請按電鈴等老闆開門。老闆應門速度很快，不會讓客人等太久。 …"
Zoe Chou,5,牛軋餅好吃，甜甜鹹鹹不黏牙
白乖乖,5,夾心內餡很厚，但是卻柔軟不黏牙，蔥餅很香，鹹甜滋味絕配
Yi chun,5,"以鹹為主 以甜味為輔
人生吃過最美味的牛軋餅
蔥餅酥脆 內餡微甜軟 又不黏牙

才吃一塊 就決定要回購了"
tammy CHENG,5,"這是第一次試甜滿的舒芙蕾草莓起士蛋糕😋👍🏻之前訂了許多老闆做的瑪德蓮，水果蛋，牛軋蘇打餅乾，也非常好吃，會繼續支持😄👍🏻👍🏻
甜滿的送禮禮盒，滿滿的一盒裡面有10種不同的糕點，滿滿的27個pieces，價格合理送禮自用兩相宜🤩 what else can you ask for more😜👍🏻"
任奭,5,師傅手藝沒話說，可惜沒做蛋糕了。
lin metori (metori),5,"小朋友生日連續2年都訂甜滿的蛋糕
去年藍莓乳酪，今年芒果乳酪
特別請老闆幫我做芒果花的造型
小朋友很喜歡
口味自然不用說，非常好吃又真材實料
其他甜點也都很好吃
非常推薦"
Rabo Hsu,5,這家是我在台北吃過最好吃的牛軋蔥油餅，很軟不黏牙，餅乾很香，會吃到停不下來。芝士泡夫是我最愛，內餡藍苺是新鮮果肉做的，不太甜膩，可以一次吃兩三個。
P S,5,牛軋餅的蔥餅很香餡軟不黏牙，長輩也能吃，很多韓國、日本客訂購，比較麻煩的是要預先訂購，電話打過幾次都沒人接，價格也稍漲變貴了
Fei Zai,5,"平日路過看不少人排隊(大部分是韓國人)
在旁查到4.9星評價後毅然決然跟上
果然牛軋餅真的超好吃
台北來說價位也能接受 $170 27還29片"
Chimp Cai,5,"住附近，經過好幾次一直沒吃過，上網看了一下才知道要事先預訂。
吃過：牛軋餅、藍莓泡芙、芒果泡芙、還有老闆送的夏威夷豆塔、香草餅乾牛軋（名字不確定😂內餡一樣是牛軋奶餡，外面是奶油餅乾）
每一種都超好吃！尤其牛軋餅真心驚艷，在吃過的牛軋餅裡面排前三，自己吃加買來送人過好幾次，有國外朋友來也都會推薦
泡芙都偏甜，尺寸也有點小，但就是很好吃很香😂夏威夷豆塔本來心中第一是台南Lady Mama,目前也換成這家的了
之後想試起司蛋糕類的"
Dana Lin,5,"朋友慨贈好吃甜點，主廚大有來頭，成功擄獲大人小孩芳心，牛軋餅的確五星級👍👍。
07/10/2019

因為熱銷，主廚現專營牛軋餅，且自1090101起，每盒漲價至170元。當作自用或一般伴手禮尚可，要做年節禮盒，即使附上水藍色紙袋，仍顯得有點勉強。
06/01/2020"
杜美貞,5,牛軋餅超級好吃，餅香餡軟又不甜，用料實在，不推薦不行。
Lu Stephanie,5,料多實在！起司香氣濃郁配上清爽水果、不甜不膩鮮奶油～滿足
chau candy,5,"髒髒熊的餅超的香奶油+濃濃巧克力味，好吃
牛軋餅超正，不黏牙，餅好香蔥味，
😍😍推推推...."
Sophie Lin,5,師傅的愛心甜點令人回味無窮！價格又實在！芝士蛋糕、牛軋餅、提拉米蘇都是我的❤️呀
Fred Lin,5,甜點好吃，老闆服務態度客氣友善積極
楊宗興,5,「經過不要錯過，路過不能買錯」，牛軋餅、金磚和蛋塔，師父五星級美食，價錢實在，年輕老闆服務網路回應快速，終於有店面了！
邱創澤,5,真材實料的美味，價格實惠，服務親切，值得推薦。   過節送禮 或是彌月蛋糕都很適合， 朋友同事都很喜歡
Yachun Yang,5,"甜滿收服了我的胃和心,巧克力太妃糖泡芙,奧地利甜點及香橙瑪德蓮是我心中的最愛啊~"
小P,5,真材實料毫不偷工，五星級的享受卻有最親切的價格，大大推薦！
ro tuu,5,超推薦牛軋餅乾！順口不黏牙～但需先預定哦～
Chenyu Chen,5,"牛軋餅好吃不黏牙
服務相當親切"
sere may,5,目前吃到最喜歡的牛軋餅就是他們家做的。
전제씨,5,台灣最棒的牛軋餅！
高文禮,5,牛軋餅超好吃，檸檬塔很夠味！
黃雅貞,5,金磚產品非常好吃～冰冰涼涼很適合夏天吃
潔如朱,5,"除了好吃還是好吃
真材實料...讚👍"
chung sonia,5,超好吃！沒吃過的人趕快來試試喔！
吳碧瑤,5,每一樣產品都很好吃，大家都說好好吃
ting,5,餅乾非常的好吃！
JessieCH Chen,2,撲空
Cindy K,5,"(由 Google 提供翻譯) 我已經旅行了一個星期。
它還在吃，但不難吃，有嚼勁，很美味。
否則你將無法生存。
我點了其中的兩個，馬上就把它們撿起來。

(原始評論)
여행 다녀온지 일주일째..
아직도 먹고 있는데 누가가 딱딱하지도 않고 쫄깃하니 맛있어요..선물했더니 다들 맛있다고 하네요..참, 미리 주문해놓고 가세요..
아님 줄서서는 못살가능성이 많아요..
저두 주문해두고 가서 바로 픽업했어요"
말괄량이 삐삐,5,"(由 Google 提供翻譯) 牛軋糖，不粘又美味
咪咪覺得餅乾感覺濕透了
這很香酥
和廚師不一樣
希望您有一個好的預訂系統。
這樣許多旅行的人可以生活。
我希望你將來會

(原始評論)
누가양 많고 끈적이지 않고 맛있어요
미미는 크래커가 눅눅한 느낌이 들었는데
여긴 바삭하고 고소해요
꼬르동 나온 쉐프라 그런지 다르네요
예약 시스템만 조금 잘 되어 있으몀 좋겠어요
여행 오신 많은 분들이 살 수 있도록요
앞으로 흥하시길"
Wells Tsai,5,"(由 Google 提供翻譯) 我吃過的最好的牛軋糖餅乾。這個地方並不是真正的商店，您只需按門鈴，然後告訴店主要購買多少。

(原始評論)
Best nougat crackers I’ve had. This place isn’t really a shop, you just ring the doorbell and tell the owner how many you want to buy."
zieee Mo,5,"(由 Google 提供翻譯) Doraum Mimi，即使沒有微波爐也比Easyssung柔軟得多

(原始評論)
도랏음 미미,이지셩보다 훨 맛남 전자렌지 안돌려도 말랑함 超好吃 牛扎加得很多超紮實!跟秘密比起來好吃不少"
뭐뭐이름이름,4,"(由 Google 提供翻譯) 我3天前預訂並訪問了卡托克。
我們在東門站下車，稍微徘徊。
在東門站附近有一個咪咪餅乾，所以我對它進行了比較。 Rapley含有豐富的蛋白質和牛軋糖。

價格為每23箱150迪（約6000韓元）
16個盒子中的咪咪餅乾約為170ntd（約6800韓元）

我問是因為我想吃餡餅，但是有人說我沒有太多的訂單......很傷心。
而且這塊蛋糕首先沒賣。
請賣蛋糕。韓國人將活得很多。

(原始評論)
3일전에 카톡으로 예약하고 방문했습니다. …"
YoonJung Moon,5,"(由 Google 提供翻譯) 感謝把韓國人帶到這個地方的英雄。
咪咪餅乾是牛軋糖的1.4倍。

由於日冕中的韓國人很少，因此我前天訂購了電話，然後給酒店打電話。
由於語言原因，酒店可以準確告訴您您所在的位置，

您可以把錢留在接待處，出租車將在深夜送達。

由於保質期僅為11天，因此我訂購了25天，但如果將其冷凍則要購買100天。
超過310克

(原始評論)
이곳을 찾아 한국인께 알린 영웅께 감사.
미미크래커 누가보다 1.4배 듬뿍 많은양.

지금 코로나로 …"
Ju,4,"(由 Google 提供翻譯) 去哪裡參觀
當我第一次吃它時：它進展順利。

當我第二次進食時：咸蔥不太好吃，也沒太多味道。開始咬人

第三次進餐時：變硬前只吃幾塊。

評論：如果只添加咸+大蔥，那就太好了
-1點表示保留問題。似乎無法一致確認預訂。
工作人員很友善。解決，儘管預訂錯誤。

(原始評論)
한번쯤 방문할곳
처음 먹었을때: 부드럽고 잘 넘어간다 존맛.

2번째 먹었을때: 짠맛 파맛이 잘 느껴지지 않아 많이 안들어감. 슬슬 물리기 시작함

3번째 …"
이기련,5,"(由 Google 提供翻譯) 我們有一群人，所以我們在附近買了一些Mimi-Creckers，這裡我們有16個Mi-Creckers，20個，更多的量和Mi-170s。不去
三年前，我想顯得微不足道keurekeo在攤位首次charyeoya過多過心理素質比我在這裡太好了，發現時

(原始評論)
우린 일행이 있어서 근처에 있는 미미크레커도 샀는데 여기가 미미크레커 갯수 16개 여기20개 양도 더 많고 가격도 미미 170 여기 150 더싸고, 누가도 …"
Jieun Kim,5,"(由 Google 提供翻譯) 我第一次生活的時候並不是很清楚，但我很驚訝地看到更多的韓國評論！事實上，當咪咪關閉時，我被迫在其他地方購買。越來越便宜！我下次去台灣的時候會買這個。
謝謝你精彩的餅乾！我最喜歡的台灣牛軋糖餅乾店。來自韓國的愛❤️🇰🇷🇹🇼

(原始評論)
엥 처음 살때에만 해도 아는분들이 잘 없었는데 한국어 리뷰가 많아져서 놀랐어요! 사실 미미가 휴점일 때 어쩔 수 없이 다른 곳에서 산건데 너무 맛있었습니다. 개수도 더 많고 …"
Angela Kwon,5,"(由 Google 提供翻譯) 自從我留在台灣以來，我已經訂購了14個盒子。
我喜歡和這個驚人的餅乾一起看netflix

(原始評論)
Since i stay in taiwan i ordered 14boxes already.
I love to watch netflix with this amazing crackers👍🏻"
Erin kim,5,"(由 Google 提供翻譯) 了解L'Atelier Lotus非常高興。
但很遺憾聽到關於質量或諸如壞話之類的投訴。

請不要認真考慮。
令廚師生氣的人不是一個好人。

感謝您製作美味的餅乾。

(原始評論)
It’s really good to know the L’Atelier Lotus.
But I’m sorry to hear a complain about the quality or something like bad words.

Please …"
우짱,5,"(由 Google 提供翻譯) 我去了一些信息，但是......我真的想知道房子TT
牛軋糖和美味..價格是好的。
老闆，我再次去台北吃這個。
下次見

(原始評論)
나도 정보얻어서 갔지만.. 정말 나만 알고싶은 집이다 ㅜ
누가양도 많고 맛있다.. 가격도 좋고 양도 많다..
사장님, 이거 먹으러 타이베이 또 갈거니 변하지마세요...
다음에 또 봐요"
Soohyun Kim,5,"(由 Google 提供翻譯) 我不能告訴你這個好消息！即使您沒有在2/23上預訂，您也將不受限制地被出售！我去了附近的文具店，很驚訝地買了下來，但我感到更後悔，但現在我必須回家。盧克滿溢，但又柔軟又美味。可能會有個體差異，但是我在這裡第一！太棒了！

(原始評論)
이 기쁜소식을 알릴데가 없어서!  2/23일 예약 안한사람도 제한안두고 판매하신데요!  근처 문구점 들렀다가 갔는데 깜놀해서 세상자 샀는데 더 살껄 후회되지만 이제 집에가야되서 ㅜ 다른 베이커리도 먹어보고픈 욕심이 드는집이네요. 누가가 넘쳐나는데 부드럽고 들러붙지도 않고 맛있어요. 개인차가 있겠지만 저는 여기 일등이에요!!!  짱맛!!!"
마스카포네,5,"(由 Google 提供翻譯) 兩天前，有人從katok訂購了一個餅乾並將其運送到酒店。 （如果您訂購超過6包，則免費送貨。）每箱售價160韓元，約23件。

(原始評論)
이틀 전에 카톡으로 누가 크래커 주문해서 호텔로 배송 받았어요. (6통 이상 주문시 무료 배달) 다른 누가크래커 안 먹어봐서 비교는 못 하지만 충분히 넘넘 맛있습니당! 박스당 160원이고 23개 정도 들어있어요."
Greys Kim,5,"(由 Google 提供翻譯) 我買了20盒！太好吃了！我送了20箱，一吃就吃了。

(原始評論)
20박스 샀어요! 너무 맛있어요! 20박스 배달해 주셨는데 받자마자 먹었는데 너무 행복했어요"
백용승,5,"(由 Google 提供翻譯) 我提前聯繫了Katok，並從101塔樓收到了此郵件，非常感謝^^我買了一個朋友，味道很好，這一次，酒店離送達還很遙遠。

(原始評論)
미리 카톡으로 연락하고 101타워에서 수령 감사히 잘받았습니다^^ 친구가 사다줘서 맛나게 먹었는데 이번에 호텔이 멀어 배달이  안된다고 했는데... 전망대 1층에서 시간약속 하고 받았습니다 ㅎ~"
Jamie H,5,"(由 Google 提供翻譯) 我很好奇，因為它很有名。
柔軟，牛軋糖很多

(原始評論)
유명하길래 궁금해서 먹어봤는데 맛있어요!!
부드럽고 누가양도 많아요 근처에계시면 꼭 구입하세요"
qa1 qaws,5,"(由 Google 提供翻譯) 味道很好ㅠㅠ我認為它比薄脆餅乾更美味！因為沒有電暈帶來的海外遊客，所以我可以不打電話而生活！

(原始評論)
존맛이요 ㅠㅠ 뫄뫄크래커보다 더 맛있는것 같아요! 코로나로 해외관광객이 없어서 그런지 전화 안하고 가도 그냥 살수 있었어요!"
박정은,5,"(由 Google 提供翻譯) 我買了更多的4盒，但它很快就消失了ㅠㅠ

(原始評論)
더사올껄그랬어요ㅠㅠ 4박스 사왔는데 금방없어지네요ㅠㅠ"
김블,5,"(由 Google 提供翻譯) 當您到達時，根本感覺不到自己在這裡，因此很難確定您是否在這裡。但是要勇敢地敲門側面的門鈴。該名男子打開門，走了出來（從來沒有打開過。我秘密地遮住了一半的身體）：“您需要多少個箱子？”用英語問。說是2個盒子，然後說“確定”。不久之後，有人遞出一個裝有兩盒餅乾的信封，我把錢交給了。交易成立。我被誤以為我在電影中的毒品交易現場。牙齒不好的牛軋糖餅乾非常柔軟和甜美，我可以吃。味道

(原始評論)
도착하면, 가게 느낌은 조금도 들지 않아서 여기가 …"
Joo Lee,5,"(由 Google 提供翻譯) 在訪問前三週按行預訂。無條件購買很多。盧克是如此柔軟，而不是那麼甜美可口！

(原始評論)
방문하기 3주 전부터 라인으로 예약했음. 무조건 많이 사세요. 누가가 엄청 말랑말랑하고 많이 안달고 맛있어요!!!!!"
박지영,5,"(由 Google 提供翻譯) 我提前預訂了酒店，但我沒有來送貨。謝謝你出去吃午飯。如果你直接面對老闆，你將無法在下面寫下相同的評論。我買了6盒，和我全家分享。我再次去台灣時會再買一次。真好吃。謝謝老大！

(原始評論)
미리 호텔로 예약했지만 배달안오셔서 직접 가서 픽업해왔어요. 점심 드시다가 나오셔서 급하게 챙겨주셔서 감사했고요. 직접 가서 사장님 얼굴보시면 밑에 같은 댓글 못쓰실텐데 안타깝네요. 6박스 사와서 온가족 너무 맛있게 나눠먹었구요. 다시 대만 가게되면 또 사올꺼예요. 너무 맛있어요. 사장님, 감사합니다!😃"
그렇습니다예,5,"(由 Google 提供翻譯) 一定要去。然後四個。一個可能。牛軋糖和餅乾的味道非常和諧。真好吃。我仍然後悔沒有買更多。然後通過各種手段使用。然後四個。

(原始評論)
꼭가십시오. 많이사십시오. 될 수 있는한. 누가와 크래커의 맛이 상당히 조화로워 자제하기 힘든 맛입니다. 정말 맛있습니다. 아직도 더 사오지 못한걸 후회중입니다. 꼭 사십시오. 많이 사십시오."
MS PARK,1,"(由 Google 提供翻譯) 如果預訂katok行兩週前沒有得到確認。如果您想購買它的人，我很抱歉，這個量......至凌晨3點之後到來。 ㅠㅠ就是幸運的生活在良好的...太糟糕了。

(原始評論)
2주 전 카톡과 라인으로 예약해도 확인 안한다. 직접 방문해서 구입하려해도 물량이 없다고 미안하다 한다... 3시 이후에 오라 한다. ㅠㅠ 운이 좋아야 살수 있는 곳이다... 아쉽다."
고양이우쭈추,5,"(由 Google 提供翻譯) 誰以為餅乾不是很好，但我一直在吃一個味道不好的人。如果喜歡，您會喜歡的。餅乾的味道很濃。好好吃但是，由於牛軋糖的量因餅乾而異，因此有些味道鮮美，有些則少。我打算從台灣購買的第一天起，就把它留在我的屋子裡，然後繼續吃飯。這對紀念品很有好處，但是如果將其堆積幾次，它的味道就會變差。

(原始評論)
누가크래커 별로 안좋아한다고 생각했는데 제가 그동안 맛없는 누가 크래커만 먹어서 그랬던 거네요. 단거좋아하시는 분은 무조건 좋아할거고 …"
Ju Jin,5,"(由 Google 提供翻譯) 真好吃！它比咸更甜，但我可能不擅長它。我媽媽不喜歡它。老闆很親切，比咪咪便宜20TWD。更多的羊。牛軋糖非常多，盧克也增加了。你不需要再吃它了。你把它放在蓋子下面，沒有空的空間！我明白為什麼你在一個有趣的台灣咖啡館出名。

(原始評論)
맛있어요!!! 짠맛보다 단맛이 더 쎄지만, 제가 단걸 잘 못먹어서 그럴꺼에요. 엄마는 별로 안달다고 좋아하셨습니다. 사장님 친절하시고, 미미보다 20TWD 쌉니다. 양 또한 더 많구요. …"
민트초코,5,"(由 Google 提供翻譯) 保留了6盒並剛剛收到。有很多牛軋糖，它很多，它很便宜而且很高。我收到它後就吃了它，所以有人非常柔軟，香水和薄脆餅乾很好地融合在一起。我吃得很好吃。

(原始評論)
6박스 예약하고 방금 수령받았습니다. 누가양이 매우 많아서 흘러넘치고, 양도 많고 저렴해요. 받자마자 먹었더니 누가도 매우 부드럽고 파향과 크래커가 잘 어우러지네요. 맛있게먹었습니다."
HYN,1,"(由 Google 提供翻譯) 我一周前用katok預約了，但突然間我無法提供它。下一個發送日期和katok讀取的數量，第二天發送檢查katok不讀。 katok簡介剛改變了。我不知道這是否會成為一項業務。在後一部分，當天有許多取消，但在另一家商店安全生活會好得多。

(原始評論)
카톡으로 일주일 전에 예약했는데 갑자기 배달이 안된다고 해서 알겠다고 하고 가지러 간다고 예약했고 그 쪽에서 알겠다고 함. 그 다음에 보낸 날짜랑 개수 카톡은 읽씹하고, 그 …"
라온제나,5,"(由 Google 提供翻譯) 我聽說謠言似乎比咪咪更好。
價格高，價格低至每箱150台幣。我是通過信使訂購的，兩天前我不得不預訂。轉到Google地圖並按門鈴。 ㅎㅎ
如果您購買超過6件，我們也會將其送至您的酒店。
誰這麼柔軟？餅乾很甜，但它們不太甜。我父母說它好吃^^我推薦它。

(原始評論)
요즘 핫하다는 미미보다 나은것 같다는 소문을 듣고 주문/수령했어요.
갯수도 많고 1박스당 150타이완 달러로 가격도 저렴. 메신저로 주문했고 미리 예약해야한다고 …"
ESTP토끼,5,"(由 Google 提供翻譯) 味道！我沒有在周三預約，去了11點左右。
反正我時間吃不飽。
還有很多2 ~~我必須在2週內吃掉它，但是隨著時間的流逝，有人會變得更難吃，蛋糕變得濕透了，以至於我沒有嚐到它的味道。

(原始評論)
존맛! 수요일에 예약 안 하고 11시쯤 갔구요, 2통까지 구매 가능해서 2통만 샀어요!
어차피 기간이 짧아서 많이 사도 다 못 먹고..
2통도 양 많아요~~ 2주 안에 다 먹어야 하는데 시간 지날수록 누가도 딱딱해지고 과자도 눅눅해져서 처음 먹었던 맛은 안 나더라구요 ㅋㅋㅋ 예약하고 많이 샀으면 후회했을듯?"
강재필,5,"(由 Google 提供翻譯) 嗯...看到很多作品後我一直很懷疑，而且我一直在努力使用28英寸的托架。
24盒，在5天之內還剩3盒。
它會上癮。下次我想我將用完所有空載體。

(原始評論)
흠...많은 글들을 보고 반신반의하며 28인치 캐리어에 쟁여왔다..
24박스를..  5일만에 3박스 남았다... 젠장 더 가져왔어야 했는데..
중독성이 있다. 다음에는 빈캐리어 한개들고갈생각이다.."
amelia per,5,"(由 Google 提供翻譯) 很難買ㅜㅜ
我想買100盒，

(原始評論)
구매하기가 어렵다 ㅜㅜ
100박스 사고싶은데,,,"
변덕쟁Lee,5,"(由 Google 提供翻譯) 瘋狗真好吃。我知道您為什麼買10箱。我為在韓國流淚感到遺憾。免費送貨到酒店，請購買我的。

(原始評論)
미쳤다 개맛있다. 이거 왜 10박스씩 사가는 줄 알겠다. 한국와서 눈물나게 후회했다. 호텔까지 무료배달된다.제발 내꺼도 사줘요"
또개미,5,"(由 Google 提供翻譯) 真的很好吃，我沒買，我在這裡買了所有東西，但父母說很好吃，我也墜入愛河。除了禮物，我忍不住頭疼。

(原始評論)
정말 맛있어요 진짜ㅜ 이번에 미미 안사고 여기꺼로만 전부 샀는데 부모님들도 맛있다하시고, 저도 반했습니다..눈감고 떠보면 4개는 그냥 먹었네요. 선물용 빼고 두통밖에 못산게 아쉬워요ㅜ그리고 통 안에 꽉꽉 차있어서 캐리어에 넣어도 부서질 걱정 안했습니당ㅎㅎ"
뭐래,5,"(由 Google 提供翻譯) 天氣很熱，所以我故意去打車，但不幸的是，預訂日期早於出發日期。真好吃，但真的很好。我在這裡到那裡買了一個小麵包店，並在旅途中聞名遐famous。有人有很多綿羊，但是太軟了。它充滿了東西和蓬鬆。我買了三天后，它既不硬也不軟。不幸的是，我不能再預訂katok了，但是我得親自參觀並預訂。如果您有日程安排，建議您在出發前進行預訂。

(原始評論)
핫하다고 해서 일부러 택시타고 찾아갔는데 아쉽게도 최대한 빠른 예약일도 출국일 이후라 한박스만 …"
Gain Gwak,5,"(由 Google 提供翻譯) 我很傷心，因為當它變得越來越受歡迎時很難得到它。我從Mimi Cracker Market的街道買了它，每次我在台北旅行7次，我買了7盒Mimi Crackers。我沉迷於這個ㅋㅋ咪咪我已經失去了我的首字母我不應該吃但仍然是咪咪是我吃過的最好的我現在能夠放手離開ㅋㅋ我無法預訂（？）當我去買一個盒子時，我錯過了它。牛軋糖很濃，所以我很開心咀嚼。它很柔軟，只需進去。保持雙手。要富有......

(原始評論)
일단.. 무조건 사러 …"
juhee kim,5,"(由 Google 提供翻譯) 好好吃我買了它，馬上就吃了。
咪咪的蔥味比這少。餅乾中誰比米米更飽滿。價格為1.7億美元，與咪咪相同。但是數量要高得多。案子已滿。如果您不預訂，則每人只能購買一個盒子。當我去那裡的時候，我想預約，但是我可以在五天內得到它。ㅠ我每天去買一個盒子。
好好吃我在路上不停地吃東西...我不認為Mimi想再吃一點，但是我想繼續在這裡吃飯。
如果您不進商店，按門旁的鈴鐺，她就會出來把您的餅乾拿出來。

(原始評論)
맛있어요. 사서 바로 뜯어먹었는데 확 …"
박유경,5,"(由 Google 提供翻譯) 牛軋糖的謠言就在這裡。
除了餅乾之外，他還銷售各種各樣的糖果產品，他的大師畢業於藍帶國際學院。
這家商店非常小，只有一個麵包區，這不像是像普通麵包店那樣採摘麵包
第一扇門很尷尬，因為門被鎖上了。老闆打開門，詢問是誰來買餅乾。誰比餅乾更柔軟？

(原始評論)
여기 누가크래커가 맛있다는 소문을 듣고 찾아감
크래커 말고도 다양한 제과류를 판매하고 있고, 주인분께서 르꼬르동블루를 졸업했다고 함
가게는 매우 작고 빵 작업 공간만 …"
