author_name,rating,text
SIGER (SIGER's Space),4,"松江南京的據點收掉以後，2018年3月搬到復興南路，
靠近科技大樓站。

店面不大，還有展售金門高粱酒。"
張維碩,5,去換發護照，服務專員親切又溫柔，處理起來也很有效率👍
曲家亨,5,詢問台胞證，人員專業，環境乾淨。
吳宥錡,5,"人生第一次評論獻給她😂
門市淇方服務很好，能根據我提出的需求給予適合的方案！
推薦！"
dong liang lai,4,專人服務親切，但櫃枱人員態度待改善。
孫瑞陽,5,門市人員余小姐服務很好、因為家中有小朋友參加旅遊，都會很主動告知需要注意的事項，讓大人帶小孩旅遊不再是麻煩的事情、真的細心又專業！
陳小魚,5,店員服務都很親切，介紹過程也不會感到任何壓力，說出需求後，也會積極推薦我心目中想要的行程，真的很棒👍非常謝謝余小姐的介紹。
陳許明,5,上禮拜去詢價，業務余小姐服務真的超好，人正態度有超親切，也非常專業的解說，我以後都要找她服務了
Joanne C,5,業務鄭業誠先生服務很好，只要有行程問題問他，都會非常熱心幫我解決，行程交給他我很放心，也會推薦給其他想出國的朋友👍🏻
周于菁,5,👍👍👍嫚婷小姐的解說真的很棒！細心又熱氣~出外旅遊交給她真的是不錯的選擇！
Hsin Ju,5,推薦大家找嫚婷問行程唷～預算有限，她很細心的幫我篩選行程，對行程有疑問也很耐心說明，謝謝她推薦的行程 家人們也玩得很開心，下次還會選東南⭐️⭐️⭐️⭐️⭐️
Chia Fu Chang,5,協助查詢以及購買機票的服務相當好，尤其是負責我們機票的業務嫚婷，非常熱情周到，甚至提供許多旅遊行程的推薦與建議。
黃瀞儀,5,鄭小姐人漂亮又親切，問很多問題都很耐心的回答，很專業，推薦大家可以找她👍👍
newman liou,5,感謝復興門市嫚婷小姐協助安排公主遊輪之旅，不但行前親切解說注意事項，並特別悉心安排我們家人的陽台房3間全部相鄰，打開陽台隔門，就變成一大間。如有網友需要旅遊資訊，相信找嫚婷小姐安排，會有愉快的旅程。
Dian Lee,5,經李小姐專業的介紹與熱心的幫助，讓我對該公司的旅行行程非常喜愛，以後一定會再參與貴公司的行程活動！
Sean Chen,5,先前來代辦簽證，劉小姐服務親切且有效率，並且會主動提醒領件。推薦！
PEI HUA,5,鄭小姐人美又親切！服務超好👍 推薦大家可以多多找她～
是商量,5,感謝嫚婷的服務，專業有耐心。是一次很好的體驗。很推薦可以找她協助你們的旅遊事宜。
鄭秉義,5,業務業誠先生.服務誠懇熱心.態度親切禮貌.又明了旅遊景點之特色.介紹行程詳實細心。不可多得啊！
鄭彥武,5,"東南旅遊 復興門市
業務鄭業誠先生服務熱心，也很專業細心，給我們旅遊帶來快樂的回憶，非常推薦東南復興門市，下次計畫旅遊會再找找東南報名。"
吳芸庭,5,經李小姐專業的介紹與熱心的幫助，讓我對該公司的旅行行程非常喜愛，以後一定會再參與貴公司的行程活動！
李家華,5,來東南旅行社辦家庭旅遊，櫃檯服務人員超親切，相信會是個愉快的旅行。
Howard Chen,4,服務專業
劉蕙瑜,5,非常感謝李小姐的細心，熱情和專業的態度，一直與我聯繫旅遊的事宜，非常感謝。
WEI LIN Fu,5,"門市人員很親切~有問題都會耐心回答~
店面也很明亮乾淨!!"
陳安信,5,"今天來東南旅行社,櫃台小姐專業和親切的服務,讓我順利的訂成年底旅遊行程,很開心!"
袁莉榛,5,門市人員鄭業誠先生，服務很貼心又很仔細，下次旅遊還會找他幫忙
林承學,5,李小姐態度親和，笑容燦爛甜美，經常站在客人立場思考，值得推薦！
Nancy Yang,5,復興門市嫚婷小姐服務親切，解說詳細，在我預定行程時給我很多幫助!!
陳蓉兒,5,服務很親切，劉小姐介紹的行程，我都好喜歡💕
tess chao,5,服務用心很多行程價錢合理
嫚婷,5,"這是復興門市的QR CODE,有旅遊問題想諮詢可以加入哦"
趙頊,5,業務鄭業誠先生解說詳細，服務貼心。
MrTania8888,5,門市鄭小姐很細心，資訊提供和介紹都很詳細，也很為顧客找想！：）
劉貞吟,5,李小姐服務親切又貼心~非常推薦喔！
angel5769579,5,小姐很親切，解釋很詳細，幫助非常大
Nini Lin,5,店員服務好，真心推薦！
Ariel C.,5,解說詳細，服務貼心。
Ting Huang,4,動作迅速
江小嫻,5,服務很親切~~
Kevin Cheng,5,店員親切禮貌
ilivetaipei,3,"(由 Google 提供翻譯) 交通方便

(原始評論)
交通方便"
紫清雷,5,
尤喬立,5,
CC Ding,4,
lee jennifer,5,
張勝政,3,
Mark Chiang,5,
弘哲林,5,
Tina Lu,5,
芳林,4,
張秀麗,5,
Warren Lo,5,
李俊諺,5,
陳志銘,5,
CHIA LI PENG,5,
Solar ants,5,
Vivian Chen,5,
郭怡君,4,
Jack Liu,5,
林勝峰,5,
hsien-sheng Chen,4,
李振銘,5,
