author_name,rating,text
許庭睿,5,"最一開始是收到朋友的喜餅才發現這個牌子，因為印象還不錯，所以在挑選喜餅時，腦海中也有浮現這個牌子的喜餅。

自從實際去開始找喜餅，也試吃了好幾間之後，在婚紗展的現場看到了卡柏蒂，試吃了磅蛋糕、手工餅乾，完全讓我們驚艷！（都已經試吃了一整天，喜餅吃膩到不行的我們，在這種狀態下仍讓我們感覺到非常的好吃！！！）

服務更是沒話說，在這疫情嚴重的情況，非常貼心的客製化服務並適時的給予建議，對於是新人的我們，有非常大的幫助並給予我們安心的感覺。"
Renee Lin,5,"以前就知道CUPETIE卡柏蒂這品牌，但它「法式精品喜餅」的形象就讓我們覺得應該會超過預算而不列入考慮
甚至於去婚紗工作室時看到有合作的優惠方案，我們也直接跟業務說應該不會考慮
想說已經預約But we love butter、Ooh La Love、Chochoco這三間，也有宅配試吃過順道 跟 波波諾諾，從這五家來挑應該夠了
沒想到剛好看到CUPETIT有免費試吃活動，行程上也還卡得進去，就約了大安旗艦店試吃 …"
Elaine Lin,5,從跟老公開始有結婚共識以後，就開始搜尋一些結婚須籌備的事情，喜餅當然是其中一項，在眾多品牌中，第一眼就愛上卡柏蒂的外盒跟提袋(外貿協會XDD)，當下已經把卡柏蒂列為喜餅第一首選。 …
Yen-Ning Lien,5,"幾年前好朋友結婚就是用卡柏蒂的喜餅，當時只覺得光是包裝就比老字號鐵盒喜餅時尚很多！

在婚禮籌備的過程中陸續開始吃了幾間餅乾，原先為了獨特性還找了私人手作甜點店討論訂製，但始終沒有命定感（而且訂製下來開銷很大也擔心品質不一）。某天週末在露營的的時候剛好卡柏蒂打電話來，提醒我在臉書留的資訊能免費體驗試吃，於是就跟老公抱著順便吃下午茶的心情約好下山的時間。 …"
江宜瑾,5,關於喜餅，四大要素：1）手工喜餅，2）包裝美，3）好吃，4）價格。認真爬文後，自己列了6家喜餅放入口袋名單內。卡柏蒂也有入列，但並非第一順位。 …
Irene Hsieh,5,我參加2021 / 05 / 02  好婚市集舉辦的「華山光影婚紗節」，因為本身就非常喜歡Cupetit 卡柏蒂喜餅的金色袋子包裝，覺得非常時尚！所以已將卡柏蒂喜餅列為心中的名單，而因為也看到「But .we love butter」這家喜餅也有金色包裝，所以特地在婚紗節一併比較這兩家的實體包裝樣式，發現「But .we love butter」的袋子是偏暗金色，沒有卡柏蒂的亮金色好看、時尚，所以就馬上去卡柏蒂的展櫃諮詢！ …
N L,5,"訂喜餅時，就決定到婚展看看
優點：
各品牌都會參加，不需要在跑好幾個門市，試吃也不會另外收費，最重要的是價格！特別為婚展開出特優的活動
缺點：
現場舒適度不比門市，幾乎每家喜餅都要排隊耐心等待，如果沒有事先預約試吃，就只能看現場有剩什麼口味，品牌內熱賣的款式不一定有機會嚐到

參觀了2場婚展，最終決定「卡柏蒂」，以下是評比的重點
服務＊＊＊＊＊
服務人員真的很棒，試算了2-3種方案，替我們排出最優惠的價格，從一開始諮詢到最後下訂，服務態度親切有禮又貼心

價格＊＊＊＊ …"
鄒佳蓉,5,"會認識卡柏蒂，首先是因為訂的喜宴場地有和他們合作，在展示區擺放卡柏蒂的樣品包裝。那金色的包裝袋，讓我不禁對它產生好奇，看過那麼多喜餅包裝，第一次看到這種的，令人感覺不同凡響。裡面的禮盒外觀也不出我所料，非常好看！是那種會讓我忍不住想要趕快拆看看內容物的那種外觀～

當天，我就和業務人員說我想試吃這家喜餅，業務人員說這家全台只有2間門市，試吃喜餅都必須先事先預約，剛好我有得知5/1及5/2台北有舉辦婚紗展，卡柏蒂也是其中的展場店家，就想說直接去展場試喜餅了～ …"
Vivian Tseng,5,"卡柏蒂法式手工喜餅，是我在去年就看過的其中一家，這家吸引我的是包裝及提袋，完全是我心裡一直想要的精美時尚華麗感。

今年！我跟男友決定要牽手走一輩子，於是我們馬上預約卡柏蒂，接待我們的是位甜美的Rita，我們和爸媽都很喜歡Rita的服務和親切，在交談過程中，Rita很細心很清楚的了解我們喜歡的、在意的點，且服務得很到位，好的沒話說。 …"
吳嘉馨,5,"雖然因為疫情的關係不能親自到現場試吃, 但線上解說一樣很豐富詳盡, 親切及專業的Verna, 讓我跟先生大大的加深了對這個品牌的印象! 進而選擇卡柏蒂成為我們的送禮喜餅, 推薦給其他新人:)"
Po-Chun Yu (Brook),5,"卡柏蒂喜餅其實是我老婆在找資料就已經物色很久的口袋名單之一，正好一個月之前我們到台北大直典華的新娘物語展遇上她們的攤位，我老婆就趁機會去深入瞭解一下。

當天接待我們的業務叫宣宣，人很親切，也很熱情跟我們解說所有細節，這樣的服務真的覺得很不錯👍

以下是我老婆挑選喜餅的推薦：

挑選喜餅真的是一門學問，我在喜餅上有我的堅持✊🏻為了親友們可以吃到好吃的喜餅，展現新人的用心，從我確認結婚場地時，下一秒我就開始整理我的喜餅清單了！

「CUPETIT」 …"
wen chieh,5,"CUPETIT喜餅，是之前就知道的一個品牌，一開始就被可以自行挑選口味給吸引～
因為希望喜餅是賓客們打開每一個餅乾都愛的🥰
所以就前往試吃啦～當天非常謝謝Ellie的介紹及招待，讓我們試吃了超級多種口味（超過原先試吃的十種口味😍），其實是我們都選自己愛吃的口味，Ellie怕口味過於集中了🤣，不過他也給予我們建議以及讓我們更好知道要怎麼搭配將挑選，而且我覺得CUPETIT另一個吸引我的除了它美麗的包裝，長輩們喜愛的金色給予高貴的提袋外，就是禮盒可以選擇兩款樣式。 …"
李雅雯,5,身為2021年的九月新娘，從去年就開始籌備，雖然時間看起來非常充裕，但天蠍座的我真的很怕什麼不週全什麼沒做好，外加家中又是從事辦桌行業，看過好多場的婚宴，一輩子一次的婚禮，想必大家都希望能夠一切順利完美，從一開始確定要結婚，就開始看了許多周邊事情，從婚紗照、主持人、新娘秘書、喜帖，到婚禮前幾個月的喜餅試吃，喜餅大概是大家從小到大都不可能沒有吃過食物，好吃不好吃真的很重要，我曾經參加親朋好友的婚禮後回家後打開喜餅只選了幾個看起來比較好吃的其他直接拿到工作環境給大家吃，甚至看到相 …
Sunay Sung,5,這次和未婚夫特別在連假安排了喜餅試吃之旅，去了山木島、ＲＴ、chochoco、ooh la …
Ke Jen Hsueh,5,"設定了幾個目標，推薦一下選定的喜餅
❤視覺:符合我的婚宴主體_金與紅的元素，要美!!
(自己是做設計的，看到包裝還忍不住一直看紙質/結構/顏色/後加工處裡)
❤口感:要不甜膩/不負擔/該酥的要酥/該濕潤的濕潤，
並且吃完後喉嚨不會乾乾的，份量可以少但要好吃
❤價格:價格需在預算內

口味上甜的真的不會過甜，記得巧克力吃起來是偏苦甜的，
而鹹的口味真的很令人驚豔，另外無敵推的是卡柏蒂的磅蛋糕，
本來對喜餅的磅蛋糕很不以為意，大概是常常吃到外面的磅蛋糕， …"
