author_name,rating,text
蒸薯米,5,雖然小學3456年級被上世紀尾時給早年“老”師們霸凌過，但現存在最早年前的回憶是我的母校，之後邁向百年歷史的學校，願您我大家都平安美善順利生活日子裏。確實有想重讀小學，數學都沒學好，因為當時學習壓力有，自己的腦袋裡理解不會，解題不會轉變所放棄課程香
John Liang,5,校園寬廣，另有附設游泳池，內有大安附幼&新安非營利幼兒園。
Jenny Hung,5,清幽安靜的學習環境，很棒。
Fangyu Catherine,5,校舍翻新了很多，有時候會來走走/投票。
YiHung Lee,5,感謝 2019.08.18 晚間的警衛先生協助我在羽球場身體不舒服的朋友，協助幫忙開啟羽球場的電梯方便朋友移動，以及開啟機車停車場的通道門，也提供我們在校門等候計程車時的臨時座椅。謝謝。
Sheenyi Wang,1,"情緒化管教學童的教師人數偏高。在目前的體制下，孩子如果在這些莫名其妙的情緒化老師指導之下學習，向學校反應也沒有用，現任校長對老師教學、管教方式完全沒有影響力。
向台北市政府教育局直接反應，學校才會稍微重視教師不當管教孩童的問題，但通常不當管教的老師不會受到任何影響，她/他還是會繼續教你的孩子，除非讓孩子轉學。

Several teachers are emotionally unstable.
One teacher dumped all the items to the …"
艾文兄弟,5,小朋友很有禮貌
Tony Hung,3,羽毛球場屬於綜合球場，木地板標線複雜，偶爾會有比較滑的問題。
Henry Huang,4,還不錯~
葉明華,3,在這裡久了變得無聊了
阿瑩,5,靠近基隆高架道路，和平高中後方的大安國小
美元美元一夜之間全數耗盡,5,回憶
黃偉杰,5,來投票 環境優美
Wang Jh,5,校園寬廣....師資優秀
高忠誠,5,因為我的女兒在這裡上課
Hank Maguire,3,感覺稍微有點舊...
洪怡雪,5,大安國小真棒!
湯皓宇,5,畢業校友
JC Chang,5,因為我喜歡那裡
喵瓏,4,不斷翻新愈來愈優質了
Bao,5,校園寬廣師資優秀
楊詠捷,5,不錯
Sam Su,4,國小
cheng nill (千層糕日常),4,不錯
洛祇（Rochi）,3,師資……
李曉姣,5,大安國小很好玩的。
啟民翁,3,"(由 Google 提供翻譯) 校史：1908大龍峒公學校大安分校，1912大安公學校，1922臺北市大安公學校，1941富田國民學校，1968大安國民小學。
校園特色：
1.穿堂正面有國父塑像及其書寫的禮運大同篇全文，校舍另有校訓及榮譽榜的裝飾。
2.校舍前的新穎遊樂設施，搭配週邊的美麗彩繪裝飾。

(原始評論)
校史：1908大龍峒公學校大安分校，1912大安公學校，1922臺北市大安公學校，1941富田國民學校，1968大安國民小學。
校園特色：
1.穿堂正面有國父塑像及其書寫的禮運大同篇全文，校舍另有校訓及榮譽榜的裝飾。
2.校舍前的新穎游樂設施，搭配周邊的美麗彩繪裝飾。"
雷聖,5,"(由 Google 提供翻譯) 好的

(原始評論)
Good"
Herry Lee,5,"(由 Google 提供翻譯) 我在這上學

(原始評論)
我在这上学"
nieh matt,5,
lu世蓮,5,
Chenfei Tseng,5,
陳怡如,5,
LISA WU,5,
曾澄,5,
陳canon,4,
吳美雲,5,
A-Chu Chang,5,
Miki Maggie,3,
吳佳昌,1,
張?云,5,
黃柏文,5,
永康VIP小六考私中國中補習班國小補習班私中補習班美國學校雙語班原文數學補習班23927654,5,
林Ryan,5,
Robin Wang,4,
hulan,4,
Lichun Yang,5,
快樂無極,5,
Chen Eric,4,
謎生謎之音,5,
葉泳和,4,
Fennisa Chien,1,
Olive Tseng,5,
我胖好,2,
伊婷,5,
岳琪琪,1,
Yu-Heng Tai (lovesea),5,
Fish Lion,5,
葉容邑,5,
