author_name,rating,text
JoHan Lo,5,"這是我目前吃過最好吃的 蛋糕🍪餅乾司康店 👍 只有驚艷等級可以形容  細膩 用料一品嚐就知道用很好的 真的很不簡單
打趴市面上的甜品店了啦 大推👍👍"
陳亭均,5,"焦糖胡桃肉桂捲✨$170/1入
不得不說這胡桃實在烤的太好吃了！當天其實現場肉桂捲已經預訂完，是店員看到我在櫃前只能拍拍肉桂捲特別幫忙再多數了幾次，終於有多的可以給我💕
點了最喜歡的胡桃口味，由於平時不太嗜甜，但焦糖胡桃一直是CHOC-A-LOT我最想try的品項；對不嗜甜的我來說確實是太甜了（但廢話人家就叫焦糖了）但胡桃真的是我吃過最最最烤的最香的；本體吃起來層層疊疊都有沾到焦糖（超級適合螞蟻人）。

兩種司康一鹹一甜 $295/2入
個人喜歡黑橄欖迷迭香，少數吃到鹹司康，真的不錯，個頭也不小，但老實說價格偏高。

終於朝聖到CHOC-A-LOT，覺得很感動，很喜歡店員的幫忙與熱情服務，五顆星推薦給大家試試👑"
林家維,5,疫情期間叫了外帶試試看，超好吃的，很美式的口感，第一次吃到這種感覺，真的很棒，感覺可以連吃好幾天！讚讚😍
陳芝璦,5,"說這是我吃過最好吃的肉桂捲一點都不誇張，個人本身不是一個很愛肉桂味的人，但chacalot的肉桂捲直接讓我成癮！
不只他們的肉桂捲，鹹司康也超好吃，完全肆無忌憚的吃，唯一的缺點就是讓我吃胖1.5公斤🤣🤣🤣因為太好吃😋
.
店家很用心經營，前台店員很親切，他推薦的甜點都可以買，絕對不踩雷～布朗尼、曲奇餅乾都超好吃，很美式！
.
買回家在小陽台享受甜點時光，真的很推薦這家店給大家！！！"
David Lai,5,買了檸檬磅蛋糕+肉桂捲，帶到山上野餐還是一樣好吃😋不可思議！
王志仁,5,"我老婆是甜點控，說這家的甜點很好吃，想說有那麼誇張？
買回來吃了之後，真的很好吃，而且東西很紮實，價格偏高但很值得，全家人分著吃很剛好～

連媽媽不愛吃甜食都覺得，真的好吃ㄟ～"
Daisy Tseng,5,"已經follow CHOC-A-LOT很久了！終於開了實體店面！
實體店是一間裝潢很特別，有工業風的小店
產品整齊的陳列在展示櫃裡，一目瞭然

磅蛋糕吃起來除了紮實以外有Q彈的口感令人驚艷～
肉桂捲更不用說，料給的實在，會嚇到的那種，麵包體濕潤好吃～

從店面裝潢設計到產品陳列到包裝到產品本身，整體感覺的出來都是用心在每個環節，不是只有產品本身或是店面本身，很喜歡❤️"
huang tina,5,"焦糖胡桃肉桂卷一等一的好吃😋
歐美風味～其他餅乾、司康、麵包，吃了都會有種出國了的感覺。
不敢相信台灣有這麼道地的歐美味🎉👍🏽🧡"
曾婕茹,5,"終於朝聖已經觀望很久的甜點店🥺
一得知開了實體店 馬上去🥳
真的是大豐收大滿足💕💕💕
超好吃 現場人超多 還好我有買到🥲
愛肉桂捲的人真的不能錯過🥰"
陳彥婷,5,外帶包裝超美！很有質感捨不得開～ 曲奇餅乾跟司康都超好吃😋 打算把所有的甜點都試一遍☺️☺️
Chen小敏,5,"超可愛的美式甜點店 簡單時尚 忍不住進去
買了鹹司康 超級好吃！！
海鹽布朗尼也超濃郁
有機會一定還要再來💕"
Cathy Cathy,5,"第一次吃到那麼好吃的司康！！！
已經二訪了還是覺得很讚🥰🥰🥰
問題很多也都很有耐心解答
讚啦！！"
Yen tseng,5,推海鹽巧克力布里歐，那苦甜苦甜的巧克力配上海鹽中和了少許的膩感，再加上鬆軟帶點脆的麵皮，增加了整體的層次，讓人食指大動不禁一口接一口吃下肚，等注意到時已經吃到一絲不剩了，店員每個都親切又熱情，讓人嘴吃甜點，眼睛跟心情也都吃了甜點🥰
謝宜庭,5,"司康超讚 尤其是我這個鹹食派的
整個擄獲我的胃🤤🤤
店員每個都態度超好 也瞭解說裡面的每樣產品都是嚴格把關才能上架賣出來的
值得一直訪下去☺️超推！！！"
J Y,5,六張犁新的甜點店 司康跟布朗尼真的好吃到不行 本地人大推 可以嚐試看看!!!
Robert Chou,5,點了巧克力蛋糕跟花生巧克力軟餅乾，很好吃。價錢小貴但是值得
YU WUN LIN,5,"海鹽榛果軟曲奇 推推
店員服務親切 值得一訪再訪"
小瞇,5,除了是肉桂專家，也是巧克力專家，魔鬼巧克力蛋糕好好吃
邱宜婷,5,"(由 Google 提供翻譯) 非常好吃

(原始評論)
非常好吃"
陳慢珉,5,"(由 Google 提供翻譯) 好吃😋

(原始評論)
好吃😋"
陳小菁,5,
Poorchef Whitney,5,
