author_name,rating,text
Yu-Wen Sun,5,教練十分專業，且將健身房秩序維持得很好，很少有學員跳器材或佔用伸展機的狀況，喜歡沒有壓力運動的人，很推薦大安店的環境。
meilun lee,5,教練有親和力喔！器材使用解説時也很清楚明白！給一個讃👍！
劉amanda,5,Curves 大安店服務親切又有耐心，同學們也都很好，感謝有Apple 一元及KC教錬們讓我有信心有美好健康休閒生活，有妳們真好！
吳勤淑,5,近大安捷運站交通方便環境明亮潔淨，Apple、一元、KC教練專業又親切，大推想健身的人（＾∇＾）
洪淑玲,5,這裡的運動環境很好，教練親切又有耐心，我很喜歡來這裡運動。
lu judy,5,教練很用心，同學也能互相激勵保持規律運動!
Yi Chun Hsieh,5,離家近，乾淨，限女性，健身中心有自己一套的健身模式，會讓人有動力去運動，自然而然就會養成一種運動習慣，這是我剛剛加入會員的心得，當然“持之以恆”仍然是最重要的
于倢傅,5,運動方便的好地方～～有親切的教練在旁指導👍🏻👍🏻
Sudia Huang,5,每天必做的事就是來curve甩肉增肌
cher lin,5,"教練親切
運動環境好
可以放鬆運動的好地點

歡迎大家一起來運動！"
Laura Sun,5,大安店的教練專業、美麗又可親，讚！
Lin Jinlan,2,"雖然地點方便，裡頭很乾淨明亮，器材也新。廁所有兩間。 若忘記帶水壺，可以在此買小瓶礦泉水，沒有提供杯子借用。
但是跟其他可爾姿分店相比，感覺教練比較冷淡，一板一眼，不會主動認識跨店店員，座位少，能坐下的會員以量身晤談或新朋友為主，運動圈中也沒有一直保持有教練指導(該店會員說可能是因為量身週，教練們在忙)。年輕教練態度還算客氣有禮，但也有對量身的會員說話口氣很硬的教練。"
林素鳳,5,專業教練，設備定期保養，安心運動！
張秀琴,4,運動環境佳，喜歡來運動。
吳淑平,5,"可爾姿大安店的教練都是美女喔,大家要來運動喔"
黃如,5,教練既專業又親切，讚讚讚！
Elaine Chang,5,教練專業，可親，環境清潔，氣氛佳
尹晃晃,5,教練用心 器材優質 環境明亮
劉力文,5,教練好活潑又生動
Janet C.Y. Lee,5,肌力變強！
Sylvia Tasi,5,環境好，教練優
Joyce Kuo,5,教練好可愛。
Tsai Joanne,4,教練比較不熱情(⊙_⊙) 沒有提供出借備用室內鞋的服務（因為我去過的都有）忘記帶鞋的要注意喔
陳枻靜,5,我每天都來可爾姿運動。
韓佩軒,5,適合運動的地方
周小姐,5,我在大安店運動很好很愉快
Carol Hsieh,5,教練團超nice
Yan Xuan Chen,5,很乾凈很明亮的運動環境，教練都很專業，運動很愉快！
Yu-Chun Su,4,專屬女性健身房，教練很親切
Tzu-Yu Shen,5,讚
李淑女,5,教練親切
QQ Y,5,
Hsiao-Sheng Liu,3,
Han Angel,4,
Amy Cheng,5,
費雅琴,5,
廖秀娟,4,
marco Ku,5,
雅如蔡,1,
影印機出租儀美科技,5,
yaya Chang,5,
謝明妤,1,
carolyn wang,5,
佩姍鄭,5,
陳芃彣,5,
ki ki,3,
開口笑,5,
Phoebe Hsiao,3,
Wu Janet,4,
