author_name,rating,text
豆豆醬,1,之前機車不見，結果只是要填表而已，根本沒有要幫我找機車，想要拜託他們幫我找，結果看起來很不耐煩的樣子，不知道開來做什麼的
E G,1,遺失物品且有拍到拿走的人，報案的時候員警就想讓我們打消報案的念頭，說萬一人有拿到派出所的話我們也會有責任，但不報案的話員警也不會去尋找，後來隔了一天去報案，但至今也沒有下落，對於我報的侵占案，有監控錄到確定是某人拿走，連有確定嫌疑人的案件至今一個多月都無法破獲，實在不知貴所還能為民眾提供何種破案的能力和信心，也不知是否是案件太小而無法得到貴所的重視，總之這次案件警察教會我的就是在路上撿別人的錢包也不會被抓獲，只能遺失者自己認命。
刁宏亮,1,半夜10點多，生活已不易，防疫期間沒別的事情做了??積極開單好棒棒!!!!!!!!!!!!!
林羿杉,5,上次悠遊卡被盜刷，人生中第一次去警察局超級緊張，但是他們都很熱心，也很溫柔的幫我解決，花了好多時間幫我！真的辛苦了！
張宇昇,1,自己沒有把停車格的白線銷毀乾淨， 結果說旁邊是紅線開單拖吊，能不能先請你們看清楚，順便把不對的線都銷毀乾淨，才不會有誤會，安和路二段60號 兆豐銀行前，請你們可以把水溝蓋旁邊的線用好好嗎，用心點。
Kenneth Wang,1,"碰到網路詐欺去報案，做筆錄員警一路狂酸
遇到詐欺心情已經夠差了，還要聽你們檢討被害者，也沒要求你們態度要多好，就有點同理心不行嗎"
mouse grass,1,台北市地狹人稠，土地之貴，就算臨停在沒影響到他人行走及沒有商家正在營業的陰暗角落也是能被開罰，奉勸各位沒錢沒時間買車位就搭計程車吧，反正罰一次錢可以搭兩三次計程車，何樂而不為。
Cris Pang,1,"原來紅線停車20秒員警可以直接開民眾的車門
難道沒有涉嫌強制罪嗎"
高文哥,1,奉勸民眾要報案不要來這邊，感覺這裡的警察都很忙！
戴菡波 貓貓師姐,5,109(2020).8.28凌晨發現遺失之物遺失 下午遺失物辦理掛失 晚上搭乘座車前來此處與台灣警局報案申請遺失單
Sabrina,1,員警素質極差。服務態度差勁。
社會觀察家,1,主神每天都在做愛做的事⋯⋯⋯⋯呱呱
張哲維,5,"瑞安街派出所的每一位員警人都超好 很耐心講解
不懂的來問都可以得到解答 但務必保持良好態度別一昧苛責警察 我相信瑞安街派出所都很樂意幫忙"
衛生兵,1,之前被跟蹤去報案結果幫筆錄的警員白眼，就是需要幫助才去報案還要被檢討受害者，從此不信任警察了
ZCHENG,1,"八月的時候耳機掉了，自己是有到處尋找，但一直找不到
後來太忙，直到現在才想到說可以問問看警局
想請問東西遺失有沒有被送到警察局
結果警員態度超差 跟我回:我是要怎麼找
跟他說可以看看記錄簿 就一言不語翻冊子
隔一陣子後很兇的語氣說 我從八月翻到現在都沒找到
我也是難過的說 好吧...謝謝你
結果直接一個被掛電話
今天又不是要特地去鬧，就真的很重要的東西
但沒辦法 忙到現在去問 也沒有要整警察的意思
有必要態度差成這樣嗎？"
張芯寧,1,"和其他分隊踢皮球
覺得現在人民保母素質需要加強一點"
Zoey Chang,5,真的有困難都迅速到場的為民眾服務，其實就算是公職，很多事也沒有這麼理所應當。如果家人是警察，要隨叫隨到，要秉公處理，要控制情緒，要選擇立場，又要保留善良與仁心，應該是會很辛苦的。而且不是任何時候都會換來感謝，也有否認與憎惡來襲。感謝諸位守護街道里民的周全。辛苦了。新年快樂！
Yes I Can,1,"路邊地上發現可疑的包包，經110舉報，轉到瑞安街派出所，員警還打電話給我，要我自己拿去派出所! 我回答說我沒辦法動那個包包,萬一包包裡面是炸彈怎麼辦？員警卻說只是告知遺失物的處理方式!就我看來，這批警察跟本沒有要做事，警察有去現場嗎？跟美國警察比起來，差遠了；跟大陸警察比起來，相差很大(大陸警察真的越來越好歐)!台灣警察把工作當成辦公室的工作，顯然只是糊口飯吃而已，要做事，居然要老百姓自己解決，簡直浪費公帑!凡事總有報應的，警察沒有盡到自己該做的事，也是要下地獄的! 因果非常準歐!"
陳女神,1,只會亂開單 說要等我們移車 後來又不等 身為警察還講話反悔的高警員 改口說不管他的事就直接開單
的窩麒麟,5,有餅乾可以吃，有茶可以喝，有人可以聊天
Jacqueline Su,5,"完美都不足以形容他們的好！
用完美太膚淺了"
Gip Tsai,5,"同仁親切，用心幫我們處理，包包被計程車司機載走的狀況！感謝各位警察大大！
辛苦了！"
拐個彎,5,"遺失錢包 不超過半小時員警 即來電告知遺失
過程非常熱心 非常感謝員警的協助 及拾獲人 林先生的拾金不昧"
盧翔翔,1,爛...田姓警員不知道在跩什麼
cjj,3,"轄區宜在網頁地圖上顯示,民眾才容易了解.."
chang jerry,1,這邊警察很愛抓交通違規，大概沒其他事
Yu-Lin Lin,5,很感謝幫我找到錢包
Sunny Chen,5,因爲跟胖老爹炸雞店的消費糾紛 感謝協助幫忙排解
莊崴翔,1,非常糟糕的服務 態度差勁的警員
Lulu Chung,5,夜間員警超級熱心，真的很感謝
黃浤洋,5,羅姓警員真的很厲害
膠膠的極膳廚房,5,這陣子因為門口有停車的問題，有麻煩到警察先生了...感謝處理！
張校權,1,"員警素質參差不齊,不如去敦化所！"
Ichigo Hoshimiya,1,爛到爆掉  完全是一副擺爛的態度
呂煥朋,5,謝謝你們幫我找到摩托車、謝謝你們。你們辛苦了。萬分感謝。
蘇建鵬,5,員警熱忱，務實
yen peter (yanchsal),5,派出所員警動作很快 報案馬上就到
Marcia Tang,5,主動積極處理民眾問題
陳冠寰,5,動作快!
Cara Wang,1,(由 Google 提供翻譯) 我昨天接到員警李彥傑開出的罰單。我們一車三位是60歲的老太婆。因為找路路況不熟，在和平東路往東迴轉至和平東路往西，因為著急沒有註意是否紅燈迴轉。下午2:30左右路上幾乎沒有車輛，員警説我們紅燈迴轉，我們也不知有否這樣！他説了算。態度不是不好，好像我們是犯人要了身份證和行車執照，我們在路邊等了5分鐘，又拋下一句你有行車記錄器這裡常發生車禍，言下之意要我們倒帶查詢。我該罰或怎樣他不聽我們解釋高高在上的態度讓我們非常不舒服。首都的警察態度都這樣嗎？ …
黃浤洋,1,"(由 Google 提供翻譯) 蚊子很多喔

(原始評論)
蚊子很多喔"
Justin Pai,1,"(由 Google 提供翻譯) 過度使用電源。不要給別人第二次機會。

(原始評論)
Over use the power.  Don’t give people second chance."
Chen Nicky,1,"(由 Google 提供翻譯) 不推

(原始評論)
不推"
楊戴維,1,"(由 Google 提供翻譯) 不推

(原始評論)
不推"
李小毛,5,"(由 Google 提供翻譯) 人民褓姆

(原始評論)
人民褓姆"
KC Lee,4,"(由 Google 提供翻譯) 不要抓我啊~~

(原始評論)
不要抓我啊~~"
Anton Vesa,1,
賴文安,5,
戴永慶,5,
趙冠瑜,5,
蔡玟瑄,5,
Cheng Chen Chen,1,
tsao roger,5,
陳怡彣,1,
高志文,5,
Eins berühren Alcatel,1,
Amy Wu,5,
曾先生,4,
張到,5,
陳協宏,5,
Tsai shangwei,5,
黃浤洋,1,
Fendi Mania,5,
