author_name,rating,text
Winnie Lin,5,"野菇松露燉飯每粒米的湯汁都好香好入味好好吃！大推！

義大利麵也算是招牌，麵條熟度剛好丶食材及醬料沒有雷區，清醬、紅醬、白醬、甚至明太子口味也意外的好吃，唯一可惜的是份量略少。
是不是該扣一個星？！
但考慮到味道和口感都不錯，所以糾結了一下，還是勉強給五星。

窯烤披薩也好吃，薄皮的丶頗有嚼勁丶口味很好 丶用料也夠，喜歡吃披薩的人，不會失望。

套餐要另外付費，濃湯和生菜都不錯，只是量略少。"
Hung Chiu,5,"蒜辣蝦味義大利麵超級好吃～蘑菇炒得非常香，配上品質相當好的初榨橄欖油，保留麵心的義大利麵吃起來很有嚼勁，真的有歐洲風味喔！而且給了六隻超大隻的鮮蝦，肉質鮮美有嚼勁，感覺是很新鮮的蝦肉！

噴火波隆那肉醬筆管麵，也是保留了稍微有咬勁的麵體，但因為是筆管麵，能吸附的醬汁比起普通的直麵多許多，味道非常足夠，辣醬的調味偏辣，敢吃辣的會吃得非常過癮，是香辣香辣，但不敢吃辣的人應該真的會噴火🔥要小心！ …"
Purple,5,不能刷卡 要服務費 一樣的價格我選霞飛驛 但比薩不錯👍
Serena Chen,3,這次去非常失望...有陣子因生病沒去，這回特別找朋友一起去，這家店以前常去，幾乎menu上的餐點都點吃過，除了辣的。 …
李美華（帆）,4,披薩、義大利麵都好吃沙拉也很新鮮、附的飲料（咖啡、奶茶）也好喝
莊子子,5,"奶油雞肉菇菇義大利麵 白醬濃郁不膩❤️雞肉也有另外醃過非常夠味👍
薯條是點給小孩🧒的沒想到也是很好吃😋香酥可口也不會太鹹
披薩🍕是最陽春的瑪格麗特，牽絲的狀態實在迷人❤️❤️❤️我覺得披薩是必點。披薩是比較薄的那種。不過跟餡料的配比我覺得恰到好處。讚"
章貴筌,5,"位置不多
假日來建議可以先訂位
但現場等也不用等很久
窯烤披薩皮很酥脆
今天點了蒜辣鮮蝦義大利麵
是屬於清炒的義大利麵
微微的辣味很開胃
蝦子很新鮮
價位不算便宜
但還是值得推薦"
Chun-Wei Tseng,5,吃了好幾口燉飯才拍照，墨魚燉飯有濃濃蝦味，是吃過最好吃的燉飯，海鮮披薩蝦子很紮實新鮮，餅皮q脆，100分，不能再低了
hsin love,5,第一次來，看到玲瑯滿目的口味，不知道要選哪個好吃。詢問店員，店員客氣又親和的跟我介紹。所以就選了，「家鄉口味」的pizza，真的好吃👍，是個值得再訪的店家。
張庭瑋,5,披薩皮的口感烤得很好，起司也很多，不過瑪格莉特的蘿勒跟蕃茄太少，使起司太重有點膩~北海小英雄也不錯吃，反而清炒蝦麵的蒜香跟蝦油橄欖油很香很重口味，我比較愛~
童宜蔓,5,悠雅的空間，燈光是暖色系的，服務人員很親切，餐點選擇很多樣化，與三五好友聚會的好場所，很推！
Jackie Lin,3,"餐點的味道還 OK，不是很符合價格（太貴）
現場很多老人小孩很吵（不是餐廳的錯）但我整體用餐下來的感想是：只想要趕快吃完離開現場。"
李唐,5,裡面的環境滿不錯的清雅還可以看到師父烤披薩耶，裡面的工作人員年輕，服務好，讓人覺得舒適。食材新鮮，食物好吃，難怪看到好多外送的人進進出出的。喜歡餐點好吃^^。
J恐龍,4,價格稍高，不能天天吃餐餐吃。但食物細緻，服務周到，最近又多了外帶的健康餐盒，加上原本的薄片披薩和義大利麵，選擇還蠻多樣的。還是推薦。
Syrin Huang,5,鮪魚醬非常美味，這道開胃菜很實惠👍🏻
李思葶,5,"無可挑剔的餐點
墨魚燉飯香氣十足，小卷還有炙燒過，火猴掌握的恰到好處，燉飯的米粒軟硬適中，味道濃郁
批薩的餅皮也烤的很好吃，用料實在，蝦子很Q彈，價位算中等，下次要再來試試義大利麵！"
colin feng,4,餐點極好吃服務客氣，唯一缺點是餐桌間距靠得太近
Kris Cheng,5,"波隆那肉醬手工寬麵的麵條口感Q，面心硬度適合在地口感，肉醬風味純萃，香料不搶味，嚐得到肉的原味，吃完整盤尚有點意猶未盡...
Pizza皮薄，外酥內Q，濕潤度適中，整體口感好，每種口味也各有特色。"
徐琮凱,1,"等待沒有關係，最糟糕的是你讓我一等再等，說10分鐘後好，結果10分鐘後過去，還要再等12分鐘
奉上一顆星"
