author_name,rating,text
Wang Jonathan,1,約好了週六或週日要拿物品，錢已經預付，結果約好通知說物品到貨的電話沒有打，週六關門也沒通知讓人白跑一趟。非常不愉快的經驗
H. Allen,1,"有一位中年男性態度非常差，一進去問他：“請問有沒有賣XXX""，對方愣一下說然後說:”沒有那種東西！“。看到其他人有類似經驗，真的不得不分享。"
MinFang Huang,1,"我知道現在藥局都很忙，所以我在此間藥局已發放完口罩的時候訪問此藥局，以有禮貌的態度詢問商品，就是現在搶不到的額溫槍，這我也清楚，但是得到的回覆是:「不要想了啦」帶著輕蔑的語氣，要不是因為工作需要，網路也買不到，我幹嘛要特地跑藥局去，雖然我還是回覆了 謝謝，就沒下文了

觀感很不好，我知道藥師們很累，但是沒必要把情緒訴諸在沒給你們找麻煩的人身上好嗎? 謝謝。"
楊小瞇,2,"僅是想先進去詢問當日小孩口罩的大小，
一踏進去卻得到""還沒開始賣耶~拜託""的不耐煩口氣
覺得有點莫名!"
張雅芳,5,服務很專業，聽完病症推薦對應藥品。推薦!
Cassie Chen,1,態度差到不行是在哈囉
Rita Hung,5,藥種多，藥師專業且價格合宜的藥局。
Palo Hang,5,非常親切專業!會視症狀提供適合且較不傷身的藥品(有時搭配藥膏)，且盡量建議客人不要吃太重的藥~很感謝!
mandy Chuang,5,我常常來買日常生活小藥品，是居家生活的好鄰居！
Tsai-Ling Liu,5,藥師專業親切
Ru-chi Hwang,5,親切
徐雅慧,5,服務親切又專業
Ding-Hao Liu,5,藥師親切又專業
McKinsey George,1,"(由 Google 提供翻譯) 極度負面的購物體驗

(原始評論)
Extremely negative shopping experience"
JERRY志明,5,"(由 Google 提供翻譯) 藥師專業素質高服務親切是本社區典型的（最佳社區藥局）最重要的諮詢藥物有問必答而且價格公道是大安路一段最佳的（社區藥局）讚！

(原始評論)
藥師專業素質高服務親切是本社區典型的（最佳社區藥局）最重要的咨詢藥物有問必答而且價格公道是大安路一段最佳的（社區藥局）讚！"
黃嘎哩（嘎哩）,5,
Zunkas Lee,5,
flora lin,5,
Sammy Lin,5,
Paulina Wong,1,
Susan Lin,5,
Connie Lin,5,
莊雁潁,1,
林鳳淑慧,5,
喬,2,
