author_name,rating,text
Yc wang,5,醫生專業親切，護士和櫃台人員都很友善，雖然診所空間不大、內裝也傳統，但是以家醫科來說，堪稱守護社區的好診所。
JU,5,"五星大推的婦產科。
醫生跟護士都很和藹，不會像有些婦產科因為病患比較年輕就態度輕蔑。
診所的佈置比較舊式，有種懷舊感，不過醫生檢查很用心仔細、耐心傾聽病患狀況，對症下藥，讓人感覺可靠又安心，感謝醫生。"
Zoe Pan,5,從醫生、跟診護士以及櫃檯人員都非常親切，詢問病況很細心，解釋也很詳細，真的感受到自己被善待，今天第一次看診，馬上被圈粉，決定以後都要來看這間
Sharon YEH,5,"醫生跟護士都態度很好 也很細心看診
大推的醫生，以後決定都來這邊～"
Miumiu Lee,5,"醫生細心仔細
護士很有耐心解說"
林玉娟,5,"親切的薛醫師陪我度過有悲有喜的產檢時光，雖然很早就沒有接生服務了，但是還是很推薦懷孕初期中期的媽咪在薛醫師那裡檢查，認真仔細溫暖的問診及諮詢服務，讓人值得將寶貝的健康託付給薛醫師。
現在每年的抹片檢查，薛醫師也是我不二的選擇。"
Mccoy Chen,4,醫生親切 詳細說明 已無接生
ChungHuan Chang,5,醫生護士都很親切
Winston Hsueh,5,"(由 Google 提供翻譯) 一位了不起的醫生，一個更好的父親

(原始評論)
Amazing doctor, an even better father"
張冰冰,1,
JACK,5,
張家榕,5,
William Hsueh,5,
pina tsai,5,
Tiffany Liu,5,
RUBY LAI,5,
