author_name,rating,text
Candy Chen,5,"服務好，師傅也按的很好
值得推薦👍👍👍"
Grace Chang,5,"✓ 服務態度非常客氣且周到
✓ 結束後有養生茶可以享用
✓ 我喜歡大力按，師傅完全依照客人喜好調整，技術沒話講，非常放鬆
✓ 撥開氣結的部分非常驚艷，從瘋狂聽到氣結的聲音的後面完全撥散，沒有氣結
✓ 我選用go麻吉的全身按摩優惠券，70分鐘不到700元，非常划算
✓ 全程會用大毛巾蓋著，師傅完全不會直接觸摸到客人
✓ 如有需要，還提供衣褲讓客人更換，當天穿著舒服沒有更換
✓ 一定回訪！考慮下次帶媽媽來: )"
JIHAN CHEN,5,一個頭髮少少的男師傅，力道足，技術好
游春桃,4,"《2020-07-07》
手技好，感覺得出是老師父！可惜途中一直接電話......，並沒有按足分鐘數。另外，建議不要詢問客戶太過私密的問題（妳都如何避孕），實在讓人很難為情啊！"
Kelly Lee,5,櫃檯小姐服務很好師傅專業非常超值
Sophia Chang,1,來按第3次了還有推薦朋友來過，今天爆踩雷，一位男師傅講話超兇沒禮貌狂碎念，整個很有事，以後不會來了
minli chou,5,老闆帥，師傅超專業，讓我又活起來了。感恩。
顧雨婷（SunnyBaby）,5,超棒，老闆及員工都很親切
傑克敬,5,從Gomaji意外發現的店，洪師傅很會按，服務也不錯環境很乾淨，推！
Kuo Benny,5,力道適中，通體舒暢，推薦李師傅！
ChiaoWei Huang,5,店家態度十分親切，也沒有推銷，很尊重來店消費的客人，師傅的技巧很紮實沒有馬虎，讓人會想再度光臨，值得推薦！CP值超高！
張小慧,5,今天做全身指壓，按完全身舒暢，疲勞酸痛都不見了，推薦可以找李師傅👍
劉先生,5,櫃檯親切、環境舒適，按摩大姐按得很好，力道可隨時調整，又會陪客人聊天，推薦
游億仙,5,櫃檯服務很好，師父還不錯。
宜蘭jessica,5,一進入內，友善親切的櫃檯小姐就讓我願意停駐繼續聽服務項目，裡面沒有壓力，很舒適環境，放鬆的感覺真的很棒
賴明源,5,女按摩師很年輕，看起來20初，但真的很會按肩頸，極推薦!!
PEI PEI,5,櫃台小姐很親切，師傅的力道適中，真的很棒的一家，大推
矢貓,5,櫃檯可愛又親切，師傅技術也很好，音樂優美環境佳，下次來台北一定會在去。
林建仁,5,老師傅 超強
h steve,4,
Taosan Wu,3,
秋湘,5,
Liz Lee,1,
張弘奕,5,
davie wu,4,
tom tang (湯大元),5,
Ryan Yen-Po Wang,1,
Pochin Huang,5,
金咪咪,4,
王敦弘,5,
李梓龍,5,
Susan Wu,5,
Emily Lao,4,
