author_name,rating,text
christmas3413,1,越來越混 一開始醫生還會對喉嚨或鼻子做噴藥 現在就拿個光照一下 那你們要那治療椅做啥 真的是名符其實的“問”診 開藥也越來越隨便 反正每個病人有病歷 看之前開什麼藥就照開 我對你們真的蠻失望的
Shin Huang,1,櫃檯，皮膚很差，手上一堆紅點的女的，態度超差的
Alis Yeh,5,常用藥在這拿很方便，人員態度也很好
Jacqueline Hsu,1,"本身有氣喘且對阿斯匹靈過敏，並且有在初診單註明。

可能是因為小感冒的關係，醫生看診滿簡短的，開藥時並沒有太注意，吃了藥後一小時就因過敏臉紅腫，回診所醫生評估打針即可，請我挑掉止痛藥繼續吃，也沒額外交代事情。

打完針後一天後腫脹未完全消除外，還引發氣喘發作，晚上咳醒多次後，隔天就去醫院掛胸腔內科了....

建議有氣喘的朋友還是要提醒醫生用藥要在嚴謹一點....."
melody,1,建議去之前的客人先把零錢準備好，11/9那天下午看診，有位紅色圍巾的櫃臺小姐，我看到前ㄧ個客人只有帶千元鈔需找零，她不停大翻白眼，到我的時後因爲我的百元鈔也不夠付，她又超翻白眼邊超嫌惡的口氣念了聲「真受不了」，完全不在意客人聽到，離開後又沒好氣的說「下回請把零錢準備好好嗎！！」，不知道什麼時後客人看診是「必需要」事先準備好零錢的，不如建議貴診可以在門口貼張告示，「沒準備好零錢客人ㄧ律不得進入」，我們也不想看個診因爲零錢不夠需被櫃臺不斷羞辱。順利也回應ㄧ下那個紅圍巾小姐，沒有下 …
林哲郁,1,"很爛我外科外傷也沒幫我擦藥只是開藥膏跟抗生素
我明示能幫我擦藥嗎他們叫我回去自己擦主要是吃藥傻爆眼"
XZ,1,劉醫師非常專業、細心也很有耐心！之前每一次去醫生、護理師都非常棒也很有耐心！但是今天去的時候，櫃檯小姐服務態度非常不好，不想以偏概全，是2020/11/26，下午兩點開始看診，在櫃檯的那位小姐！問問題，很不耐煩的回答，愛理不理！之前去，遇到的每一位都非常親切，但是這位小姐的態度真的讓人感覺非常不好！
solitary song,2,櫃檯沒耐心，公告營業時間如虛設，時間沒到就說有事不看了
pr chen,2,"不懂?  為何連看兩次均沒好.
真的不懂?"
蔡秉松,5,醫護團隊專業，讓我懂得的很多健康常識，及效果好。
徐民澤,5,護士小姐超級用心，根本可以拿最佳護理人員，超級關心客戶身體狀況的，從來未遇過這麼用心的護士小姐
Alan Lee,5,護理師會很親切的詢問有什麼症狀，詳細告知該特別注意的事項，環境整潔、舒適，醫生感覺很專業，開藥有效
建賢,5,環境不錯，護理人員態度很好，讓人很放心
邱毛毛,5,醫生很有耐心，護士非常nice👍🏻
劉昱萱,5,幫忙換藥的護理師人很好，很細心處理傷口，提醒我要注意傷口狀況，還教我換藥，很棒！
陳銘智,5,這間診所很棒，護士很親切，打針時很溫柔，帶小孩來打針都不會哭鬧。要離開時護士還會提醒我多喝水，，服務很好的診所👍
米斯特,5,服務好，醫生有耐心，護理師說明也很親切詳細，環境不錯，很推薦~
Ruling Huang,5,去打流感疫苗，醫生跟護士手都好巧，打針動作也輕，感冒看診劉醫生問診很仔細，護理師說明用藥需知細心也很溫柔，我還滿怕打針的，不過在這裡的打針經驗很好。現在家人也會開始來這裡看診了，值五星，真心推薦。
潘昭圓,5,感冒咳嗽一直無法對症下藥換了多間診所，在智博診所オ找出病因(梅江菌感染)感謝劉醫師！
劉明政,5,醫師很用心，很仔細，觀察入微，專業能力很強，診所護理師很有耐心，打針不會痛，若是小朋友要打針，也會呵護及拿糖果給小朋友小朋友就很開心，事後拿藥給大人，上面也會貼上如何何使用真的是好難得，讚
Yuanchi Chen,1,"沒有針對症狀給藥，甚至用藥後都因藥品副作用更加劇病情....
看診當下問說有無咳嗽鼻水，表示都沒有後 醫生還是堅持要看診確認，在看診過程中噴藥後 反而鼻水不止....."
江家豪,5,醫生專業又細心，護理師又很會關心人，而且打針都不會痛，智博診所就像家人守護的健康
我也贊成您的見解,5,"醫師及護理師很專業，來兩次都有良好的體驗
之後如有其他情況會再更改評價
但目前體驗都很不錯，所以給予五顆星
是值得推薦的診所"
Lin Lin Jiang,5,舒適的環境，醫生跟護理師人都很好。
黃偉綸,5,醫生很有愛心，檢查也很細心。家人生病也都只來這間診所看。很棒的診所
潘桂樹,5,醫生看診很有耐心、護理師很專業對小朋友也很細心，還提醒我注意一些飲食細節。推薦給大家
陳彥秀,1,我和孩子第一次看診，醫生親切的說需加黴漿菌的藥治療，除了健保$200，還需另外自費$300，吃了3天，症狀完全沒壓制的效果......
Claudy Cheng,5,醫生！服務人員！態度都非常親切！
張名,5,醫生很細心，護士很親切，環境乾淨。
張鳳榛,5,醫師很細心專業，護理師也很專業，待人細心
Hsuan,1,醫生親切却不專業，最基本的感冒也看不好。
方鴻儒,5,智博診所的醫療團隊 對病人照顧的很好 讓病人早日康復
Kaitlyn Li,5,醫生仔細檢查，護士跟醫生態度都很好!
陳晶晶,5,看診仔細，醫生和護士都親切。人不會太擠，還不錯！
Wendii H,5,"醫生問診很仔細喔，診斷也準確，看一次就好了！
家人也是，以後都會來這家哈哈"
silvia lee,1,"6月底帶孩子去看感冒，冷氣開超冷，等藥等20分鐘，明明才兩組病患
孩子回家病情又加重了呢⋯⋯"
中秋小姐,5,喉嚨痛了一個月以上，來這邊醫生仔細檢查判定是我胃食道逆流，結果吃了馬上見效，果然生病還是要找專業的醫生來看，自己亂買感冒藥吃都不見效！
Sheng-Luen Chung,5,醫師專業、護理師有愛心。
王嫻君,5,醫生很親切很有耐心，櫃台的護士小姐對小朋友很有耐心
育翔設計,5,醫生護士都非常親切
Neva Tunç,5,醫生很仔細很細心！櫃檯服務很好:)) i like it!!
David Liu,5,看病第一首選，棒棒！！！！
馬春華,5,醫生檢查的很仔細...
George LIU,5,醫生詳細 檢查 細心。
子晴（晴晴子）,4,醫師及護理人員都很好
Jacky Chuang,5,非常專業的醫生
黃天,5,好診所！
