author_name,rating,text
Trevor Chen,1,三樓資訊檢索區一堆霸佔電腦看YouTube或遊戲影片的兒童或成人，館員也沒在管
Y belleuve-,4,這間圖書館不大，但書籍算多的，四樓有自修區可以專心看書，廁所乾淨度尚可！
Vincentaudio Lo,2,"DVD在三樓，樓梯狹小，分類很難理解，以地區別(日本、韓國、歐洲、英國、美國、...)在用字數分類(美國三字、美國四字、美國五字、...)。
架上書碼寫的不清不楚。附近有免費的路邊機車格。"
馬吉,5,"很好的圖書館，=b,,🐂🐮🐱"
許'騰云,4,永和圖書館，明亮簡約的陳設，每此到此都能很快找到自己喜歡的書籍。
Loreta Ma,5,永和借書和翻書的好所在，二樓一大區塊都是漫畫，我和小孩有空都會來翻閱。
周佑滄,5,這裡隨然接近中華電信雙和營業所，但是人潮卻是非常稀少。加上館員力行入館實名制，這裡成為非常寧靜的圖書館。在此實際待過一上午和一下午，令人非常滿意這裡的軟硬體。超想藏私的超棒公共圖書館。
林倩芳,1,"電腦設備舊了就該換新.老是遇到電腦當機.白跑一趟的狀態.
館員很多位.真正認真的只有幾位.其他好像來混時間的冗員.愛理不理的.給人感覺非常差勁"
ian wang,5,"館員服務很熱心，若讀者有座位調整的需求，館員們會盡力幫助讀者。
很讚！"
美眉蜥蜴,4,"好不容易到了家中小屁孩可以聽懂人話（能控制情緒&講話音量）才第一次踏入！
藏書多，也有租借DVD
但館員，可能是習慣了千篇一律的工作步調，回答詢問略顯不耐！"
J Ou,5,設備新、兒童讀書空間很乾淨，童書書本多樣、員工態度親切
Chuang Chiu,4,漫畫跟小說類很多！！
Alina Lin,1,廁所味道散發到樓梯，書籍又髒又舊，桌椅殘破骯髒，建議重新裝潢整修，更換新的叢書。
kanel cheng,1,環境建議重新裝修，書籍很舊、很少....想看什麼書都沒有。政府就不能撥預算出來整理一下嗎...樓梯都散發廁所的味道⋯⋯
盧宏瑜,5,環境乾淨，藏書量算豐富
tinghsu lin,1,設備老舊、兒童讀書空間沒地毯，童書書本狀況很舊、建議更新、完全不會想在裡面閱讀
玉珊張,1,櫃臺人員愛理不理的，連書藉的紫外線消毒箱要壞掉了，跟她們說也愛理不理的，只說接觸不良，上面明明有報修電話，難道打點話很困難嗎，真是令人不解
Leon Chen,4,可跨館調閱、藏書無限大
Andy Liu,2,自修室一些人把 書包 或 書 放在隔壁座位，就這樣多佔位子一整天也沒人管理
0535 ming,5,很舒服的環境
彭鑫,5,我偶爾來這借書，都有借到，地方很乾淨，很安靜，不錯
YS L,5,服務人員態度很好～讚啦
白布衣,4,"工作人員態度好，
可惜館藏與座位稍微少，"
Roey Zhuang (RZ),1,櫃檯人員態度蠻官僚冷漠的 希望下次來可以看到進步 加油
Ada Lai (Ada),1,完全沒插座
Russell 羅素,4,四樓的自修室很有備戰狀態，想要重拾努力苦讀的心情可來這邊念書，藏書豐富，但熱門書籍時常被借空。
mini kiddy,2,兒童閱覽室常被看報的老人家佔用，老人家對小朋友不太友善。
jojo easa,4,小而迷你的圖書館，提供當地居民知識分享的地方
Colorido Li,4,四樓閱覽室沒有特別隔間，若怕吵的人，可能要戴耳機或是耳塞，因為會有人打字和點滑鼠，工作人員說只能用勸導，只好自己摸摸鼻子換座位.....
Howard Chen,3,可以享受閱讀的樂趣
Jacky Chang,4,工作人員都很親切
鄭俊材,4,小而樸實的圖書館
Sam Lin,3,漫畫的集數滿多的😆
防疫大使,4,對面鵝肉侯好吃
Dick Lee,5,"永和分館 附近有中型傳統市場走路不要四十秒，去當時有看到三至四位外勞推
老人在前邊休息，當然也有推著老人跑到圖書館裏面的

永和分館只有四層樓，似正方型的地坪數小，

但是往二樓以上走，會看到厚沙發長時間坐很爽，沒有任何的筆電插電區，不
適合筆電族長時間上網。

星期六當天的四樓自修區有9成坐了人，自修區走道略窄，背大包包要小心撞人！"
Jay Kao,4,"臨櫃人員態度非常好，非常親切。
但廁所有些許異味，需要再改進。"
I T,2,服務人員都很親切，但是整體空間狹小，書櫃不夠以致書序紊亂，憑著索書號還是要費一番功夫找書，視聽資料區的電腦大多被拿來打電動，有真正使用需求的人沒有機會用到，希望可以整修改建，提振閱讀風氣。
Jo Jo Lin,1,空間小，K書空間也小
DIANA YOUNG,1,那個胖胖的圖書館員(姓林?)態度很差！好像問一個問題就已經冒犯了她一輩子。
JACK CHANG,4,永和分館沒有不遠處的國立圖書館大且舒適，空間比較狹小，四樓自修室也不大，而且沒有電梯，來此閱報讀書是市民的精神糧食，已經不可多求了。
黃安澤,3,乾淨但光害較大的圖書空間
陳志霈,3,當禮拜一國立圖書館沒開時，可以到這裡來自修，不怕沒地方讀。
王詩匆,5,書很多，看不完
Jeffrey Liao,2,廁所硬體設備有待加強
胖樺,4,沒有電梯，空間不大，不過自修室滿好的
許友儒,3,麻雀雖小，五臟俱全。
aco wang,4,"永和區公所後面的圖書館，
離家近借還書很方便哦!"
謝John,3,還可以的圖書館，雖然不遠處四號公園的國家圖書館更棒。
游雅晴,4,位置不多，但很安靜
Chih-Wei Huang,3,圖書館空間有點小，藏書量尚可。
Nicolas Vongchaleun,5,就在家附近 走路五分鐘就到 自修室不錯
黃先生,3,防疫封館
林雪碧,4,"有點小
不過還不錯很安靜"
Oscar Chang,4,乾淨安靜的閱覽室
鄭信德,5,小巧的圖書館
J.N,2,空間狹小
Macropodus Opercularis,5,借還書的好地方
K DY,4,吹冷氣的好地方
Randy Chen,5,藏書很多
Nancy Tseng,5,沒有電梯，自修室在四樓
YeN.,5,做學校作業很方便
Chao-Lin Liu,5,"(由 Google 提供翻譯) 一個不錯的當地圖書館，照片顯示了專門為兒童準備的房間

(原始評論)
a nice local library, the photo shows the dedicated room for kids"
Pedro Ting,4,"(由 Google 提供翻譯) 該建築有點舊。但是，志願者們努力為公眾服務。

(原始評論)
The building is kinda old. But, the volunteer work hard to serve the public."
熊先生,1,"(由 Google 提供翻譯) 店員服務品質不予置評找書也不肯幫忙，廁所比化糞池噁心根本無人管制，一堆小學生做在電腦上玩遊戲看實況也不去製止，根本網咖

(原始評論)
店員服務品質不予置評找書也不肯幫忙，廁所比化糞池噁心根本無人管制，一堆小學生做在電腦上玩遊戲看實況也不去制止，根本網咖"
Webber Linking,5,"(由 Google 提供翻譯) 小而美。

(原始評論)
小而美。"
