author_name,rating,text
Aki Aki,5,藥師很有耐心的回答問題
L XX,5,"我認為很不錯啊
醫師很親民也很健談，會耐心聽顧客的意見😊
也會給顧客選項"
Monice Lee,1,在這裏買了一排消炎藥，之後在重慶南路附近藥局買同一款消炎藥，價錢竟然相差四陪，也太過分了吧
ALI LIN,3,"店家第一天說願意幫忙調貨，可是要先付款才能下訂
所以很快就付款了，結果藥局連續好幾天沒開
也沒有公告，打電話也不接
收了錢就不管客人，非常不推薦

後續發現室老闆更改營業時間皆未公告
剛好去的時間都錯開 也沒有回電告知
因此補兩顆星"
Morris Fan,1,超爛，來拿處方籤的藥居然說都沒有，虧它還是連鎖店，別家博登都有只有這家說沒有，浪費我時間
guo roy,1,"這裡穿白袍的（應該是藥劑師吧），像我介紹的紗布透氣膠布完全搞混，一直向我推薦較貴的，之後買了較便宜的商品，態度就開始變差，問了一些關於藥膏的問題，還沒來的急聽完就馬上推薦他們的商品，
更可惡的是，買了紗布和崩帶之後，老是想在店內貼一下繃帶，居然回答是《不行喔，不方便》，我還問了三次，要去吃還說會打擾其他客人，貼繃帶只花了3秒鐘，真的不知道是不是因為我選的比較便宜的商品，走的時候我說我一定會給你付評價，他就回答說你去給啊，真差勁，"
詹彬（膠卷盒子）,3,價格普普沒比較便宜，藥品種類稀少，算是只能買到應急藥物的店
林俊良,2,不太優
fiona chao,5,
劉炫伯,5,
sarika,4,
Yvonne,5,
Wallace Ko,4,
JH Chang,5,
