author_name,rating,text
小曼,4,"小圓法+奶油很可以
有咬勁
奶油鹹度也剛好
互相映襯
完美！
夾芋頭或是夾紅豆的都滿搶味的
奶油味和法國麵包的麥香會消失😕
原味最好吃！

巧克力貝果完全不行
太軟沒咬勁又太甜（和好丘相比）"
蘇茹茹,5,"剛好有幾張戶外的椅子可以馬上品嚐熱騰騰的咖啡跟肉桂捲，蘋果肉桂捲是新品，個人覺得很好吃，每一口都能吃到蘋果塊，買的時候還剛好第二件打9折（原價65元/個），咖啡拿鐵就跟7-11喝起來差不多，但現在冷冷的天坐在外面喝咖啡配點心，整個幸福程度就升高了～

上次有點過打拋豬多拿滋，不同於外面麵包店的口味，不會太辣，覺得很好吃，一口接一口。"
gakiyo yang,5,口味眾多~晚上依時段還有各項折扣， 還真亮荷包省了不少呢
李大仁,4,那天經過8點多，剛好做促銷 ，買6個打七折 ，算是賺到了
Rona Li,1,麵包挺貴，晚間時段有滿五個打八折優惠；店員待客口氣不佳。
Mini Liu,5,"饅頭系列都蠻好吃
麵包跟蛋糕也都不錯
品質穩定"
Amy 0,3,"新鮮當天現做  單價稍高
晚上8：00後有打折 值得入手"
鄭喵喵,5,麵包很好吃！晚上麵包有折扣
Rachel Wang,3,"有戶外座位，店員態度有點不耐煩。

仙女紅茶（35元）還不錯，可惜不能調甜度。"
zeus chang,5,酸菜多拿滋根本無敵，超推薦！
李玉香,4,麵包口味多，老麵發酵，還有可麗露也好吃
Sandy Yeh,5,麵包點心種類多食材新鮮健康吐司好吃
Hsu Brian,4,品質不錯的平價麵包店
廖小淇,5,泡芙跟波士頓派，超喜歡
汪冠洲,4,好吃麵包店，種類還算多。
benjamin huang,3,生巧克力蛋糕不錯
鐘士珍,3,價格越來越貴，麵包越來越小
sun dae,4,肉桂捲很好吃
Emma Chen 小 i,5,"店員親切專業
麵包新鮮好吃多元
價格又實在！"
Cindy Wang,3,"店員服務很差，結帳前也不問需不需要買購物袋，直接結帳，然後把一堆麵包推到我面前，跟她說需要袋子，她說要買（我當然知道啊）,然後給她袋子錢，她又繼續發呆，再問他發票呢，她才不情願的開了發票，有事嗎你"
李賴雅文,5,"一進店裡，有驚艷感覺,每一樣都想買的衝動，買回來吃也覺得超棒！,戚風蛋糕，起司蛋糕都好吃"
許世明 振義,5,歡迎光臨
Liu chunru,4,不錯 各種麵包口味像法國麵包 內部Q軟好吃 價格還好 麵包平均45元左右， 饅頭25元起~35元
Connie Chang,4,麵包新鮮，店員很親切，不過單價略高。
王佑寧,5,好吃、用料很實在的麵包店，價格偏高，晚上九點多打折6個6折很划算~推檸檬可頌、橄欖麵包、卡士達布里歐！
Charles Chang,1,"麵包都做的比他家小，餡料很少，價格太貴，大小掌心不到的芋泥丹麥，麵包口感薄就算了，餡料更薄一層，要價四十幾元，還不如吃小7麵包還比較實在，
其他麵包也是類似情況，例如司康不像司康口感，非常不建議在這買麵包"
Esme Liu,5,好吃多樣的麵包店，還有賣饅頭喔，另外周五晚上去六個麵包打七折，平均下來非常便宜!
Cher Chen,1,便宜賣，真沒好貨，麵包空心，不實在，入口勉強吃，當了冤大頭！
Joanne Guo,4,麵包精緻可愛，但價格不便宜
Steven Liao,5,麵包都很新鮮！價格非常合理，CP值很高的一家店～
Cathy,3,最愛吃黑橄欖麵包及兩三項鹹的麵包，其他的很少碰，尤其蛋糕類貴森森！
Doris,5,麵包蛋糕饅頭包子都有賣，不錯吃
Aki Chen,4,麵包價格偏中上，有幾個排行榜的品項好吃
Tony鄭景中,3,因為要清打臉鄧麗君的好友鄭惠中所以在他協會對面這一家麵包屋 喝個拿鐵咖啡和紅豆麵包待會6點再走過去快炒店 享受一下歡樂時光
春天,4,捷運站旁.有麵包.甜點.蛋糕.咖啡.麵包好吃.可惜選擇性不多.坐位休息區設在外面.非常獨特.用意為何想不出來.莫非可以抽煙?工作人員親切.咖啡優質。
林怡璋,3,麵包種類多元充足但不提供小紙袋
Mark Howell,1,離開前請先檢查發票，我買了兩個28塊的蔥花麵包，等到回家後看了發票才發現被算成為一個要價55塊的黑巧美莓，等於是被多收了54塊，就因為在付錢時在跟同行友人聊天沒仔細想價錢的問題，就被多收了，只好記得要注意下次要去別家不會亂收費的麵包店消費
Chen Esther,5,外面座位有綁狗狗牽繩的勾環，超貼心🐾
靜宜周,5,麵包料很實在，也很養生。除了固定的麵包外，不時會推出當季蔬果加料的特製麵包，很不錯！
Aaron Chen,3,麵包不錯吃，環境好。但有幾次看到小飛蚊停留在麵包上，希望店家想辦法處理一下。
Ak Chen,1,之前每天都在這店買麵包，有發覺其中有一款材料比以往少很多，只是想跟店員反映，店員立刻黑面，態度超差。這樣的服務態度真的很不要得。
耿筱曾,4,價位中上，麵包種類繁多，當天的麵包都當天出清，重視品質。
黃蓉,4,鄰近六張犁捷運站，設有室外座位可供休息，麵包不錯吃，也賣饅頭和手搖飲料。
Wang aaron,4,麵包好吃，店員積極介紹蛋糕風味與保存方法。
Seven Seven,2,以前幾乎天天光顧  現在服務態度跟以前差很多 已經快變成拒絕往來戶了
陳吉米,5,喜歡貝果的朋友，不要錯過唷
Yu-Sheng Li,5,很不錯的麵包店，不時推出新產品，也賣一些餅乾與糕點，店員態度親切
Kao Kevin,4,點杯咖啡，歇條腿小小休憩
Andy Shaking,5,早餐不錯
Joanne,4,超～✨喜歡他們的麵包💕吃的出他們的麵包既用心又實在😍
Irene lai,3,麵包種類多，還有饅頭，價位中偏高。
lin福星,3,不便宜，但種類多
林修峰,3,西式麵包 對我來講我不深吸引力
cher G,2,饅頭一點都不好吃...
廖富賜,4,要打佯前麵包會打折
王立仁,5,在博仕音響吃到你們的草莓塔真的很好吃～
天士虛竹,5,土司麵包吃起來還真的是很特別
eager hsu,5,晚上八點半後常有特價
Bangshin Hwang,4,麵包還不錯，服務態度親切。
楊大德,4,好吃，但價格稍高
林永春,4,麵包好吃，服務良好
ユー。,5,好吃但單價真的太高
彭莉家,5,新鮮又好吃
洪尉植,4,上班族買早餐的好選擇
噗豬豬,5,麵包好吃喔
Ching Yao Chen,4,店員的態度很好
陳冠宇,3,口感不錯
Vincent Yeh,4,小貴
有熊自遠方來,5,沙拉麵包很棒
Arum Wu,4,喜歡他們的布丁
林永春,4,麵包好吃
董吉裕,4,親切
黄秋霖,5,麵包好吃
許錦昇,3,麵包普通
張証凱,5,讚讚讚讚
Rebecca Rodriguez,5,"(由 Google 提供翻譯) 這是一家很棒的麵包店！麵包是高品質的，他們有各種不同的，有趣的和美味的麵包。我個人喜歡無花果，核桃麵包以及pommelo，伯爵灰色。我繼續回來，即使從我住的地方乘坐30分鐘的地鐵 - 麵包也很棒。也許我會凍結一些並送他們回家哈哈。

(原始評論)
This is an amazing bakery! The breads are high-quality and they have a selection of various …"
한나,5,"(由 Google 提供翻譯) 布丁是台灣最好的布丁。
我覺得來這家店一定要吃布丁是台灣第一

(原始評論)
여기푸딩이 대만최고 푸딩임 ㅜ ㅜ맨날먹어도 안질려 ㅠㅠ
我覺得來這家店一定要吃布丁 是台灣第一"
Fabian V,4,"(由 Google 提供翻譯) 就像在該鏈的其他分支中一樣，非常棒的麵包。

(原始評論)
Very good bread, just as in the other branches of this chain."
ki ki,3,"(由 Google 提供翻譯) 日本人可能會喜歡很多麵包。當然是麵包！您可以使用Yu Yu卡付款。請嘗試台灣麵包店！

(原始評論)
日本人が好みそうなパンが🍞たくさんあります。もちろん食パンも！そして、悠遊カードでの支払いができます。台湾のパン屋さんをぜひ試してみてください！"
창호의덧니,3,"(由 Google 提供翻譯) 麵包質量很好。但是，如果您在晚上購買它，那是40％的銷售，還有另一種麵包不在銷售。

(原始評論)
빵 질이나 맛은 좋아요. 근데 저녁에 사면 40% 세일이라고 하면서 또 세일안하는 빵도 있네요.. 자기맘대루야.. 그럴거면 왜 한곳에 다 모아놨는지.. 밤에 세일 한다고 해서 궂이 밤에 갈 필요는 없는 듯해요"
黃文成,4,"(由 Google 提供翻譯) 健康有概念

(原始評論)
健康有概念"
Michael Mike,5,"(由 Google 提供翻譯) 小而美

(原始評論)
小而美"
Marc Ha,5,"(由 Google 提供翻譯) 非常好的質量和廣泛的麵包選擇，以及季節性添加。這家麵包店還出售美味的蛋糕。滴咖啡袋和煮好的咖啡。外面有一個小門廊供想要坐下來吃飯的顧客使用。晚上8點之後，他們以略微折扣出售剩餘的麵包。

(原始評論)
Very good quality and wide selection of breads, as well as seasonal additions. This bakery also sells nice cakes. drip …"
G Aquino,5,"(由 Google 提供翻譯) 高品質的麵包以合理的價格出售。您可以抽樣一些麵包，看看它們是否符合您的喜好。這個地方很乾淨，工作人員很愉快。

(原始評論)
High quality breads sold at reasonable prices. You can sample some of the breads to see if they are to your liking. The place is clean and the staff are pleasant."
Daniel K.C. Chen,4,"(由 Google 提供翻譯) 優秀的台灣/港式麵包系列。良好的服務，有時你會發現驚人的促銷。如果您只有一個麵包店選擇。這是一個！

(原始評論)
Excellent collection of Taiwanese/ Hong Kong style breads.  Good service and sometimes you will find surprising promotion.  If you only have one choice for bread store.  This is the one!"
Pei Huang,4,"(由 Google 提供翻譯) 麵包好吃，最近試了饅頭也很不錯，早餐時段的吐司也很新鮮，是我很喜歡光顧的早餐店。
不過真的有事後發現發票打錯的問題，可能未來會在註意是不是常態

(原始評論)
麵包好吃，最近試了饅頭也很不錯，早餐時段的吐司也很新鮮，是我很喜歡光顧的早餐店。
不過真的有事後發現發票打錯的問題，可能未來會在注意是不是常態"
Duck Liao (大可),4,"(由 Google 提供翻譯) 可以

(原始評論)
可以"
Zeina H,5,"(由 Google 提供翻譯) 喜歡麵包的選擇。我總是去麵包店吃麵包。

(原始評論)
Love the selection of bread. Always my go to bakery for bread."
Shih Wei Kuo,4,"(由 Google 提供翻譯) 晚上有折扣很棒

(原始評論)
晚上有折扣很棒"
Liao Chia-Chi,5,"(由 Google 提供翻譯) 優質麵包。

(原始評論)
Good quality breads."
Ying-Hua Chen,5,"(由 Google 提供翻譯) 好吃

(原始評論)
好吃"
Eugene Huang,5,"(由 Google 提供翻譯) 環境乾淨，麵包很好吃

(原始評論)
Environment is clean and bread is yummy"
黃品凱,5,"(由 Google 提供翻譯) 蛋糕好ㄘ

(原始評論)
蛋糕好ㄘ"
Stacey Liang,5,"(由 Google 提供翻譯) 晚上打折都很划算

(原始評論)
晚上打折都很划算"
Karen- Chang,4,"(由 Google 提供翻譯) 可接受的價格

(原始評論)
Affordable price"
Lo Yi-Hsuan,5,"(由 Google 提供翻譯) 好吃😋

(原始評論)
好吃😋"
Kyle Chu,1,"(由 Google 提供翻譯) 昂貴的麵包連鎖店，充滿麵包的化學風味

(原始評論)
Expensive breads chain store with breads full chemical  flavor"
潘錦娟,5,"(由 Google 提供翻譯) 好吃

(原始評論)
好吃"
陳陳,5,"(由 Google 提供翻譯) 好的

(原始評論)
Good"
Charlie H,4,"(由 Google 提供翻譯) 奶茶很好喝

(原始評論)
奶茶很好喝"
Chao Hsu,5,"(由 Google 提供翻譯) 好吃！

(原始評論)
好吃！"
Rose,5,
蔡文憶,4,
