author_name,rating,text
Job c,5,因 Hitach 冷氣安裝需求，向老闆娘詢問後，回覆迅速親切，師傅安裝用心！  推薦
Amos Hsu,5,"這次安裝客餐廳的日立空調，過程很滿意。

從一開始老闆莊小姐的迅速回覆提問、非外包的師父到場進行細心評估、乃至於現場實際安裝測試的專業團隊，店家服務態度是一貫的親切有禮。現場也收拾的很乾淨，買家不用再費心清潔。

價格公道透明，適合買大型家電的優質店家。"
Alice Lin,5,上個月第一次買冷氣，家電行都不熟只好上網找，偶然找到這裡便直接到店諮詢，老闆爽快友善，對新手的各種問題都會清楚回覆。來場勘和裝機的兩位師傅手腳俐落，並會針對現場需要調整或改動的地方提供建議，確認OK後再進行，最後也很熱心幫忙收拾善後。推薦想買電器的人來這裡看看。
cheng allen,5,"需買冷氣就google搜尋高評價店家~
1.效率高/當天匯款後,後天就安裝 (嚇到吃手手...)
2.收尾/因老舊公寓,埋在牆裡的冷氣排水管阻塞,師傅走時發現排的水不是從一樓排出,折回改用明管處裡,細節觀察用心,值得信賴"
クロメラ,5,"我很滿意這次的交易與服務
優點如下:
1. 把自己的預算與需求報給老闆娘後，老闆娘很認真的看待我們的需求。
2. 請師傅來現場評估時，不會浮報坪數，造成採購上的浪費。
3. 機型報價透明實在
4. 對於後來追加的問題老闆娘也很有耐心的仔細回答
5. 現場施工認真仔細
6. 有為客戶著想到會想要辦節能補助的需求

以上這麼多優點，叫人怎麼能不推薦這家店呢!"
Steve Shih,5,"老闆娘和師傅都十分專業跟親切。
冷氣星期一晚上付訂，星期四下午就裝好了。"
Juiling Chen,5,老闆娘人很親切，師傅也很專業，整個服務過程讓人相當安心。是值得推薦的優良店家！
Li Hsiang Chiu,5,"買了電視, 價錢公道服務很好有效率回覆很快師傅專業～ 推薦！"
慧敏王,5,"老板娘熱心且師傅安裝很仔細,讓顧客很安心,值得推薦"
anita Chuang,5,已經第二次跟三禾影電器購買冷氣了，年輕師傅安裝技術十分專業及用心，服務態度也很讚，非常值得推薦。
Dannysun孫瑋駿,5,急著在過新年前，想幫家裡添購一台新電視，偶然在網路上找到了這間店，老闆娘態度專業且親切，溝通起來相當舒服，也立即替我安排取貨時間，當日就讓電視在客廳發揮作用了，非常棒的交易體驗！大力推薦！
陳鼎仁,2,"在三禾影購買國際牌洗衣機跟烘衣機，洗衣機使用發現會有滲水情形。之後，國際牌師傅來檢查發現，滲水是從排水管線滲漏。

當初施作排水管僅有外部纏防水膠帶，但排水管間隙過大，因此滲出，建議大家購買時提醒師傅注意滲水問題。"
張耀仁,5,老闆娘回覆迅速，OLED 電視安裝師傅非外包，施工細心，價錢合理，非常推薦！
蔣其叡,5,老闆娘服務非常親切，細心，有效率！
酈大忠,5,老闆服務好，有耐心解釋我的問題，下訂隔天就來裝電視，效率也一級棒！價錢也公道！
張家赫,5,非常棒的老闆娘，價格和服務都很好，以後買家用電器都會考慮這家。
劉永政,5,"老闆娘很有耐心，回覆問題，速度很快，價格很優惠，很推薦大家來這裡購買。
重點還好我的車子載的回去。"
Chaowei Lee,5,這次裝了一台分離式變頻冷暖氣，老闆娘服務很好，價格公道，師傅安裝很細心，難得的好店家。
吳俊,5,買過電視及冷氣 服務的很好 老闆娘有耐心
Young Roy,5,購買電視，到貨迅速，服務也很親切喔！！
Hs Kuo,5,"冷氣安裝很仔細，師傅人也很好
老闆娘在事前的溝通非常詳細
是一間很用心的公司"
嘉助顏,5,昨天訂一台冷凍櫃店隔天迅速到貨，搬運過程小心翼翼的拆箱，移動冰箱也會幫顧客墊著紙板，而且很仔細的介紹之後的使用方式，真的是很優質的5顆星店家
Tsung Hsiung Hou,5,"老闆娘人很親切
專業知識也挺棒的
當天就幫我出貨了"
Bing Huang,5,價格公道  服務很好  出貨快
Kenny Lin,5,交貨速度快，工作人員專業迅速
ek水哥,5,信用、誠信、信賴、價格合理。
林嘉勉,5,服務好，效率快，價格優惠公道^^
James Yang,5,"這次更換了分離式和窗型變頻冷暖空調各一台。

到店面諮詢時，老闆娘很親切耐心的了解房屋的面積和狀況。從我們的需求來建議最適合的機型，不會一味推薦高價款式，替我們的荷包著想～

現場評估的時候，師傅非常專業、仔細和客氣，對於安裝位置、出風口方向、排水的管線(冷氣和暖氣的管線不同)，很用心的評估和建議。

施工安裝的時候，有需要切割、佈線、裝機的地方，做工很細膩小心。把現場維持的很好，還順便幫我們處理了雨棚脫落的問題。完工的品質只能說一級棒，非常滿意！"
