author_name,rating,text
林傑,5,牛肉麵如其他評論、原味偏淡，自行加入牛油與辣醬後則口味適中。
洪笛恩,5,清湯牛肉麵超級好吃！給的牛肉很大方，而且一碗清湯牛肉麵也只要130元，很便宜欸。
judy kuo,5,"紅燒肋排麵大推，麵Q肉香湯頭讚👍
而且份量很夠，食量大的也吃得飽"
Chun-Ming Chang,4,"2020.08.18 = ★★★★☆
◉推薦：紅燒牛肉麵。
◉手工自製麵條Q彈有勁，有麥甜，拌辣牛油也好吃。湯頭也是，有沙茶味。
◉肉偏硬是短版。
◉比台大周圍另一家 【大聲公】，便宜又好吃。😁
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
湯頭 ◆◆◆◆◆◆◆◆◆◇  (+辣牛油)
牛肉 ◆◆◆◆◆◇◇◇◇◇
麵條 ◆◆◆◆◆◆◆◆◆◇  (+辣牛油)
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ …"
珊珊,4,"普普通通，無論哪一種湯頭的麵都沒入味，紅燒的湯不錯，清湯無味。
肉很好吃！麵條很Q！"
Ying Yi,4,點紅燒的牛肉麵湯不會太鹹太油，麵條有彈性，就是可能湯不夠鹹、油（這就是一體兩面...），麵條比較沒有入味，但是肉塊處理的不錯👍，蠻軟的好咬，蔥花切得很細，還可以加湯，老闆老闆娘客氣，加大加20元變成很大一碗麵。
houpu Liu,5,麵條是非常棒的，牛肉麵是招牌，小菜又很多可以選擇，價格又實惠。 …
angelacooman,2,覺得麵和湯味道完全分開的，肉有些有點硬
Howton Hsu,5,豬肋排很好吃
CW L (Hi),5,"1. 價格便宜！！（在台北市來說這價位無敵）
2. 東西好吃 服務好
3. 環境OK（一般小吃店環境）"
Supman,5,"CP值高又好吃的牛肉麵店。用餐環境不錯算是乾淨，餐點選項也蠻多的不只牛肉麵而已，飲料可以免費喝，還蠻好喝的!整體來說相當親民的麵店，同時也適合學生來吃。

|本日餐點|
招牌的牛肉麵以及牛肉湯，牛肉的口感軟嫩，湯很濃郁，麵條可能是自己店家做的，口感Q彈有勁，可以自己加入酸菜等配料來提味，另外小菜一大盤只要30元，CP值真的很高，而且蠻好吃的!"
林太森,5,"牛肉湯麵香氣十足麵條Q彈
豬肋骨麵入味十足，醃黃瓜酸甜滋味"
Famc,1,"人生第一次內用吃牛肉麵,是以紙碗裝!!!紅燒牛肉麵也沒啥味道,糟糕透!"
Te Lin Shih,5,牛三寶麵湯頭香醇不死鹹，用料豐富實在，牛腱肉，牛筋及牛肚軟Q好入口，麵條彈牙帶勁......順帶一提，這裡的小菜中的雪菜是我所吃過最好吃的！
CHEN ERIC,3,"整體來講大概3.5星
强項是麵條有彈性好吃 辣醬香味很夠
但是主力的湯頭 偏淡
中藥味強過牛肉本身的味道
牛筋肉軟爛還不錯 中上水準
小菜點了小黃瓜 ...悲劇 ...酸到很難入口
下次來試試非牛肉系列的麵
服務態度都很好出菜也很快
如果在附近出沒想換換口味可以來嘗試"
SOOMIN,4,清湯牛肉麵（130元）
Yuwei Chu,4,還不錯吃，東西便宜也實在
