author_name,rating,text
Jo Chang,5,\(-ㅂ-)/ ♥ ♥ ♥豆花有炭燒的味道，很香滑可口。漲到40元了，依然好吃美味
Manic Peng,3,"漲價了，原本逛夜市作為句點的小確幸也就沒了。
白天好像是幾個年青人在顧店，點單跟結帳都跟人沒什麼互動，感覺更少了什麼味道。
當然各家豆花本身的香氣跟口感各有擅長，但同樣的份量跟40元的價位在台北市以外的區域可能可以加三種料跟一堆刨冰，到了貓空就只剩兩種料，而在公館就只有單純的花生跟碎冰而已，似乎告訴我們在繁華的城市，幸福感是如何難以企求。"
吃貨的藏寶箱KC凱西,5,從學生時期吃到現在的龍潭豆花(遠目~)就是這樣清甜簡單的好滋味，沒有花俏的配料，讓人每次經過公館的時候都想要來上一碗<3
蘇文楷,4,"是一家公館商圈相當知名的豆花店，貨真價實的豆花店，只有一種選擇：就是豆花+花生，唯一能調整的就是冰、溫、熱，不過這麼簡單也挺不錯的！不會有選擇障礙。
這家豆花店的豆花最大的特色應該就是他的「焦香味」，很多人喜歡也很多人不喜歡的一個特色，我個人覺得淡淡的焦香味是一個很棒的點綴，故這點相當不錯！
然而四月起開始調漲成40元一碗，以這樣的大小及配料是稍嫌貴了一點，並且內用的環境並不是非常理想，算是整體美中不足的地方！但豆花本身仍然值得嘉許！"
sisley shih,5,這家豆花就是質樸古早味，很簡單的糖水，花生也煮的剛剛好，豆花本身有豆香味。味道不錯，現在要吃這種豆花不容易了
潘秋燕,5,店裡沒有任何的裝潢，只有「豆花」和桌椅，而且一碗只要35元（4月調漲成40元），卻能在公館這邊屹立不搖幾十年，多年沒吃，今天一樣滿足，傳統豆花的首選！
Angela Yang,5,全店只賣一種花生豆花，豆花吃起來有點焦香味、花生軟密但又不失口感，真的很古早味，大推！！！
Mike Lai,5,店內擺設簡單僅有幾張座椅，而且只賣單一口味的豆花店，滿滿一匙的花生算多的，糖水甜度也還好，重點是微微焦香味，很有古早Fu。
陳順基,5,公館商圈少見的單一品項豆花老店，龍潭豆花獨特的焦香味道的豆花配上花生，豆花棉嫩細緻口味很有特色，值得一吃。
Ivy Shih,5,喜歡有焦味豆花的人會很愛，花生口感較硬，大熱天來吃很涼爽，一碗40元
Lesley Chen,1,豆花的焦味非常重，花生偏硬，我不喜……（喜歡焦味豆花的人應該很愛）糖水倒是不會過甜，年輕的店員弟弟口罩沒戴好還一直講話，而且我說不要冰他轉身倒一大瓢冰……
Vicky Chan,5,"只賣一種口味，但絕對讓你回味的店。
豆花綿密帶有炭香味，花生軟綿且香甜，糖水不死甜，一切都很剛好，好吃！"
Bill,5,我覺得排名第一最愛的豆花店，就只有賣一個品項豆花稍微焦香，糖水很棒，連冰都是片狀碎冰好咬！大推
郭語妮,5,一碗看似普通到不行的豆花 吃下去真的驚艷到 真的不知道怎麼可以這麼優秀欸！整個爽口 又有炭香 豆花質地綿密 甜度適中 吃過最好吃的豆花了！真的很厲害
Chung-Hao Cheng,4,"公館在地的老店，從學生時代吃到現在，招牌環境數十年如一日，算算店家營業至少也超過30年以上。
店家只賣豆花，而且只加花生，然後就是冰、去冰和熱的三種，如果熱的沒有，會貼今天沒有熱的。
內用直接門口點餐後進去找位置坐，外帶店員推薦去冰，因為糖水不會融化後稀釋甜味，要冰可以回家再自己加。
豆花炭燒的焦香味重，口感沒有很綿，挖幾下就花掉了，花生沒有煮的很軟，糖水是用二砂去煮的，很有古早風味。
現在賣豆花厲害的店很多，這裡的說不上好吃，久久來一次就是吃懷舊風情的。"
brian chan,4,"2021年4月1日起，漲價至每碗40$，以前是35$，感覺cp值降低不少。

有點焦香味的豆花，加上軟綿的花生，很搭，但份量偏少，希望內用能給多一點，偶爾吃就好。"
Chiang Bruce,4,數十年的好味道，帶有焦香的豆花，配上焦糖色的糖水，簡單的美味，四季皆宜的傳統甜品。
米非,5,"110.4.25 - 4.5星

還是一樣好吃.
光論口味是5星.
簡單好吃的味道
但有點小碗.
最近又漲價到40元.
整體評估給4.5星"
Jerry Lin,5,料超單調就花生一樣，份量也不多，但經過就是會想去吃，不知道為什麼
Aselin Lin,4,豆花口感還不錯，有一股燒焦味，自己是可以接受，不過同行朋友不喜歡。店裡只有單一花生的品項。
movies eric,4,公館商圈的知名老店，熱豆花軟嫩好吃，花生入口即化，這次來比較以往不甜，所以不會越吃越膩。只有一種口味，專注一味，形成厲害的孤味！
Charles,5,"炒雞好吃五星推薦🥳

大學時期的豆花首選，沒想到現在口味依舊完全美味 - 烤焦味道的豆花配上花生，這樣單純的口味實在令人著迷，尤其碎冰跟甜湯也是恰恰好的搭配，冬天來一碗不會太冰，夏天還能加冰實在無敵。✅"
Chen Jo,3,川流不息的小店，單一品項，只是➕不➕🧊！
