author_name,rating,text
Beth LIN,5,小型獨立書店，可以找到一些少量特殊外文書，喜歡帶孩子來這買英文書，很溫暖的一個環境。
Thomas Yeh,4,"這是一家算是挺傳統的書店，我說的傳統，是和在4月14日我在這一帶參觀過的三家書店（誠品，聯經，還有，就是書林）中的比較。

書林在二樓，面積很大，裡面的書籍基本上大部分是原文書，而其中多半是英文書。這兒的書籍，和我記憶中的相當接近，就是內容豐富，但是外觀樸實，和我在紀伊國書屋，或者還是誠品所看到的不同，我提到的這樣家，通常他們的英文書籍是在設計上比較花俏的。樹林所擺設的書籍有校園學術的氣味，著重在知識的傳播吧，我是這樣的猜想。 …"
吳錦麟,5,購買文、史、哲、英語教學、外文叢書的好地方，有熱情，有溫度的書店。
Joseph Taipei,5,"Great bookstore for English readers.

英文原文書店 文學類為主
也有語言學習及童書"
shiba eat u,4,豐富的外文書，也有童書區，但有些新書不一定買得到
玉宣黃,4,室內空間挺舒服的，買書方便。
this is EL,3,夏天去，有夠熱。
廖韋博,5,店長小姐人很好！ 值得再訪的好書店
Kan Watanai,5,擁有文學、語言學、英語教材書籍
Yu-Lin Lin,4,不錯逛，英文書籍值得參考
Herman Yap (葉福炎),5,購買原文書和外語相關書籍的好去處
Andy Liu,5,不錯
Li Coco,1,店員態度很差
Chen yushin,5,很不錯的服務
Rita Chan,5,服務親切的溫馨書店
Ling,5,"(由 Google 提供翻譯) 一個不錯的書店，可以購買英語書籍。

(原始評論)
A nice bookstore to buy English books."
YU MING CHANG 张佑铭,1,"(由 Google 提供翻譯) 當被問及經濟相關書籍時，甚至沒有試圖搜索它，一個直截了當的“不”，他們只是繼續聊天。在書店周圍搜尋後，我找到了與資本主義，商業等有關的書籍。

如果你們能夠投入一些努力來正確地為客戶服務而不是浪費時間，我將非常感激。

（離開書店沒有買任何東西，反正價格過高）

(原始評論)
Asked for economic related books, without even an attempt to search for it, a …"
Brady Liu,5,"(由 Google 提供翻譯) 偉大的小型書店，提供所有類別的英語文學，學習和兒童讀物。我認為在台北是很划算的。

(原始評論)
Great small bookstore for all categories of English literature, learning, kids books. Good bargain I think, in Taipei."
Ian Maxwell,5,"(由 Google 提供翻譯) 台北最佳獨立英語書店

(原始評論)
Best independent English language focused bookstore in Taipei"
Cl Wang,3,"(由 Google 提供翻譯) 專業外文書　但只有外文係有折扣

(原始評論)
專業外文書　但只有外文系有折扣"
Shinobu Azai,5,
黃子杰,5,
Chekuan Huan,4,
Smith Rachel,5,
Quả Quất Màu Cam,5,
詹雅涵,4,
Isaiah Wu,4,
鄭芋冰,5,
DH Huang,5,
