author_name,rating,text
Lau Allen,1,"X光都顯示長腫瘤了還說沒事沒事不要緊
請問你們醫生有什麼障礙嗎？
家屬身體受不了了到了血腫科還要被醫生兇是家屬的問題，沒把人照顧好才會變癌症。
醫生啊！話都你們講，有事也講沒事，請問是在兇三小，反正我都有影片保留，睜眼說瞎話的醫院。
沒有高額消費就不能繼續住院，也不能共同安寧，只會叫家屬回家等死。
強烈建議要就醫換一間吧！除非你夠有錢給他們賺，不然只會叫你回家等死。"
Fion,1,我們都知道醫護人員很辛苦！但是水準跟品質也跟著下降嗎？先是1樓領取糞便採集袋子的櫃檯，坐了一個機械人，回答問題的口氣像是問問題的人是笨蛋，現在收到報告如下一般，黏的根本撕不開，看不清楚報告內容！這個部門的人都是這種服務品質嗎？既然這麼心不甘情不願，就不要主動叫我們去做檢查🙄
何玟萱,4,"內科唐瑞祥醫生細心，態度好循循善誘，站在病人角度著想，帶家人來看診，家人的擔心因為醫生講解緩和很多擔憂的心情也一哄而散。謝謝醫生！

櫃檯護士態度很差，家人第一次看診第一句問說「要幹嘛」「東西要給我啊」，完全沒有以禮相待的概念，基本待人的態度都沒有就不用多表態服務如何。

設備齊全、醫生態度良好的北醫大很好，若護士可以加強前期的職業訓練，想必北醫會成為更加友善的空間。

護士經手號：195091"
簡綉琴,1,"請問你們去醫院想要知道身體不適的原因，結果醫生已經沒耐性的回答我說:【你不用跟我扯那麼多。】
我說:我沒扯那麼多，我只是想了解為何檢查沒問題，心臟仍舊跳得如此快?我說醫生你都沒耐性聽下去了還要看下去嗎？這位醫生竟然回答我說:隨便你!
怎麼會有這樣沒醫德沒耐性的醫生?他是心臟血管科蕭成×醫師"
Chiang,4,看起來很不錯的醫院
陳明生,5,五星級醫學中心！比臺大醫院好上不止幾百倍！感謝北醫全體醫護檢放及職員！
Jammi,5,北醫的環境是我去過醫院中算我很喜歡的，乾淨明亮動線佳，診間指示明確清楚，又有自動化繳費，挺方便的，尤其皮膚科蔡秀欣醫生，人很好也很有耐心，也很負責認真，我的突發性濕疹就是她治好的。
陳隆田,2,"6樓檢查室標示不清楚，不知道排那裏，不知道要先插卡還是要臨櫃，請問收費櫃台，先裝沒聽見，提高音量後，她說等一下！
真的很糟！"
李家儀,1,在北醫護士真的很可惡，打針跋針都是用扯的我的手到現在已經3天了還在痛護士護沒耐心，護理師也是帶頭罵人，衛生習慣很差，廁所把手壞了也不修，我們是病人，遇到這樣的護士護理師真的很無言，原來北醫護理師護士都沒愛心
Ellie Liao,1,去年因為意外摔傷，在這間醫院就診，原本就診經驗並沒有不好，原本看診的醫生也很有耐心跟仔細的診斷。後來換工作，經過了一段時間原本受傷的地方又開始痛，但因為新工作的時間跟原本看診的醫生門診時間搭不上，所以只好換一個醫生看診，沒想到今天看診經驗真的是差到不行！而且根本沒有解決我的狀況！ …
Hsu vinson,1,"明明廣播慢性處方籤跟疫苗的到7號櫃檯領藥，給她單子卻叫人去後面排隊，阿是怎樣，廣播假的嗎？等排到時，藥師明明就說我們的是""慢籤"" ！爛！連看都不看！還搞啥廣播通知！"
HY H,3,我高度近視、散光，來醫院散瞳避免眼睛緊張造成驗出假性高度數，但我不推薦這裡驗光，儀器陽春只有一台看小房子的機器，還有遮左右眼看缺口，沒有插片戴很多鏡片的眼鏡。想要隱形眼鏡處方 基弧尺寸醫生沒給。醫生態度很急一直想說謝謝再見。
Ting En,1,"雖然在這邊評價，醫院八成不在乎，但還是提供給其它人參考

領藥區的藥師態度不知道在差什麼，我替爸爸領藥，詢問藥師怎麼使用，藥師就冷回一句上面有寫，然後直接叫下一位，藥師的專業除了要確認藥性，難道不包含解答患者或家屬的用藥疑惑嗎？什麼都叫患者或家屬自己看的話，不需要當藥師也可以坐在那個位子

除此之外，二號樓二樓手術病房外自動批價機旁邊的小姐，對著幾乎每一位批價的民眾吆喝“按這裡！”、“插這裡！”，坐在手術房外等待爸爸開刀已有些許不安，聽著這位小姐不禮貌的言語更顯刺耳

雖然醫院裝潢十分明亮舒適，但軟體（醫病關係）顯然十分需要加強，北醫的醫護人員請多向其它大醫院學習👎👎👎👎👎"
許炫仔,1,就是爛，要不是離家近，才不想來這家醫院，而且機車停車動線並不好
YC Lai,5,"復健科侯文萱醫師很有耐心，之前帶一位有慮病症的朋友去求診，侯醫師很有耐心的問診，用專業減緩朋友的憂慮，雖然在診間朋友耗了蠻多時間，但絲毫沒有感受到醫師的不耐煩，謝謝侯醫師。
看到下面其他病友的留言，有點驚訝，上來說說自己的經歷。
希望大家都能多體諒醫護人員。"
