author_name,rating,text
葉大功,4,"環境相當寬敞，高眺，舒適，沒有壓迫害，平日中午自助餐470元，平日自助晚餐因疫情停止，
冷盤區食材新鮮，多樣，好吃，進步很多！"
Unit Electric Multiple,5,"這裡跟外面不一樣
外面的歐式吃到飽
這裡是公務人員人力發展中心裡面
對面是龍安國小
這裡的客人我看過有教授有專家學者
當然也有很多外來的
總之這裡和外面不一樣
這裡有一個學術文明的氣氛"
_hi_ _youtuber_,5,"以歐式吃到飽來說
這家算便宜了
別家很貴
但是這裡隱身在公務人員人力發展中心B1 B2
不容易被大眾發現
不然的話　生意會更好
只可惜我吃太多大魚大肉
現在不吃了
現在改吃菜了
如果用同樣價錢只吃生菜沙拉　我划不來
將來看看恬園有沒有單獨生菜沙拉吃到飽　獨立收費的　我天天去吃"
孟tony,4,早餐現在在一樓恬園餐廳，兩個月前還在地下一樓，給4顆星，是因為早餐費含稅才275元，這樣的用餐環境很不錯啦！菜色沒啥好特別敘述就這樣。不過美式太淡，麵包只有兩種吐司可選，且果醬.奶油及花生醬是裝大罐，拿刀自己抹，low了些，以上是有進步空間的。
米米,2,菜色還不錯。不過奇怪的是，星期日去吃午餐，第一個走進去，就已經很多盤菜剩下不到三分之一了。就算是早餐留下來的菜，如果他和午餐的混在一起，顧客也不會知道，沒想到現在連這個步驟都懶得做了。只是，去吃午餐的客人看到這樣，感受恐怕不會太好吧！
Joseph Lai,4,寬敞舒適，菜色不算多但也夠吃，清爽可口，惟價格經濟實惠，聊天聚會好所在。
Sue,3,"吃的是假日中餐
人手不足，所以補菜慢，常常有檯面全空的情形，收盤也慢，會需要堆疊幾次才可能有人來收。
咖啡機常故障，常弄不出飲品。
菜色還可以，能吃飽, 海鮮還算新鮮，就是服務人員太少了"
Shan Liu,4,中低價位的自助餐，菜色不像大型自助餐種類那麼多，但是用餐環境舒適不擁擠，適合不想吃到撐又想輕鬆聊天的好場所。
遠博,3,出菜慢 樣式少  價錢cp值低 唯一優點停車交通方便 海鮮肉類有待加強
hsia,1,菜普通幾十年沒改變和建國北路福容差不多，福容阿基師（建國南）已經關了
石百川,3,"打著福華飯店招牌，看的出來是偏重量而較不重質；店內打的是多元選擇的路線；從海鮮，中式，西式，素食，甜點樣樣不缺席，雖然菜色的品質和種類不是太多，但這也反應在價格上面了；口味上其實是不錯的，保有飯店的一定水平。海鮮類的蝦子應該是店家主要的招牌項目，新鮮度相當好，頗受大家歡迎；甜點雖然不是走精緻的路線，但種類不少，也是充分表現出誠意了；簡單說這裡應該算是走高CP值的路線，在飯店級服務的情況下，別太苛責追求食物的美味和等級，也算是很不錯的一餐了；順道一提，公教人員還有折扣,別忘出具 …"
周延申,1,可以不來就不來。若非免費卷不然不會想來這吃粗飽
cc cheng,4,環境舒適，价位適中，餐点可口
詹先冬,5,公司給一個超驚喜的年中餐會~在疫情期間因同仁同心創造出來的相聚難得難得!新鮮食材海鮮鮮蔬製作精緻好入口的餐點海鮮球鮮炸魚超入味糖醋排骨對味蛤蠣雞湯鮮甜好喝吃得盤底朝天開心~
招財貓貓,3,"第二次點義大利麵
一樣88元
開拿到有點小盒
份量有點少
沒甚麼內容物
都是碎肉碎菜
吃起來還OK
不難吃
但很普通
一星兩分
我給六分
評分:6/10分

活力便當-88元
有一主菜
排骨吃起來沒味道
沒有骨頭但不好吃

有四副菜
糖醋魚+咖哩南瓜+雪中紅+高麗菜
好吃度-糖醋魚>咖哩>高麗菜
雪中紅會辣所以不吃
糖醋魚比排骨好吃

吃完第一印象是
副菜比主菜好吃
吃完覺得還好
普通CP不高

奶酥麵包
意外得好吃
上面有杏仁片
裡面奶酥很多
吃起來覺得比活力便當好吃! …"
jason ger,4,菜色中規中矩，價位還算合理，停車非常便利，CP值頗高的自助餐。
M T Hsiung,4,"餐廳寬敞舒適 環境幽雅, 歐式自助餐 菜色不錯 價格ok ."
Ricky kuo,5,停車方便用餐環境佳
蔡鐵橋,4,"1、交通方便
2、食、宿皆可
3、會議的地方
4、停車方便"
朱中正,4,用餐環境不錯，服務人員用心
汪仁杰,5,雖然價廉，但每樣餐點都一絲不苟
王南章,4,空間寬敞，靜謐。撐了，可以到院子轉一圈。
Wu CY,3,食材新鮮但菜色普通，飲料與冰淇淋的選擇不多，補菜的速度有一點慢。
愛買書的楊桑,5,料理質素依舊能維持。環境非常舒適。光線明亮，十分愜意。
634 CCS,4,這次因為研討會關係，因此有機會在這裡用便當，便當的菜色跟味道算是可以接受，主要有雞腿作為主菜，雞腿滷得算是相當好吃，不會說太硬咬不開，鹹鹹的汁跟飯的搭配也不錯，而旁邊的肉丸是這份店當中我最愛的一道菜，扎實的感覺加上充滿肉汁的內部，咬下去在口中一次綻放開，再加上一口飯，簡直是人間美味，讓我吃完肉丸後，為了回味它的美味，還額外再將飯投入那個去吸飽湯汁充分享受那份香甜，右上角的格子裝的是冬瓜煮黑棗跟核桃，也是令人蠻驚艷的一個菜色，至於在其他兩道菜上就沒太大的亮點，希望能把左上角的豆 …
Yeh Su Fang,4,朋友小聚既溫馨地點又方便！！
1102 Chuchu,3,好幾年來菜色一般般，沒甚麼變化，今天去不是假日剛過完年，又逢疫情客人不多，清靜
西卡潔,3,選擇不多，不要期望是ㄧ般的自助餐，但價位真的不貴、也能吃的很飽，位置很多，吃的很自在
胡美足,5,經濟實惠的用餐地點。
L M,4,以平日晚餐一客500的價格來說算是ok，環境寬敞，在沒坐滿的情況下還把客人們座位排開，讓大家更舒適
貓小小,1,員工服務態度佳，但食物CP值非常的低，不只白飯已經冷掉了，主食、配菜的口感跟外面普通餐廳的檔次沒差多少，但又不新鮮，不會再光顧
lvan sun,5,料好實在！聚餐還不錯的選擇！！！
Janet Chang,1,"很久沒去了, 發覺還是一樣沒有長進,不好吃, 連現切肉都換成了冷披薩!!"
洪雅玲,4,用餐環境清悠，清潔餐桌迅速，人員服務親切，食材美味。
Jerry Wang,4,CP值算滿個的一間飯店餐廳，常有優惠餐點
Tyrone Huang,4,"基本上東西不錯吃，
種類繁多，
但是我去當天是週三晚上，
客人很少，空盪盪的"
Vicky Wu,3,"平價吃到飽的自助餐,該有的都有,選項不多,但絕對可以吃飽吃好."
茹茹老師,4,服務好，東西還可以，最重要的是平價
蔡忠哲,4,以價位平日470，還可以接受，但與半年前比菜色確實是退步了，加油吧！平日人不多環境還可，不走奢華裝潢，家庭風格。
TY Lai,3,價位比一般飯店buffet低，但相對的菜色選擇不多，精緻度也不像飯店水準。
Kenny Tao,4,空間寬敞明亮，適合聚餐，公務人員有打折喔
黃勇遠,5,上課後的用餐好地方
cc wang,5,"公館與電力公司捷運站到此處，步行大約15分鐘，交通不算方便，不過它的菜色頗豐、價格中等，假日下午茶與平日早餐都物美價廉，氣氛也十分悠閒。
今天(107/6/9)，再度到恬園用晚餐，發現餐飲的水準提高很多，引人入勝的食物不勝枚舉，例如:日式蒸蛋，不僅色彩誘人、上面還放了一顆頗大的蝦仁，並且挑了腸子，讓客人吃起來平滑順口，不必再邊池邊費力地吐沙子 ; 古早式蒸魚，肉質細嫩、味道鮮美，不是普通的好吃 : 餅乾，又大又脆，口感在許多家大飯店百匯裡，可算數一數二 ; 現煮鮮魚湯，加了些小塊皮蛋，別有風味......。
恬園，真令人刮目相看!"
靜宜周,5,是CP值很高的餐廳，菜色常變化。
눈_눈,4,"1. 公教人員與住在附近的里民可省10%服務費。
2. 以飯店等級吃到飽而言，菜色種點並不算多，但烹調口味還算不錯。
3. 咖啡好喝
4. 生魚片品質不太佳，有時上來的還沒解凍，不如不要吃。
5. 甜點超雷，許糕點多吃起來都乾乾的。"
錦龍余,4,消費可免費停車，整理餐盤速度快，公教人員及附近里民打9折優惠。
li do,5,好吃菜色豐富，服務好與客氣，停車方便，不貴的吃到飽自助餐，聚餐好選擇
黑貓,3,環境清幽，雖菜色式樣少，但該有的也都有，中等水準，午餐不想花太多錢、卻想吃歐式自助餐的好選擇，便宜。
于立恩,4,"只能說扣掉的那一顆星是因為甜點(搖頭.....
多年來甜點櫃仍然慘不忍睹、不堪回首~~~~
如果甜點能再多一進步一點點(一點點就好)，那該有多好"
ALIN KAO,5,餐點種類不會太多到吃不下，很好，可以控制飲食
廖維霖,4,住宿很舒服，寧靜，價格不貴，早餐好吃，靠近台大校園，可以逛一逛
C.F. Chang,4,環境安靜、菜色細緻多樣化、服務態度佳。是聚會聊天好去處。不過消費時間只能待兩小時。
Jyh-hong Wu,3,菜色不算多或特別好，價位平日到假日大概4-5百多，還算符合水準。
游逸芳,3,東西不多，龜苓膏像燒仙草，不優！
莫里拔,4,以假日540+10%的價格來講，沒有比較高貴的食材也就還可以接受，好在食物都料理的不錯，雖沒有令人驚艷的菜色，口味也都在中上水準，炒飯值得一吃，蛋糕類很不推，女性工作人員態度都很親切，用餐環境有點像員工餐廳的裝潢風格。
Yen Shyang Hwang,5,服務很好，以這個價位而言食物的品質與選擇性都讓人滿意
Shihyu Hsieh,3,下午茶$400+，基本上提供中式餐點為主
devil yeh,4,餐廳環境較安靜，Buffet好吃。沒有訂位也時常有位置，地下室車位也很寬敞。
培根,5,"人情味濃，服務親切。
以晨光佐餐:蔬菜鮮美，水果清脆，食物品質優。
開啟愉悅的一天"
Jessie Tseng,3,設備老舊，餐點口味不理想。
Yung-Sung Chuang,5,每次都來這裡吃琳山宴～～超愛
leo wu,3,菜色還好
Stephen Chang,5,食物精美，服務到位！
Julia Chu,5,"喜歡約家人或朋友來此小聚，
服務親切菜色不錯，
安靜優雅自在。"
江則誼,5,下午茶有里民優惠，環境不錯，餐點可口。
Harrort Tang,5,樓下有停車場，停車方便。是福華飯店經營的，生魚片一次約3種，其他熟食區種類倒不少，推薦港點，小籠包、燒賣很好吃。如果是公務員憑工作證免收一成。
John Hsu,5,東西多，好吃。。
Plutus W,3,熟食種類選擇多，口味尚可。甜點完全不行，像湊數用的。
SP R,4,價格很親民，湯品不錯。整體來說是小而巧。
曾士娟,3,中價位，沒有高貴的海鮮牛排等
林明宗,4,餐點口味佳 停車方便
Lion King,3,食物菜色一般，魚湯好喝，甜點非常弱。服務方面，遇到一個態度很差的，但其他都不錯。搭大眾運輸的也算方便到，到台電大樓捷運站在走個八分鐘左右。
kelly,4,自助餐便宜，用餐環境寬敞，適合朋友聚會用餐。
Yu-Ting Chou,4,自助餐的魚湯滿有特色的，整體來說還不錯，但菜色少了點，很多公務員或台大教授在此聚餐。
蔡大人,4,停車方便空間舒適價格實惠高貴不貴適合家族朋友同學聚餐
汪培聖,4,生魚片一般般 乳酪雞 鮭魚好吃
賴小賴,3,"餐點選擇性不多，
食材品質普普，
以這價位CP值不算高。"
s tom,5,環境，跟美食很評價，工作人員很客氣，食物該有都有，台北市找不到這種評價吃到飽餐廳
巧旺,3,以台北的客單價而言，算是蠻便宜的，可是菜色就稍嫌少了。
黃Dale,2,雖是福華飯店在經營，但恬園餐廳的菜色一年比一年差，真是每況愈下，CP值超低。
Q oo,4,環境安靜、交通算方便，中西式早餐、午、晚餐，以價位不貴來看菜色還算可以接受。
KO-WEI TSENG,4,大學四年來這邊吃過導生宴超過四次，食物的部分多元性足夠，也能吃蠻久的，尹涼與甜點也相當不錯
Oxalis Chen,5,服務人員態度優良，客房環境整潔
John Hsukarski,3,適合平價聚餐 樓下停車方便
李朝全,5,辦桌方便，自助式餐乾淨衛生
Susan Fang,5,菜色簡單，屬於平價、寬敞、衛生的餐廳。皮蛋魚湯很特別。
懶舌頭,4,"自助吃到飽，菜式不多，像生魚片區只有三樣，但每樣都吃一點也飽了。
白蝦也小了一點點，但新鮮。
而我特愛熟食區，
感覺料理有用心，
重點是假日午晚餐520+10%的價格，
好像隨便吃都能回本。"
張良丞,4,"常吃！衛生、區域方便性……
但人多時就閒吵雜"
周芳軍,4,物美多樣，又便宜!
Romaz Rau,3,環境很棒，但不怎麼樣的菜色
Bargain Chen,5,"中價位的buffet餐廳
吃的很滿足😋"
Hung-Chi Lee,4,以自助buffet來說算是相當安靜適合聚餐，但是菜色稍嫌單調
Yusen Sung,4,空間寬敞，環境優雅，只是食物普通
Jia-jeng Tsai,3,以港式及中式餐點居多，食物還不錯，人員服務ok
