author_name,rating,text
蔡仲俞,4,隱藏在巷子內的店，無意間搜尋到，想不到裡面東西超多的！各式各樣的復古懷舊品，整體感覺卻又不會太老，反而充滿創新感覺，而且真的很適合拍照。我點了冰滴咖啡熊，熊熊造型的冰塊泡在牛奶浴裡，很特別，隨著熊熊融化，咖啡味隨之變濃，很值得推薦！
小煩,5,"裡面的人員、親切大方！！
又熱情、限量的套餐超美味可口！
我超級推薦的～～"
多多,5,"為了這家店我們重裝備
超可愛的超好拍
店員很親切也是仙女
食物也是用心早早就營業的店

我和花媽今天零距離哈哈"
陳喵喵,5,"很喜歡復古風的我，蒐藏這家很久了！
今天終於有機會來這邊喝杯咖啡。
店內每個角落都很用心，也很好拍照～
最讓我驚艷的是咖啡很好喝！
非常符合我的標準☺️
鬆餅也很好吃！整體價位也不貴！
而且老闆娘非常親切😆
是一間非常棒的店👍"
J. C. Chin,5,很有感覺的地方，服務人員很親切，非常舒服的體驗，而且餐點真的很好吃！
Cindy Chiang,5,老闆娘十分的親切又貼心，店裡給人感覺很放鬆、乾淨舒適的空間再加上美味的甜點，實在是一定要大推的咖啡廳啊！👍🏻👍🏻👍🏻
Sandra Tseng,4,是個適合放空讓腦袋飛翔的好地方，除了週圍充滿古意可愛的小物，餐點也好吃，因為外頭跑來冷氣團，老闆娘很貼心的請我們喝手炒茶，茶很香很順口哦！
黃韻如,5,特別又有創意的咖啡，還有隱藏版的驚喜！店內裝飾吸睛，每個角落都是拍照的好點！老闆娘親切又漂亮，現切水果盤好吃又新鮮！喜歡的人可以來試試！
張蔚青,5,東西好吃，老闆也很客氣，位子不多，需預約，值得再去
Huang Shany,5,"造訪的日期是上個月平日的下午時段
老闆娘親切的招呼，讓我印象深刻
店家提供的冰滴小熊咖啡實在是太可愛了！
連平常不太喝咖啡的我，也忍不住想嘗試。
店內好多有趣的童玩和許多讓人充滿回憶的小物。
因為空間十分舒適，所以和友人坐了一整個下午。老闆娘看我們飲品食物都吃完了，居然還招待我們茶飲，好貼心。短短的一句話，卻可以讓人感覺到暖心。我想這也是這個店家所重視的質感吧！推薦大家可以走訪！是一百分值得回訪的店面！"
Liyu Hwung,5,老闆非常熱心，擺設復古有特色，非常好拍照，值得再訪。
I Have a Dream,4,裝潢風格特殊的店，萬萬沒想到餐點種類眾多，原本以為是那種賣裝潢的簡餐店....碗糕好吃但限量，太晚來就賣完！鹹派濕潤不乾像千層酥，料多沒連鎖的那種會有的麵粉味！用餐環境舒服.餐點搭配健康，餐點價格以這個區塊來說算很便宜，可能知名度不高，停車不方便又在巷子裡，顧客看起來就是住附近的，婆婆媽媽在那話家常！
Nitric WU,5,"蜜香紅茶用的茶葉很棒，老闆即使很忙碌也不忘親切。
店內的復古擺設好多，很值得一訪。"
楊政樺,5,"碗粿好吃
墨西哥餅也好吃
漂浮冰咖啡很好喝
店裡的人也很好
大推啦"
Sandy Yu,5,好懷舊的古玩物的博物館及美味的美食
溫家慶,5,"😘適合老少咸宜的地方！
2台兒童搖搖椅可跟櫃台換代幣.
復古的公仔玩具海報等都很有氣氛.
咖啡上有造型棉花糖.造型冰滴也適合美拍.
店員親切 給想回味 50年代的大眾：）..."
Aaron Kao,5,充滿台灣早期及日本玩具，裝潢充滿童趣。草莓鬆餅好吃，百香果檸檬夠味。鹹派奶香味濃。水果選得都很好。服務人員很親切。
政治大學_陳昱凱,5,"服務親切。
裝潢復古，物件保存良好，環境氣氛舒適緩和。
飲料順口好喝。"
Alvan Lee,5,老闆親切，環境很棒，很多東西可以看。。。
Cute Scott,1,"進去直接說要打烊了 態度超差
打烊就打烊 不能好好說嗎
1800打烊 1730外帶也不行嗎🙄️
到底什麼態度 出去往回看店裡面 還瞪我們
這種態度真的不要做服務業 丟我們服務的臉"
Fan Siyou,5,老闆待客親切熱情，很有鄰家大姐的感覺，店裡氣氛很懷舊，東西都很美味，熟客不時還會有私房未上市產品搶先嘗，讓人每次來都能坐很久，值得推薦。
李子木,5,店員很親切，點杯摩艾咖啡（小熊咖啡）可以喝很久了
caren wu,5,第一次去，由於是星期五早上10點，我們是第一組客人，還沒進門就看到櫥窗裡有許多古早時代的商品和玩具，進入店裡是更多的懷舊物品，有的有在賣，吃的是早午餐內容豐富，有特別的私房菜，中西口味都有，飲料也很特別，店內的小姐親切到不行很熱情，很幸運碰到一家好店，會再光顧
Xing Yu Lin,5,"老闆娘親切😚
招待了我們週日的最後一組客人
下次絕對還會再來的🤣
東西也超級好吃😋"
Nk Chen,5,充滿小時候回憶，餐點好吃
鍾曉雲,5,"很童趣的店，
也對孩子很友善～～"
Yi Cai,4,"老闆娘活潑 聊天很有趣
手工餅乾和鬆餅做的還不錯吃
有機會會在光顧"
C.Y Chang,4,復古風咖啡廳，適合悠閒地吃早餐。可惜有個戴帽子的大嬸一直大聲說話，店員也不制止，破壞了早晨的美好。
Lisa Tsai,5,"這家店賣了20年的衣服，後來才改成咖啡店
櫃檯是由車子去改成的
聽著裡面的顧客聊天，講著他們之前賣的衣服不容易撞衫，別有一番風味，好像真的掉進時光空間的咖啡店"
Rick Huang,5,有非常多的早期玩具收集，茶點組合經濟划算，還附有沙拉，餅乾。
洛海音,5,"充滿復古風味的一家咖啡廳
特色強烈
怎麼拍都有味道
價格合宜
四面八方都美炸了~~"
shining hu,3,城市探索路過小確幸，每個小角落都是一場精心安排的驚喜派對，好適合在下雨天坐一下午看書放鬆喝咖啡。
陳威全,4,裝潢很好看
Lixuan Hsu,5,餐點可口美味，店家收藏極具特色
林亞,4,熱壓三明治套餐兩百，鹹派套餐250。 餐點好吃，店內裝潢很棒，東西平價! 唯一個缺點就是廁所裡隔壁座位太近， 上廁所聲聽得一清二楚 有點害羞... 假日限時兩小時。
-麻糬&青峰峰琴萬種,5,"這是一個懷舊專業設計師
所打造的一個餐飲場所
非常多吸睛的場景
讓你絕對一次看不完
非常的建議大家前往"
Hollie Lin,5,食物好吃咖啡不錯喝(焦糖拿鐵)，空間佈置用心，而且老闆娘人非常親切 謝謝!
J L,1,這個草莓鬆餅套餐要$350，鬆餅很普通，旁邊的草莓鮮奶油放的是植物的優優格醬，升級一杯棉花糖咖啡旁邊加了4片仙貝要$270（很奇怪的組合，感覺很廉價），難怪一整個下午只有2組客人，華而不實的一間咖啡店
Shia Lin,5,"這是個餐點好吃，裝飾有滿滿的復古味
一邊享用美食，一邊與朋友憶當年
尤其是吧台真引人目光"
Sulina Fang,4,很復古很多玩具，很可愛的一家早午餐店，東西好吃，食材不差。很適合帶小孩去。
Peggy Lin,4,裝潢還有創意，像時光隧道，重回童年，不同於時下咖啡廳。咖啡鬆餅還不錯。
C C,5,不錯的咖啡廳，很多老品可以看，老闆娘很有趣💖💖💖
歐美加,4,價格偏高但店裡很多老物寶藏，大小朋友都不會無聊
louise huang,5,餐點好吃、老闆娘很親切、店裡滿滿古早味、讓人想一來再來的店～
Terry Hsueh,5,非常用心的店家，裝潢佈置很適合打卡。
nagi lin,5,裡面的陳設，對我來說是滿滿的兒時回憶…
Chih-Hsuan Huang,5,老闆娘很親切，裝潢很復古
Peach,4,碗糕好吃😋店裡很可愛❤️
Johnson Ho,4,"Museum Coffee
外觀感覺很有日本公仔風的咖啡店，不禁令人流連駐足。"
Lufan Peng,5,適合小孩聚會，飲料也意外的可愛！
tina wang,5,復古懷舊風😍有坐時光機回到過去的fu
Maverick Lee,4,很多罕見的5、60年代台灣與日本的老東西，可是也有很多中國仿製的鐵皮玩具，有點魚目混珠的小遺憾；買瓶裝水還有這裏是不提供開水，得自己另外付款；至於店裏的餐飲價格與好不好吃就見人見智了；像店裏推薦的碗粿，我個人就覺得小貴，而且沒有熱壓三明治驚豔與吸引人了！
笑惠,5,謝謝老闆娘的招待😁😁😁人非常親切❤
Eric Pan,5,幫女兒點了熱咖啡，結果來了冰咖啡，不過還蠻好喝的，跟店家反應，換來了兩杯好香的麥茶召待。下次再來吧，雖然要開2小時的車
Tiffany Y.,5,老闆娘很輕切！東西也好吃～
angela kao,1,ㄧ進門一直要求櫃檯點餐
17 Va,5,店內每個角落都是驚喜 很難能可貴
劉毓如,1,小狗狗棉花糖很可愛味道普普，但是貴的離奇，而且沒有另外標價，建議用餐前先問價錢，不然結帳真的會嚇到。
Vickie Lu,4,很好拍，有特色，價格不低，但很值得去…
林力,5,溫馨&服務親切
蔣正宏,5,餐點好吃，氣氛良好，適合悠閒的早晨
Maureen Lai,5,謝謝老闆娘還招待了沒有咖啡因的熱茶，讓我們度過愉快的下午~
W T,1,"草莓鬆餅升級套餐想想沒有便宜到哪裡去
鬆餅味道普普 咖啡普普
但卻收的跟Lady M一樣貴
不曉得標準在哪
我想我不會再去第二次了吧🤷🏻‍♀️"
HSUEH RU LIN,3,餐廳裡有很多小時候的回憶，狗狗咖啡套餐滿貴的，碗粿好吃
Sunrise HSU,5,老闆娘很熱情介紹❤️鬆餅好吃很豐盛💕幸福狗咖啡好可愛😍是店家自己手作棉花糖😍好吃有好拍💕店內也超好拍的👍👍
Christina Huang,5,很有特色的一間店 好拍 老闆娘很親切
李志鎬,5,"氛圍不錯，小物很多，很多景可拍，老闆娘熱情，值得一去享受和感受，均消飲料1-200, 含鬆餅……200-300。"
Angie Chuang,4,"小小的咖啡廳但佈置很復古, 餐飲也算平價(但假日特調有點誇張的貴,要點之前最好先問價格)"
劉易青,5,"老闆娘待人親切服務優質
裝潢很別緻"
