author_name,rating,text
Andrew Huang,5,"左手邊第一床位的李師傅
親和幽默
個人也比較喜歡他的手法
推推"
林嘉斌,5,名師！！ 技術一流 不過要先排隊一小時等看診針灸20分鐘 再等一小時推拿10分鐘 所以總共要等兩小時 真名師！
蘇祐德,5,徐師傅幽默技術又一流 非常推薦！
lovetaimai,1,"門口沒貼禁止寵物進入，之前也看過別人帶狗進入也沒問題，今天參加寵物展完繞過去要推拿，才進門，客人還沒人說話，櫃檯大嬸就說狗帶去外面。外面沒地方綁狗，她也沒要幫忙顧狗，如果今天狗遺失了，她要負責嗎？
之前要預約，也說有固定客人沒辦法，連提早兩個月也不行，找別人就都沒這個問題。
#如果寵物不能進入，請清楚貼出告示好嗎？#"
Jacob Mei,5,"傳統的推拿拔罐養身館，30分鐘450元，我覺得價格合理。
師傅們都有很好的經驗與手法，假如有腰痠背痛等毛病，非常值得推薦。"
kim ku,5,"櫃台阿姨很親切,李師父推拿都會很專業的解析"
daNa,4,許師傅
蔡瓊菁,4,"(由 Google 提供翻譯) 不是一般的推拿而已

(原始評論)
不是一般的推拿而已"
Chelsey H,5,
李宜庭,5,
Ellie,5,
Ai LAO,4,
