author_name,rating,text
Jenny Liu,5,"作品很天馬行空，
讓人會心一笑😂
有機會我想來上陶藝課💛"
BigRain Liu,5,"全台北市最有質感小店，交通便利近景美捷運站，平面設計、陶藝教室都hen讚❤️
讓您想要融化在火山熔岩中出不來～"
Stefani Huang,5,兩位店主超級好相處，空間超級放鬆，課程超級療癒，大力推薦！
IndiGo INK,5,整個空間都好美，喜歡那些恐龍跟植物❤️無法想像在破敗的老巷裏有這麼迷人的地方
魏姥姥,5,與加班完的姐子一起捏舒服的陶：)
張志龍,5,"你/妳玩過陶嗎？沒去過火山別說你/妳做過陶😤😤😤，
火山不像我們去鶯歌老街捏陶那樣，特定固有的產品，死板板的，
老闆細心的引導，讓你的創意發想直接實際呈現，
出來的成品讓你嫑嫑的～😊😊😊
心動不如快行動，去前請事先預約。"
PARIS CHEN,5,"❤️ 此生必去～火山～沒有之一 🌋

闆闆服務超優（小酌最棒👍🏻
工作室環境也超棒 ❤️ （客製化課程👍🏻"
Lizzy Hsu,5,"沒想到景美夜市巷弄裡竟藏著這麼有趣的店鋪！
裡面的商品貼近生活，大膽而害羞，讓你想守住荷包都難😂
老闆好親切 就算不購買也不會有壓力😁😁😁
每次節日都必去買禮！這次真的挖到寶惹~~~~
太感謝了~絕對會繼續光顧的！"
于懷恩,5,今天花了30秒登玩火山，風景美氣氛佳，適合假日親子出遊的步道，特別″棒″！
Alicia CHENG,5,喜歡這裡的氣氛，還有可愛小物與親切專業的老師，是會推薦朋友來的店，不過要注意的是要先預約哦
朝夕相處coexist,5,"自己做自己的陶器好有趣，老師也專業的指導我們，
讓我們有自己的發揮空間之餘又給予很多的建議，下次還想來做別的陶器～"
Paljaljim,5,"時常撲空的神秘小店，需要事前預約，店內有許多稀奇古怪的東西，去景美夜市一定要參觀的店面，位置於巷內公寓，不定期會有神秘的活動，。
老闆人很親切？！？（個人感覺）我給4.5顆星，因為真的不好找。"
Nau Balincinan,5,氣氛很好的一間店，裡面東西很有趣，值得慢慢去體驗及享受，店主很Nice~
周于榛,5,"前陣子報名火山手捏陶的課，老闆們hen專業也很貼心！有得喝有得玩♡♡♡
平面設計和小誌也都超屌"
yi sun,5,別於美食小巷中會讓人沉迷在這天馬行空的特色精品小店 到這來別忘記點杯啤酒好好享受這會讓人漂流的空間裡~
李船槳,5,氣氛很好的神秘小店，還有許多市面上買不到的手感陶器，飲料和陶藝體驗都很優質❤️❤️❤️
李中喬,5,有特色的地方！拍照起來超美的 老闆人很親切 點一杯好喝的咖啡 很放鬆
劉永豐,5,這裡的東西都很新穎，老闆人很好很帥
黃珮瑄,5,店美 商品美 闆娘更美 🌋火山の諾亞是史上最可愛♡
劉妤柔,5,有格調、美，此生必去
YONG KE (YOKI),5,買到珍珠貝殼的T-SHIRT好開心❤️
李雨答,5,陶器小誌飲料超正點 會再來超好玩捏陶課
LI-XUAM HE,5,完全就是一個可以去放鬆心靈的地方。
Huan W.,5,景美巷弄裡神奇的小所在 不定期舉辦歡樂的聚會
Lexie Tsai,5,絕好sense的神奇工作室，台北必逛
Henry Ke,5,值得再去一次的的好地方👍
Ying Chen,5,"氣氛很好👍👍👍👍👍
店主又很熱情❤️又親切❤️❤️❤️❤️❤️"
Chris Huang,5,捏陶體驗讚讚
peiwen Chang,5,(由 Google 提供翻譯) 火山就像一位少女帶著羞澀的神秘面紗，令人充滿好奇，位置隱身在景美夜市裡，繞了又繞九彎十八拐到了一樓，您以為結束了嗎？ No～～您還必須要有強健的體魄走上五樓，然後您或許會好奇是哪一間啊！這一層樓這麼多間（抓頭髮），就是～～～門看起來最好開的那一間就是了，哈哈哈哈，沒啦！ Just kidding ～～不過您想嘗試打開也沒關係，可能就是換來火山主的三個巴掌而已～ …
林筱茜,5,"(由 Google 提供翻譯) 一間讓你臉紅心跳害羞的大膽創新又質感滿分的店❤❤❤
商品可以自己買來放在房間欣賞增添生活情趣之外
更能當作送禮的大好選擇哦👍👍👍
哦~還要提醒，老闆很有個性(但很親切的)，所以開店時間要去臉書粉絲頁查詢，每週都會公佈開店時間!!!!!!

(原始評論)
一間讓你臉紅心跳害羞的大膽創新又質感滿分的店❤❤❤
商品可以自己買來放在房間欣賞增添生活情趣之外
更能當作送禮的大好選擇哦👍👍👍
哦~還要提醒，老闆很有個性(但很親切的)，所以開店時間要去臉書粉絲頁查詢，每週都會公布開店時間!!!!!!"
陳蟎,5,"(由 Google 提供翻譯) 偶像神殿級的祕境好淨地，錯過此地就失去一回快活好人生

(原始評論)
偶像神殿級的秘境好淨地，錯過此地就失去一回快活好人生"
高子涵,5,"(由 Google 提供翻譯) 讚讚〜治療空間

(原始評論)
讚讚～療癒的空間"
洪亦霆,5,"(由 Google 提供翻譯) 日常小酌

(原始評論)
日常小酌"
