author_name,rating,text
Y C,5,"櫃檯小姐醫生到復健師都很親切
可以現場做超音波檢查，方便迅速"
許曼森,5,"復健師與醫生院長都和藹可親
診療設備齊全復健過程舒服
牆面佈置別有一番用心
讓你可像在森林中復健一般
尤其牆面壁貼在復健放空之餘
也猶如神遊森林隧道中
來此復健心曠神怡"
Ewa Tsao,5,"1.公司附近唯一中午有看診的！午休時間可以來～
2.看診可立即超音波檢查，不用另外安排時間照超音波
3.醫生親切，十分感謝❤️❤️❤️"
毛嘉維,5,院長非常細心溫柔講解客戶的狀況，有需要的人歡迎來這看看
Adelin Tsai,5,環境乾淨明亮，櫃檯小姐、復健老師和醫師，每位都溫柔親切又有耐心。復健老師看到病患不適能感同身受，並會細心的叮嚀與鼓勵病患。
Spunky V,1,櫃台小姐態度是看人啦！醫生也是。治療師好像被交代不能跟病人多交談，弄好機器就走開，你想問問題，他們都說在忙，但幾個治療師在聊天，而病人只3個，哪忙?電視永遠看壹電視（特定政黨傾向），你不是他們同國人，你就慘。醫生並無任何專業醫術，不会動手幫你一下，只会開藥，叫你就一直做儀器。我經驗是關節錯位要動手，否則儀器做到死也不會好。只能說醫生不会。ps WC總有溢尿，跟尿騷味
SerenaChang,5,櫃檯小姐和醫生非常親切，醫生會聆聽病人的發生經過並且耐心解說，有用一個超音波檢查儀器，清楚的看到腳傷的狀況，讓人比較放心。另外看完後直接就做復健，復健師也很好~另外中午有看診，很適合附近上班族，推推~
吃喝玩樂人生,5,醫師很細心且用儀器確認傷...
黃發宙,5,醫生說明的很仔細，復健師態度和善親切。
YL C,1,網站明明寫復健治療時間到九點半，拼命趕在大約8：50前到，櫃檯小姐臭臉很不客氣說下次要提早到，但我的治療結束也不會超過9：30啊！服務態度很差！！
F Julia,1,"5：20到

要掛號時 小姐說醫生說他今天有事情 要準時離開 所以無法再掛號喔
我表明了肌肉拉傷 沒有要復健 也是被拒絕

感覺很差"
HF Hsieh,5,醫師親切專業，從身體狀況到治療都解釋得很清楚。非常推薦！
Chi Hua Hsieh,5,林醫生很專業又親切，地點很方便。
F YN,5,"櫃檯小姐跟醫生還有復健老師都很親切！診所的說明告知也很專業跟周到
環境很明亮舒適 治療的器材也很充足"
Alex Lai,5,醫生，櫃台小姐和治療師都很親切，醫生解說也很有耐心和詳細，值得推薦！
Lee Ken,5,院長非常細心，說明詳細，並會考量我身體其它狀況，做最適當的評估。也會安撫我的不安。櫃台小姐也很和善。
joy chang,5,"醫生很厲害很專業，有耐心又願意詳細的跟患者講解患者本身發生了些什麼事情，並且把療程帶來的效果跟藥品帶來的效果也說的很詳細，怎麼保養也說的很詳細。
復健師們人也都很好，會輕鬆的跟你講講話轉移注意力並讓你放鬆，讓第一次做電療或是雷射療程的人不會緊張可以好好適應。
很棒的診所，謝謝醫生，今天好多了。"
蔡旻珊 Ryder Tsai,5,醫生、物理治療師、櫃檯都超讚！東門復健新救星！
Vic Chen,5,問診耐心仔細，說明清楚分明！值得推薦
Lin Allen,5,醫師非常親切專業，還有超音波馬上檢查疼痛點。週六下午去也不需久候。物理治療師也親切專業有耐心。
林函儀,5,醫師專業又親切，復健師也都很專業，環境也舒服
吳英妮,5,"醫生很親切溫柔
很願意聆聽患者的聲音
詳細說明病患身體的狀況
環境明亮整潔"
lin jess,5,醫生親切溫和又認真仔細，環境乾淨明亮，設備很好
Chi-Yun Chen,5,醫師很親切
黃凌雪,5,醫生說明很仔細，很細心
520 TJY,5,醫生非常親切 非常認真地講解
Gina “Gina”,1,(由 Google 提供翻譯) 男性治療師服務態度-0 …
X Le Guide,5,"(由 Google 提供翻譯) 林醫生是一位非常好的醫生。他是專業人士，並向患者解釋細節，這是現代醫療保健中的關鍵點。在這個蓬勃發展的康復領域，醫生的態度相當重要。他們的理療師也是如此。希望人們能認識這位好醫生，並對受傷部位進行適當治療。祝好運！

(原始評論)
Dr. Lin is a very good doctor. He is professional and explain the details to his patients which is an …"
William Pan,5,
