author_name,rating,text
鄒ㄉㄉ,5,從小陪伴我長大ㄉ白鹿洞！！平時沒事都會去晃晃、順便巡一下最近追ㄉ漫畫更新了沒～總之拜託不要倒我還想去租漫畫( ･᷄ὢ･᷅ )
lukas2553,5,現在竟然還可以在台北市看到漫畫店，而且還有進新書，直接給五個星，支持一下！
政賢陳,5,"漫畫書店越來越少了
不論如何就是給讚"
WEN SHU CHANG,3,服務很好，附近吃得很多，可以吃飽飽然後來這裡窩沙發，但冷氣很弱＆整潔還有待加強，也希望客人們不要把用完的衛生紙塞到沙發椅縫裡，店家一定會樂意分享垃圾桶的，好嗎？
S C.,2,位置少 ，太久沒去實體漫畫店不知道內閱價錢那麼高，一本10多年前出版的漫畫售價85-95內閱居然要12，有些非台灣出版的小本漫畫售價港幣40-45，內閱要20，港漫薄薄10多頁內閱要14，不知道其他書店也是這樣還是因為市場萎縮生意大落把成本全灌在漫畫上，看個5，6本就破百
陳怡君,5,工作人員服務態度很親切很好
fang tang,3,書籍、影片多！
汪冠洲,4,很好的休閒空間，只是門口常常有人在抽煙。
Amanda Lin,5,室內會有點悶，BL小說幾乎都只有古風的，武俠小說很多。
ya-shuan Chang,2,"一進去店裡就有悶臭味…
很不通風
其他間白鹿洞比這裡乾淨很多"
張耕維,5,現在(2019)在台北還能看到的漫畫店，一定要給五星啊！
劉欣怡,4,"在大安區小弄裡算是不錯借片的好地方
只可惜裡面的空調一直都好悶熱
小小的美中不足,
可惜每次去借片都不能好好的看一下有那些好片（ ｉ _ ｉ ）"
Yene Yeh,5,"租影音以及漫畫都很方便
是街坊們的好鄰居
店員也都很親切"
Jason Chang,5,剩下不多的實體租書店
Lin Jinlan,4,新漫畫書不夠多，櫃子要找一下，這大概是因為出版社出版少了吧？
李秉芳,5,影片漫畫又新又齊全，店內座位也算舒服，店長和店員都對漫畫很有熱情和相關知識，愛好者可以跟他們聊天
秦志偉,4,DVD數量很多
anige yu,4,影片書籍多元豐富 服務態度良好和善
王震亞,3,還可以。
呂季庭,5,很多書可以借。
Rose B,3,"較瘦的男店員服務很好，
對漫畫很熱情。

但是老闆可以更熱愛漫畫嗎？
請不要用不合適的書套包小說跟漫畫，
已經拿到很多次這樣的書籍了，
不是很舒服，希望改善。"
Batu Tasvaluan,3,新書新片滿快就有，但是容易先被借走，常常要等。舊片蠻齊全的
Jacob Guo,5,一定要撐下去呀，愛店！
怡萱謝,4,服務佳
winest winest,5,座位算舒適的漫畫店，可以飲食，店員也很好相處
hang C,5,藏書量及片量超級多
王凱弘,5,氣氛很好，沙發好坐！
Adam Hsu,5,開了很久的店家滿滿回憶
渣嚕,5,安靜，附近又有很多吃的，看書吃宵夜都很方便XD
張薰云,5,服務很好！新片上架速度也很快！
Kiàn-îng Iûnn,4,借片方便，店員親切
李宜修,5,藏書與影音都豐富的好地方
小丑克拉比,5,希望能繼續營業
ives cheng,4,消磨時間的好地方
Hody Chen,4,找dvd都來這
林永洲,5,超讚的
健騰國際有限公司,5,片子很齊
Elsa Chen,4,影片漫畫都滿齊全的！
Richard Wu,4,尋寶的地方
Lee Deraxiz,5,人類心靈的補給站
tienver lee,3,漫畫影音
Yen-Kai Chang,3,少數碩果僅存的漫畫店
B Chiu,5,店員熱心有趣
沙通天,4,服務親切
Brian Liu,2,漫畫跟DVD店
油油,3,書籍新舊有點凌亂
philo chen,3,影片資源尚可。
Jack Lee,3,空氣不流通
羅翊展,3,耍廢好去處
徐皎,5,看漫畫的好地方啊
Chi-Ting Lin,4,舒服看閒書
Cheng Chris,3,"(由 Google 提供翻譯) 算是好找的，有看的都有

(原始評論)
算是好找的，有看的都有"
James Hwang,4,"(由 Google 提供翻譯) 很棒的DVD或Blueray租賃選擇。他們也有大量的漫畫和雜誌。

(原始評論)
Great DVD or Blueray rental selection.  They have a huge selection of comics and magazines too."
Otto Lai,4,"(由 Google 提供翻譯) 這裡是閱讀或租借書籍和DVD電影的好地方，這裡有各種各樣的漫畫，小說，雜誌和電影。

(原始評論)
A good place to read or rent books and DVD movies, it got a wide variety of comics, novels, magazines and movies."
王俊智,1,"(由 Google 提供翻譯) You

(原始評論)
You"
張松年,5,"(由 Google 提供翻譯) 食物很多的地方

(原始評論)
食物很多的地方"
傅正輝,5,"(由 Google 提供翻譯) 服務員很用心

(原始評論)
服务员很用心"
WEI CHENCHEN,2,
陳文生,4,
芝穎,5,
Jerry Kao,5,
Yuehfeng Lin,4,
Shwu Chen,5,
eager hsu,5,
張梨芬,5,
sky wu,5,
Ken Hu,5,
陳庭隆,4,
王俊仁,5,
江陸崑,5,
李昊,5,
Pei Chen Wu,5,
KunLung Hsieh,4,
Wu Shiuan Hung,4,
宋以勒,2,
ymigl,3,
劉玫君,5,
語荷,5,
高偉倫,4,
Peculiar Zeal秋,4,
楊坤坪,4,
張凱健,5,
Iwal Kao,3,
周蓓蓓,4,
蔡其伸,2,
小象Sean,5,
傅秀儒,4,
游莉鈴,3,
陳瑞松,5,
張東生,4,
許政修,5,
張志源,3,
Lin Shu,3,
Tsai Chung Han,4,
Andy Kuo,5,
. 12,3,
陳麗華,3,
Robert Wang,5,
henry lin,3,
邱秋娟,5,
Sean Hiei,5,
HsinLang Lee,4,
陳泓霖,4,
邵學誼,5,
詹馨怡,4,
Esan Kuo,4,
Rushun Yu,5,
Mark Chang,4,
沈詹育,4,
Jerry Liu,5,
顏英同,5,
黃文詠,3,
JACK HSU,4,
Tia,3,
莊jeniffer,5,
蔡明光,5,
陳Max,4,
陳秀卿,4,
賴錕堯,3,
Louis Hu,5,
李峻宇,4,
馬宇廷,5,
POYA HSU,5,
YunTing W,5,
謝東儒,4,
林廷凌,4,
