author_name,rating,text
Josie Liu,4,"好吃，價位偏中高。
食材新鮮乾淨，肉品質不錯、火鍋料也好吃，一次份量算多。
辣鍋不是太辣是偏麻的那種，鴨血厲害整個很滑嫩入味，白鍋湯頭更另人驚豔！不喝湯的可以喝好多碗，湯是用魚去熬的👍🏻
特製沙茶要另外單點（會附香菜、蒜頭、蔥）味道很香有干貝的鮮味。"
Weily Huang,1,"因為 ""相對喧嘩"" 而被告知要小聲一點, 相信不少人都會遇到相似的情形, 但今天為什麼會讓人想給店家一顆星的評價, 原因是在店家 ""不禮貌"" 的轉達方式, 店家明顯跟客訴客人有交情, 因此放任客訴客人大聲地讓我們可以聽到: ""要聊天不會去外面嗎?"".....之類的言論, 店家默許跟他友好的客人任意攻擊評論其他用餐客人(還被當事者清楚聽到...), 這行為才是引人不開心的根本原因

而店家在另一則評論回覆:
1.) 得到客訴客人一星 > 但事實是不見這篇評論?
2.) …"
傅冠凱,5,"原本只是臨時起義隨便找一家吃火鍋，但是，也大好吃了吧！麻辣湯頭有深度，辣中帶一些番茄的甜味，白湯“濃郁”,仔細一看是加了魚乾，超棒的。而且不貴啊"
黃麗,5,好吃👍🏻最喜歡花枝滑跟蝦仁滑，排骨酥也很讚
hsu jerry,1,只有賣台灣牛，肉質很一般480元六片，豆腐不入味，CP質很低，人均1k，很不推薦……
Alan LEE,4,服務員親切，餐點好吃，尤其是麻辣鍋的底料鴨血豆腐，辣的剛剛好不會過於嗆辣，而且可以一直續加，但美中不足的是價位偏高，對於我們這種一般打工的大學生來說稍微偏高，所以建議在去之前先了解清楚消費方式，這裡不是吃到飽也不是套餐式而全部都是單點
Design Danny,5,食材新鮮美味，麻辣鍋的豆腐跟鴨血真的是一絕，價位雖然有點高，但是是值得的，整體的氛圍也不錯，很舒適的用餐環境，屬於較為偏麻的麻辣鍋，香度也夠，很喜歡的一家店^^
Pinghsin Yu,4,"湯頭溫和 鴨血豆腐都不錯
沒有驚艷也不算雷。"
楊漾伊畔,5,鴨血超級好吃，鮮嫩。雖然菜品不便宜，但品質很好，而且鴨血和豆腐可以免費加。
Youan Nieh,4,豬肉鮮甜好吃，鴨肉比較腥。
Ashley,1,連1顆星都不想給，我們來吃飯開心聚餐，也沒有什麼奧客的行為，人多講話大聲一點有問題嗎？這裡是圖書館嗎？還是米其林餐廳？因為有一桌客人覺得我們大聲，店家居然來叫我們小聲一點，吃飯的心情都沒有了，什麼叫因為今天生意不好，所以我們要小聲一點？最重要的是，店員居然坐下來跟別桌客人一起吃飯？叫服務生還要叫兩三次？再好吃都不值得，拜託大家不要再來了，太過分了！！！！！
楊哲寧,3,"優點：食材新鮮，頭湯用心，環境舒適，服務人員親切。
可加強：以這個價位來說，份量跟特色都還有待提升，服務人員稍嫌不足。"
andrew yen,5,"老闆算是很用心的在對待食物
湯沒有滾之前，是不給勺子的
因為老闆堅持要在豆腐和鴨血最美味的狀態給消費者享用，有用心（但我很餓
不得不提及豆腐，一個麻辣鍋好不好吃，就看他的豆腐跟鴨血，豆腐的嫩度驚為天人，嫩歪超好吃，鴨血也很大塊，吃起來是相當爽的啦
此外，整體假期不會太貴，以單點麻辣鍋來說，CP值還不錯
牛肉好吃，油度有到位，很下飯啊
白湯的部分，湯很好喝，是用魚熬的，應該有熬了七七四十九天之久，精華入湯、溫潤浸喉
大黃瓜究極好吃
必點系列：蛋餃、老油條、大黃瓜、芋頭丸😋🤤
用餐客人雖然不多，但五星好評，值得可以再訪一次！"
Ru Su,5,麻辣鍋的靈魂就是鴨血豆腐，這絕對是花麻辣的強項，鴨血豆腐超大塊入味到令人回味，重點是鴨血臭豆腐可以無限吃，大方到不行！推薦點鴛鴦鍋，紅鍋辣得性感，白鍋甜美可愛！花麻辣基本沒有雷，但是吃過N次的我，推薦主食類必點櫻桃鴨、牛舌；必點鍋底四寶，慢慢在辣鍋煮出好味道；芋頭丸、老油條、排骨酥真的來個一盤；白鍋要點水果玉米，簡直太出色、山茼蒿冬天限定不要錯過。總之，冬天就是花麻辣萬歲\O/
joanna0960,5,第一次吃到白鍋更吸引我的麻辣鍋店，不是辣鍋不好吃，是白鍋超好喝～喝起來像鯧魚米粉的湯頭，很少遇到白鍋有特色的店。
Steven Liu,4,店家蠻用心在食材上，麻辣湯底吃了不會讓人覺得腸胃負擔很重，白鍋湯底也蠻推薦的。禮拜天晚餐時間外場人力稍嫌不足，算是小小的不足之處。
Roy Wang,4,清湯湯頭很棒，麻辣湯湯頭少了點層次感；但是湯頭應該沒有加過度的調味料，吃完不會舌頭不舒服。食材都很新鮮，蔬菜類也洗的很乾淨。價位高，只收現金。
Lynn Ace,5,"牛肉很嫩，手工丸類料實在
鍋麻而不會死辣
很不錯的店"
Grace Hsu,5,"鴨血豆腐可以一直續，鴨血好好吃很嫩。牛舌用火鍋煮法不會老，別有一番風味~肉的品質很好，只是價格也不便宜就是🤣
位子不多建議訂位！"
劉佳倫,4,"1. 用餐環境寬敞舒適
2. 食材新鮮美味、選擇多元
3. 提供各式酒精飲料"
Yu-Hsuan Wang,5,"鴨血跟豆腐非常嫩⋯
辣湯屬於偏麻而不太辣
白湯越煮越甘醇⋯

火鍋配料感覺都是老闆精挑細選準備的
平常吃一人大約六七百，值得這個價"
Hank Ho,4,獨家口味的火鍋店，值得特地一訪
jojo Law,3,"環境太浪漫 👉太暗了。
優點係冇限時間。不過湯頭太麻。食材有特別的台灣牛肉，但其他就冇乜太特別。"
Mei Chou,5,鍋底鴨血跟豆腐都很好吃！鴨血軟嫩、豆腐沾店家特製醬意外的好吃～桌數不多用餐環境不錯！會再光顧
Raphael Liao,5,常常吃連鎖品牌的麻辣鍋，還是第一次吃到鴨血跟豆腐這麼入味，連清湯鍋的湯頭也不馬虎非常清香，而且食材新鮮值得再訪。
Cindy Wang,1,"花麻辣一直是心目中前三名的麻辣鍋名單。
麻辣湯頭香氣十足，且夠麻夠辣，食材也都不錯。
所以決定2019.12.25聖誕節要帶媽媽去嚐嚐，在用餐過程中發現湯頭裡有塑膠片，立刻和一位戴眼鏡和耳環的男服務生反應，他看了一眼，一句不好意思也沒有就這樣把盤子收掉，事後也沒有任何解釋更別說是致歉或是補償。
和他反應一定是希望店家可以了解為何會發生這樣的狀況以及提醒下次可以再多多注意。
一個不算小的塑膠片在湯頭裡，難免會讓人害怕塑化劑已經不知道在湯裡滾多久了。
唉～總而言之今天的用餐經驗讓人失望透頂。"
